safety_item,required_status,observed_status,safety_passed,blocking_reasons
network_access_used,False,False,True,
download_attempted,False,False,True,
raw_entry_read,False,False,True,
ccd_raw_read,False,False,True,
raw_modified,False,False,True,
raw_tracked,False,False,True,
raw_staged,False,False,True,
step14ap_unchanged,True,True,True,
protected_diff_empty,True,True,True,
dataloader_diff_empty,True,True,True,
unexpected_staged_files,False,False,True,
part_or_tmp,False,False,True,
forbidden_artifacts,False,False,True,
group_assignment_written,True,True,True,
sample_assignment_written,True,True,True,
train_csv_written,True,True,True,
validation_csv_written,True,True,True,
test_csv_written,True,True,True,
cross_split_audit_written,True,True,True,
balance_audit_written,True,True,True,
policy_audit_written,True,True,True,
precondition_audit_written,True,True,True,
split_assignments_written,True,True,True,
leakage_matrix_written,False,False,True,
final_dataset_written,False,False,True,
dataloader_artifacts_written,False,False,True,
training_artifacts_written,False,False,True,
torch_imported,False,False,True,
numpy_imported,False,False,True,
rdkit_used,False,False,True,
biopython_used,False,False,True,
gemmi_used,False,False,True,
requests_used,False,False,True,
