field_name,field_group,required,dtype,source_artifact,validation_rule,generated_now,training_tensor,notes
sample_id,identity,true,string,training_dataset_packaging_file_plan,review_only_reference_field_no_tensor_generation,false,false,planned_packaging_record_field_only
source_sample_id,identity,true,string,training_dataset_packaging_file_plan,review_only_reference_field_no_tensor_generation,false,false,planned_packaging_record_field_only
split,identity,true,string,training_dataset_packaging_file_plan,review_only_reference_field_no_tensor_generation,false,false,planned_packaging_record_field_only
package_role,file_reference,true,string,training_dataset_packaging_file_plan,review_only_reference_field_no_tensor_generation,false,false,planned_packaging_record_field_only
source_file_role,file_reference,true,string,training_dataset_packaging_file_plan,review_only_reference_field_no_tensor_generation,false,false,planned_packaging_record_field_only
source_file_path,file_reference,true,string,training_dataset_packaging_file_plan,review_only_reference_field_no_tensor_generation,false,false,planned_packaging_record_field_only
source_file_sha256,file_reference,true,string,training_dataset_packaging_file_plan,review_only_reference_field_no_tensor_generation,false,false,planned_packaging_record_field_only
source_file_size_bytes,file_reference,true,integer,training_dataset_packaging_file_plan,review_only_reference_field_no_tensor_generation,false,false,planned_packaging_record_field_only
copied_to_training_package,file_reference,true,boolean,training_dataset_packaging_file_plan,review_only_reference_field_no_tensor_generation,false,false,planned_packaging_record_field_only
embedded_in_training_manifest,file_reference,true,boolean,training_dataset_packaging_file_plan,review_only_reference_field_no_tensor_generation,false,false,planned_packaging_record_field_only
archive_member,file_reference,true,boolean,training_dataset_packaging_file_plan,review_only_reference_field_no_tensor_generation,false,false,planned_packaging_record_field_only
training_tensor,file_reference,true,boolean,training_dataset_packaging_file_plan,review_only_reference_field_no_tensor_generation,false,false,planned_packaging_record_field_only
generated_now,file_reference,true,boolean,training_dataset_packaging_file_plan,review_only_reference_field_no_tensor_generation,false,false,planned_packaging_record_field_only
safety_flags,safety,true,json,training_dataset_packaging_file_plan,review_only_reference_field_no_tensor_generation,false,false,planned_packaging_record_field_only
