row_type,candidate_id,source_sample_id,file_role,source_file_path,source_file_exists,source_file_size_bytes,source_file_sha256,copied_to_training_package,embedded_in_training_manifest,archive_member,training_tensor,generated_now,notes
candidate_file,BTK_C481_6DI9_pre_reaction,BTK_C481_6DI9,packaged_protein,data/derived/covalent_small/packaging_real_review_only/proteins/BTK_C481_6DI9.pdb,true,226395,d62004ac38434a0cc5846862e03169a132c095e475603e4725058ea04328cf5d,false,false,false,false,false,reference_only_no_file_copy
candidate_file,BTK_C481_6DI9_pre_reaction,BTK_C481_6DI9,packaged_ligand_sdf,data/derived/covalent_small/packaging_real_review_only/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,true,2851,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,false,false,false,false,false,reference_only_no_file_copy
candidate_file,BTK_C481_6DI9_pre_reaction,BTK_C481_6DI9,packaged_metadata_json,data/derived/covalent_small/packaging_real_review_only/metadata/BTK_C481_6DI9_pre_reaction.json,true,2242,d3dc20da98e2dcd1b917f9d5d01b360f9793240387777c5eb1542bf153e55b1a,false,false,false,false,false,reference_only_no_file_copy
candidate_file,BTK_C481_6DI9_pre_reaction,BTK_C481_6DI9,source_protein,data/raw/covalent_small/proteins/BTK_C481_6DI9.pdb,true,226395,d62004ac38434a0cc5846862e03169a132c095e475603e4725058ea04328cf5d,false,false,false,false,false,reference_only_no_file_copy
candidate_file,BTK_C481_6DI9_pre_reaction,BTK_C481_6DI9,source_ligand_sdf,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,true,2851,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,false,false,false,false,false,reference_only_no_file_copy
candidate_file,KRAS_G12C_5F2E_pre_reaction,KRAS_G12C_5F2E,packaged_protein,data/derived/covalent_small/packaging_real_review_only/proteins/KRAS_G12C_5F2E.pdb,true,308367,ddfa80d8ca2ae558ce6633702d417ed0ba61514ac2f8506fecf6061311412f78,false,false,false,false,false,reference_only_no_file_copy
candidate_file,KRAS_G12C_5F2E_pre_reaction,KRAS_G12C_5F2E,packaged_ligand_sdf,data/derived/covalent_small/packaging_real_review_only/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,true,2615,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,false,false,false,false,false,reference_only_no_file_copy
candidate_file,KRAS_G12C_5F2E_pre_reaction,KRAS_G12C_5F2E,packaged_metadata_json,data/derived/covalent_small/packaging_real_review_only/metadata/KRAS_G12C_5F2E_pre_reaction.json,true,2241,54ad52bc53be906507c135d5534076eb1014078e17dd506d2027b29f8a787fd5,false,false,false,false,false,reference_only_no_file_copy
candidate_file,KRAS_G12C_5F2E_pre_reaction,KRAS_G12C_5F2E,source_protein,data/raw/covalent_small/proteins/KRAS_G12C_5F2E.pdb,true,308367,ddfa80d8ca2ae558ce6633702d417ed0ba61514ac2f8506fecf6061311412f78,false,false,false,false,false,reference_only_no_file_copy
candidate_file,KRAS_G12C_5F2E_pre_reaction,KRAS_G12C_5F2E,source_ligand_sdf,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_5F2E_pre_reaction.sdf,true,2615,4015047b42b77f1f8e785c10eb073fb01d60198245d5e76b1db7db73781eeb9b,false,false,false,false,false,reference_only_no_file_copy
candidate_file,KRAS_G12C_6OIM_pre_reaction,KRAS_G12C_6OIM,packaged_protein,data/derived/covalent_small/packaging_real_review_only/proteins/KRAS_G12C_6OIM.pdb,true,173016,42deda943440cc8dd3020a2c65ddc260970936d675b47c8b43564195b77d5006,false,false,false,false,false,reference_only_no_file_copy
candidate_file,KRAS_G12C_6OIM_pre_reaction,KRAS_G12C_6OIM,packaged_ligand_sdf,data/derived/covalent_small/packaging_real_review_only/ligands_pre_reaction/KRAS_G12C_6OIM_pre_reaction.sdf,true,3541,09e366d2e8d7b761b23c0e0f8efb86173f9b5815bc84e53d29c8d465c445dfe1,false,false,false,false,false,reference_only_no_file_copy
candidate_file,KRAS_G12C_6OIM_pre_reaction,KRAS_G12C_6OIM,packaged_metadata_json,data/derived/covalent_small/packaging_real_review_only/metadata/KRAS_G12C_6OIM_pre_reaction.json,true,2273,c6fcbafe9c744629af10366066858b628031a1e0f7bd0bab57dfa6d9f239a49a,false,false,false,false,false,reference_only_no_file_copy
candidate_file,KRAS_G12C_6OIM_pre_reaction,KRAS_G12C_6OIM,source_protein,data/raw/covalent_small/proteins/KRAS_G12C_6OIM.pdb,true,173016,42deda943440cc8dd3020a2c65ddc260970936d675b47c8b43564195b77d5006,false,false,false,false,false,reference_only_no_file_copy
candidate_file,KRAS_G12C_6OIM_pre_reaction,KRAS_G12C_6OIM,source_ligand_sdf,data/derived/covalent_small/ligands_pre_reaction/KRAS_G12C_6OIM_pre_reaction.sdf,true,3541,09e366d2e8d7b761b23c0e0f8efb86173f9b5815bc84e53d29c8d465c445dfe1,false,false,false,false,false,reference_only_no_file_copy
global_artifact,,,design_manifest,data/derived/covalent_small/training_dataset_design_review_only/training_dataset_design_manifest.json,true,4966,30f2516a7be0ed33ef7c1ae954448624de8b9f1c104019ad13cf6cae8147d034,false,false,false,false,false,upstream_reference_only_no_file_copy
global_artifact,,,design_schema_report,data/derived/covalent_small/training_dataset_design_review_only/training_dataset_design_schema_report.csv,true,3341,2077292dff3b66339e7cf3b9d2918e6378544bbb7b3926c8a1e0b03745895cbc,false,false,false,false,false,upstream_reference_only_no_file_copy
global_artifact,,,design_split_plan,data/derived/covalent_small/training_dataset_design_review_only/training_dataset_design_split_plan.csv,true,766,34dda452b519be9d1b0bbc1f5bd7e3c98fa6a5b17a3e88ff9a56db30a5563853,false,false,false,false,false,upstream_reference_only_no_file_copy
global_artifact,,,design_report,data/derived/covalent_small/training_dataset_design_review_only/training_dataset_design_report.csv,true,1778,55d570dab4b10e590a186bbc0c64cf2fab7ac988eb84735b1f0a80dc489cf664,false,false,false,false,false,upstream_reference_only_no_file_copy
global_artifact,,,design_review_qa_report,data/derived/covalent_small/training_dataset_design_review_only/training_dataset_design_review_qa_report.csv,true,2692,b98256bccc7188e8caa48ffb6e4fb3780db961faf7a6a3d9cfa0cdb986eb3677,false,false,false,false,false,upstream_reference_only_no_file_copy
