failure_mode,failure_description,recommended_handling,blocking_for_materialization,failure_taxonomy_passed,blocking_reasons
source_registry_missing,source registry missing,block until source registry is configured,True,True,
source_unverified,source unverified,block external download until source verification gate,True,True,
metadata_index_unavailable,metadata index unavailable,block materialization and request user or pipeline metadata,True,True,
metadata_schema_unknown,metadata schema unknown,run schema mapping design before materialization,True,True,
missing_pdb_id,missing pdb id,exclude or repair before materialization,True,True,
missing_ligand_id,missing ligand id,exclude or repair before materialization,True,True,
missing_chain_or_residue,missing chain or residue,exclude or repair before materialization,True,True,
missing_covalent_bond_atom_pair,missing covalent bond atom pair,exclude or manual review before materialization,True,True,
non_cys_sg_event,non cys sg event,exclude in current phase,True,True,
ambiguous_event_key,ambiguous event key,exclude until resolved,True,True,
duplicate_event_key,duplicate event key,deduplicate or exclude,True,True,
missing_manual_review,missing manual review,do not include in smoke,True,True,
raw_download_attempted_too_early,raw download attempted too early,fail boundary audit,True,True,
training_attempted_too_early,training attempted too early,fail boundary audit,True,True,
