materialization_diff_item,observed_value,expected_value,materialization_diff_passed,blocking_reasons
step14w_ready_materialization_input_count,3,3,True,
ready_candidate_inventory_count,3,3,True,
blocked_carry_forward_count,2,2,True,
accepted_pairs_match_expected,"[""6BV6/JUG"", ""6BV8/JUG"", ""6BV5/JUG""]","[""6BV6/JUG"", ""6BV8/JUG"", ""6BV5/JUG""]",True,
blocked_pairs_match_expected,"[""1A54/MDC"", ""6BV9/JUG""]","[""1A54/MDC"", ""6BV9/JUG""]",True,
ready_candidate_count_current_step,3,3,True,
ready_for_small_pilot_manifest_count,3,3,True,
ready_for_training_candidate_count_current_step,0,0,True,
final_dataset_written,False,False,True,
sample_index_written,False,False,True,
split_assignments_written,False,False,True,
leakage_matrix_written,False,False,True,
step14w_artifacts_unchanged,True,True,True,
