order,object,field,exact_type,exact_value,passed
1,RawTargetRelativePathContract,schema_version,exact built-in str,covapie_raw_target_relative_path_contract_v1,true
2,RawTargetRelativePathContract,contract_id,exact built-in str,covapie_raw_target_relative_path_contract_v1,true
3,RawTargetRelativePathContract,canonical_raw_root_identity,exact built-in str,covapie_repository_raw_root_v1,true
4,RawTargetRelativePathContract,candidate_coordinate_system,exact built-in str,repository_relative_posix_lexical_path,true
5,RawTargetRelativePathContract,allowed_namespace_prefixes,exact built-in tuple,"('data/raw/',)",true
6,RawTargetRelativePathContract,path_grammar_version,exact built-in str,covapie_posix_relative_path_lexical_v1,true
7,RawTargetRelativePathContract,equality_policy,exact built-in str,exact_canonical_lexical_string_case_sensitive,true
8,RawTargetRelativePathContract,case_policy,exact built-in str,case_sensitive,true
9,RawTargetRelativePathContract,normalization_policy,exact built-in str,already_canonical_no_repair,true
10,RawTargetRelativePathContract,percent_decoding_policy,exact built-in str,forbidden,true
11,RawTargetRelativePathContract,unicode_policy,exact built-in str,ASCII_only_no_unicode_normalization,true
12,RawTargetRelativePathContract,snapshot_phase,exact built-in str,pre_download,true
13,RawTargetRelativePathContract,occupied_path_policy,exact built-in str,any_occupied_object_blocks_exact_target,true
14,RawTargetRelativePathContract,evaluator_io_policy,exact built-in str,pure_in_memory_no_filesystem_network_or_raw_read,true
15,RawTargetRelativePathContract,mutation_policy,exact built-in str,none,true
16,ExistingRawTargetRelativePathsSnapshot,schema_version,exact built-in str,covapie_existing_raw_target_relative_paths_snapshot_v1,true
17,ExistingRawTargetRelativePathsSnapshot,canonical_raw_root_identity,exact built-in str,covapie_repository_raw_root_v1,true
18,ExistingRawTargetRelativePathsSnapshot,candidate_coordinate_system,exact built-in str,repository_relative_posix_lexical_path,true
19,ExistingRawTargetRelativePathsSnapshot,path_grammar_version,exact built-in str,covapie_posix_relative_path_lexical_v1,true
20,ExistingRawTargetRelativePathsSnapshot,equality_policy,exact built-in str,exact_canonical_lexical_string_case_sensitive,true
21,ExistingRawTargetRelativePathsSnapshot,snapshot_phase,exact built-in str,pre_download,true
22,ExistingRawTargetRelativePathsSnapshot,snapshot_complete,exact built-in bool,True,true
23,ExistingRawTargetRelativePathsSnapshot,occupied_relative_paths,exact built-in tuple,(),true
