case_order,case_id,matrix_group,candidate_representation,contract_state,snapshot_state,outcome,passed,blocks_candidate,reason,canonical,validated_candidate_fields,consumed_candidate_fields,consumed_context_items,evaluator_io_used,expected_precedence,case_passed
1,HIST_001,historical_observed,'data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
2,HIST_002,historical_observed,'data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
3,HIST_003,historical_observed,'data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
4,HIST_004,historical_observed,'data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
5,HIST_005,historical_observed,'data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
6,HIST_006,historical_observed,'data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
7,HIST_007,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
8,HIST_008,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
9,HIST_009,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
10,HIST_010,historical_observed,'data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif',valid_contract,valid_snapshot,passed,true,false,,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,"[[""raw_target_relative_path"",""data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif""]]","[""raw_target_relative_path""]","[""raw_target_relative_path_contract"",""existing_raw_target_relative_paths""]",false,passed,true
