coverage_order,source_relative_path,source_sha256,source_occurrence,observed_value,accepted,expected_canonical_value,coverage_passed
1,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_historical_raw_fingerprint_authority_consolidation_gate_v1/covapie_covalent_residue_locator_historical_raw_fingerprint_authority.csv,71cc0a46100e42318367514c86154493592eb0e82868178b2184d858c2cf2eaa,row:1,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,true,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,true
2,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_historical_raw_fingerprint_authority_consolidation_gate_v1/covapie_covalent_residue_locator_historical_raw_fingerprint_authority.csv,71cc0a46100e42318367514c86154493592eb0e82868178b2184d858c2cf2eaa,row:2,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,true,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,true
3,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_historical_raw_fingerprint_authority_consolidation_gate_v1/covapie_covalent_residue_locator_historical_raw_fingerprint_authority.csv,71cc0a46100e42318367514c86154493592eb0e82868178b2184d858c2cf2eaa,row:3,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,true,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,true
4,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,row:1,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,true,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,true
5,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,row:2,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,true,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,true
6,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,row:3,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,true,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,true
7,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,row:4,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,true
8,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,row:5,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,true
9,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,row:6,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,true
10,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,row:7,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,true
11,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,row:8,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayu.cif,true
12,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,row:9,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayv.cif,true
13,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,row:10,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1ayw.cif,true
14,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,row:11,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1b02.cif,true
15,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,row:1,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,true,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,true
16,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,row:2,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,true,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,true
17,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,row:3,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,true,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,true
18,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,row:4,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,true
19,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,row:5,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,true,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,true
