safety_item,required_status,observed_status,safety_training_boundary_qa_passed,blocking_reasons
raw_data_read,false,false,true,
network_access_used,false,false,true,
torch_imported,false,false,true,
tensor_created,false,false,true,
numpy_imported,false,false,true,
rdkit_used,false,false,true,
biopython_used,false,false,true,
gemmi_used,false,false,true,
dataloader_instantiated,false,false,true,
model_forward_called,false,false,true,
loss_compute_called,false,false,true,
backward_called,false,false,true,
optimizer_created,false,false,true,
trainer_fit_called,false,false,true,
checkpoint_loaded,false,false,true,
sample_index_written,false,false,true,
final_dataset_written,false,false,true,
split_assignments_written,false,false,true,
leakage_matrix_written,false,false,true,
protected_source_diff_empty,true,true,true,
feature_semantics_known_for_training,false,false,true,
unknown_atom_feature_policy_finalized_for_training,false,false,true,
ready_for_training,false,false,true,
ready_to_train_now,false,false,true,
feature_semantics_audit_required_before_training,true,true,true,
leakage_split_design_required_before_training,true,true,true,
ready_for_bulk_download_now,false,false,true,
source_inputs_unchanged,true,true,true,
