qa_record_type,qa_record_id,field_name,expected_position,observed_position,final_dataset_row_id,csv_json_match,membership_match,source_preservation_match,schema_lineage_qa_passed,blocking_reasons
schema_field,field_01,sample_index_row_id,1,1,,true,true,true,true,
schema_field,field_02,sample_preparation_input_id,2,2,,true,true,true,true,
schema_field,field_03,sample_execution_id,3,3,,true,true,true,true,
schema_field,field_04,sample_qa_id,4,4,,true,true,true,true,
schema_field,field_05,pdb_id,5,5,,true,true,true,true,
schema_field,field_06,expected_het_id,6,6,,true,true,true,true,
schema_field,field_07,sample_artifact_root,7,7,,true,true,true,true,
schema_field,field_08,protein_atom_table_path,8,8,,true,true,true,true,
schema_field,field_09,ligand_atom_table_path,9,9,,true,true,true,true,
schema_field,field_10,pocket_atom_table_path,10,10,,true,true,true,true,
schema_field,field_11,covalent_event_table_path,11,11,,true,true,true,true,
schema_field,field_12,ligand_residue_atom_pair_table_path,12,12,,true,true,true,true,
schema_field,field_13,sample_preparation_audit_path,13,13,,true,true,true,true,
schema_field,field_14,protein_atom_count,14,14,,true,true,true,true,
schema_field,field_15,ligand_atom_count,15,15,,true,true,true,true,
schema_field,field_16,pocket_atom_count,16,16,,true,true,true,true,
schema_field,field_17,covalent_event_count,17,17,,true,true,true,true,
schema_field,field_18,ligand_residue_atom_pair_count,18,18,,true,true,true,true,
schema_field,field_19,covalent_residue_name,19,19,,true,true,true,true,
schema_field,field_20,covalent_residue_chain_id,20,20,,true,true,true,true,
schema_field,field_21,covalent_residue_index,21,21,,true,true,true,true,
schema_field,field_22,covalent_residue_atom_name,22,22,,true,true,true,true,
schema_field,field_23,ligand_comp_id,23,23,,true,true,true,true,
schema_field,field_24,ligand_covalent_atom_name,24,24,,true,true,true,true,
schema_field,field_25,covalent_bond_atom_pair,25,25,,true,true,true,true,
schema_field,field_26,conn_id,26,26,,true,true,true,true,
schema_field,field_27,conn_type_id,27,27,,true,true,true,true,
schema_field,field_28,bond_distance_angstrom,28,28,,true,true,true,true,
schema_field,field_29,sample_index_status,29,29,,true,true,true,true,
schema_field,field_30,eligible_for_final_dataset_design,30,30,,true,true,true,true,
schema_field,field_31,ready_for_training_current_step,31,31,,true,true,true,true,
schema_field,field_32,feature_semantics_audit_required_before_training,32,32,,true,true,true,true,
schema_field,field_33,leakage_split_design_required_before_training,33,33,,true,true,true,true,
lineage_row,row_01,,1,1,CYS_SG_SAMPLE_INDEX_000001,true,true,true,true,
lineage_row,row_02,,2,2,CYS_SG_SAMPLE_INDEX_000002,true,true,true,true,
lineage_row,row_03,,3,3,CYS_SG_SAMPLE_INDEX_000003,true,true,true,true,
lineage_row,row_04,,4,4,CYS_SG_SAMPLE_INDEX_000004,true,true,true,true,
lineage_row,row_05,,5,5,CYS_SG_SAMPLE_INDEX_000005,true,true,true,true,
lineage_row,row_06,,6,6,CYS_SG_SAMPLE_INDEX_000006,true,true,true,true,
lineage_row,row_07,,7,7,CYS_SG_SAMPLE_INDEX_000007,true,true,true,true,
lineage_row,row_08,,8,8,CYS_SG_SAMPLE_INDEX_000008,true,true,true,true,
lineage_row,row_09,,9,9,CYS_SG_SAMPLE_INDEX_000009,true,true,true,true,
lineage_row,row_10,,10,10,CYS_SG_SAMPLE_INDEX_000010,true,true,true,true,
lineage_row,row_11,,11,11,CYS_SG_SAMPLE_INDEX_000011,true,true,true,true,
