sample_id,extracted_atom_id,extracted_element,extracted_pdb_atom_name,reference_candidate_atom_id,reference_element,element_match,extracted_degree,reference_degree,degree_match,graph_distance_to_reactive_atom,final_role,is_reactive_atom,mapping_confidence,mapping_warning
KRAS_G12C_6OIM,0,C,C21,0,C,true,1,4,false,6,linker,false,low,
KRAS_G12C_6OIM,1,C,C20,1,C,true,3,4,false,5,linker,false,low,
KRAS_G12C_6OIM,2,C,C19,2,C,true,2,4,false,4,linker,false,low,
KRAS_G12C_6OIM,3,N,N6,3,N,true,3,3,true,3,linker,false,medium,
KRAS_G12C_6OIM,4,C,C23,4,C,true,3,3,true,2,warhead,false,medium,
KRAS_G12C_6OIM,5,O,O2,5,O,true,1,1,true,3,warhead,false,medium,
KRAS_G12C_6OIM,6,C,C24,6,C,true,2,4,false,1,warhead,false,low,
KRAS_G12C_6OIM,7,C,C25,7,C,true,1,4,false,0,warhead,true,high,
KRAS_G12C_6OIM,8,C,C18,8,C,true,2,4,false,4,linker,false,low,
KRAS_G12C_6OIM,9,C,C17,9,C,true,2,4,false,5,linker,false,low,
KRAS_G12C_6OIM,10,N,N2,10,N,true,3,3,true,6,linker,false,medium,
KRAS_G12C_6OIM,11,C,C7,11,C,true,3,3,true,7,scaffold,false,medium,
KRAS_G12C_6OIM,12,N,N3,12,N,true,2,2,true,8,scaffold,false,medium,
KRAS_G12C_6OIM,13,C,C8,13,C,true,3,3,true,9,scaffold,false,medium,
KRAS_G12C_6OIM,14,O,O1,14,O,true,1,1,true,10,scaffold,false,medium,
KRAS_G12C_6OIM,15,N,N4,15,N,true,3,3,true,10,scaffold,false,medium,
KRAS_G12C_6OIM,16,C,C9,16,C,true,3,3,true,11,scaffold,false,medium,
KRAS_G12C_6OIM,17,C,C13,17,C,true,3,3,true,12,scaffold,false,medium,
KRAS_G12C_6OIM,18,C,C22,18,C,true,1,4,false,13,scaffold,false,low,
KRAS_G12C_6OIM,19,C,C12,19,C,true,2,3,false,13,scaffold,false,low,
KRAS_G12C_6OIM,20,C,C11,20,C,true,2,3,false,14,scaffold,false,low,
KRAS_G12C_6OIM,21,N,N5,21,N,true,2,2,true,13,scaffold,false,medium,
KRAS_G12C_6OIM,22,C,C10,22,C,true,3,3,true,12,scaffold,false,medium,
KRAS_G12C_6OIM,23,C,C14,23,C,true,3,4,false,13,scaffold,false,low,
KRAS_G12C_6OIM,24,C,C16,24,C,true,1,4,false,14,scaffold,false,low,
KRAS_G12C_6OIM,25,C,C15,25,C,true,1,4,false,14,scaffold,false,low,
KRAS_G12C_6OIM,26,C,C2,26,C,true,3,3,true,9,scaffold,false,medium,
KRAS_G12C_6OIM,27,N,N1,27,N,true,2,2,true,10,scaffold,false,medium,
KRAS_G12C_6OIM,28,C,C1,28,C,true,3,3,true,8,scaffold,false,medium,
KRAS_G12C_6OIM,29,C,C5,29,C,true,2,3,false,9,scaffold,false,low,
KRAS_G12C_6OIM,30,C,C4,30,C,true,3,3,true,10,scaffold,false,medium,
KRAS_G12C_6OIM,31,F,F1,31,F,true,1,1,true,11,scaffold,false,medium,
KRAS_G12C_6OIM,32,C,C3,32,C,true,3,3,true,11,scaffold,false,medium,
KRAS_G12C_6OIM,33,C,C6,33,C,true,3,3,true,12,scaffold,false,medium,
KRAS_G12C_6OIM,34,C,C30,34,C,true,3,3,true,13,scaffold,false,medium,
KRAS_G12C_6OIM,35,F,F2,35,F,true,1,1,true,14,scaffold,false,medium,
KRAS_G12C_6OIM,36,C,C29,36,C,true,2,3,false,14,scaffold,false,low,
KRAS_G12C_6OIM,37,C,C28,37,C,true,2,3,false,15,scaffold,false,low,
KRAS_G12C_6OIM,38,C,C27,38,C,true,2,3,false,14,scaffold,false,low,
KRAS_G12C_6OIM,39,C,C26,39,C,true,3,3,true,13,scaffold,false,medium,
KRAS_G12C_6OIM,40,O,O3,40,O,true,1,2,false,14,scaffold,false,low,
