sample_id,extracted_atom_id,extracted_element,extracted_pdb_atom_name,reference_candidate_atom_id,reference_element,graph_distance_to_reactive_atom,final_role,is_reactive_atom,mapping_confidence,mapping_warning,manual_reference_atom_id,manual_decision,manual_note
KRAS_G12C_6OIM,0,C,C21,0,C,6,linker,false,low,,,,
KRAS_G12C_6OIM,1,C,C20,1,C,5,linker,false,low,,,,
KRAS_G12C_6OIM,2,C,C19,2,C,4,linker,false,low,,,,
KRAS_G12C_6OIM,3,N,N6,3,N,3,linker,false,medium,,,,
KRAS_G12C_6OIM,4,C,C23,4,C,2,warhead,false,medium,,,,
KRAS_G12C_6OIM,5,O,O2,5,O,3,warhead,false,medium,,,,
KRAS_G12C_6OIM,6,C,C24,6,C,1,warhead,false,low,,,,
KRAS_G12C_6OIM,8,C,C18,8,C,4,linker,false,low,,,,
KRAS_G12C_6OIM,9,C,C17,9,C,5,linker,false,low,,,,
KRAS_G12C_6OIM,10,N,N2,10,N,6,linker,false,medium,,,,
KRAS_G12C_6OIM,11,C,C7,11,C,7,scaffold,false,medium,,,,
KRAS_G12C_6OIM,12,N,N3,12,N,8,scaffold,false,medium,,,,
KRAS_G12C_6OIM,13,C,C8,13,C,9,scaffold,false,medium,,,,
KRAS_G12C_6OIM,14,O,O1,14,O,10,scaffold,false,medium,,,,
KRAS_G12C_6OIM,15,N,N4,15,N,10,scaffold,false,medium,,,,
KRAS_G12C_6OIM,16,C,C9,16,C,11,scaffold,false,medium,,,,
KRAS_G12C_6OIM,17,C,C13,17,C,12,scaffold,false,medium,,,,
KRAS_G12C_6OIM,18,C,C22,18,C,13,scaffold,false,low,,,,
KRAS_G12C_6OIM,19,C,C12,19,C,13,scaffold,false,low,,,,
KRAS_G12C_6OIM,20,C,C11,20,C,14,scaffold,false,low,,,,
KRAS_G12C_6OIM,21,N,N5,21,N,13,scaffold,false,medium,,,,
KRAS_G12C_6OIM,22,C,C10,22,C,12,scaffold,false,medium,,,,
KRAS_G12C_6OIM,23,C,C14,23,C,13,scaffold,false,low,,,,
KRAS_G12C_6OIM,24,C,C16,24,C,14,scaffold,false,low,,,,
KRAS_G12C_6OIM,25,C,C15,25,C,14,scaffold,false,low,,,,
KRAS_G12C_6OIM,26,C,C2,26,C,9,scaffold,false,medium,,,,
KRAS_G12C_6OIM,27,N,N1,27,N,10,scaffold,false,medium,,,,
KRAS_G12C_6OIM,28,C,C1,28,C,8,scaffold,false,medium,,,,
KRAS_G12C_6OIM,29,C,C5,29,C,9,scaffold,false,low,,,,
KRAS_G12C_6OIM,30,C,C4,30,C,10,scaffold,false,medium,,,,
KRAS_G12C_6OIM,31,F,F1,31,F,11,scaffold,false,medium,,,,
KRAS_G12C_6OIM,32,C,C3,32,C,11,scaffold,false,medium,,,,
KRAS_G12C_6OIM,33,C,C6,33,C,12,scaffold,false,medium,,,,
KRAS_G12C_6OIM,34,C,C30,34,C,13,scaffold,false,medium,,,,
KRAS_G12C_6OIM,35,F,F2,35,F,14,scaffold,false,medium,,,,
KRAS_G12C_6OIM,36,C,C29,36,C,14,scaffold,false,low,,,,
KRAS_G12C_6OIM,37,C,C28,37,C,15,scaffold,false,low,,,,
KRAS_G12C_6OIM,38,C,C27,38,C,14,scaffold,false,low,,,,
KRAS_G12C_6OIM,39,C,C26,39,C,13,scaffold,false,medium,,,,
KRAS_G12C_6OIM,40,O,O3,40,O,14,scaffold,false,low,,,,
