case_id,failure_case,mutation_signature,validator_target,test_node_id,expected_error,fails_closed,verified
X01,current11_sample_count_not_11,sample_count=10,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X01],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X02,duplicate_sample_identity,duplicate_sample_index_row_id,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X02],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X03,retained_heavy_mapping_missing,mapping_status=missing,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X03],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X04,source_full_index_as_retained_index,index_space=source_full_atom_row_index,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X04],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X05,pre_reaction_graph_missing,connectivity_status=missing,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X05],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X06,post_reaction_graph_substitution,connectivity_source=post_covalent_graph,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X06],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X07,connectivity_schema_without_values,edge_count=0,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X07],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X08,unmapped_smiles_atom_order,index_space=smiles_atom_order,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X08],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X09,edge_self_loop,graph_self_loop=true,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X09],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X10,duplicate_edge,graph_duplicate_edge=true,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X10],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X11,edge_out_of_range,graph_edge_out_of_range=true,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X11],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X12,disconnected_graph_without_policy,graph_disconnected=true,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X12],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X13,bond_order_missing,bond_order_status=missing,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X13],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X14,distance_inferred_bond_order,bond_order_source=distance_inference,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X14],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X15,silent_all_single_bonds,bond_order_vocabulary=single,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X15],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X16,connectivity_implies_bond_order,bond_order_status=authoritative_resolved_without_evidence,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X16],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X17,reaction_family_missing,reaction_family_status=missing_and_ready=true,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X17],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X18,project_family_as_sample_family,reaction_family_source=project_scope,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X18],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X19,reaction_family_conflict,reaction_family_status=conflicted,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X19],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X20,warhead_rule_missing,warhead_rule_status=missing_and_ready=true,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X20],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X21,rule_family_mismatch,warhead_rule_reaction_family_mismatch=true,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X21],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X22,rule_reactive_atom_mismatch,warhead_rule_reactive_atom_mismatch=true,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X22],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X23,rule_warhead_atom_set_mismatch,warhead_rule_atom_set_mismatch=true,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X23],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X24,candidate_rule_as_approved,candidate_rule_promoted=true,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X24],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X25,ccd_smiles_implies_murcko_ready,murcko_source=unmapped_ccd_smiles,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X25],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X26,brics_evidence_as_gold_role,role_seed_gold_source=brics,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X26],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X27,warhead_review_as_role_seed_gold,role_seed_gold_from_warhead_review=true,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X27],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X28,core_gap_but_role_ready,role_ready=true_with_candidate_core,matrix,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X28],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X29,seed_input_ready_means_seed_generated,minimal_seed_generated=true,execution_boundary,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X29],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X30,role_or_seed_materialized,role_or_seed_materialized=true,execution_boundary,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X30],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X31,training_ready,ready_for_training=true,execution_boundary,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X31],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X32,execution_boundary_crossed,raw_network_rdkit_or_topology=true,execution_boundary,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X32],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
X33,critical_response_tampering,critical_field_changed_digest_recomputed,response,tests/test_covapie_role_annotation_input_authority_gap_resolution_v1.py::test_failure_matrix_case_fails_closed[X33],COVAPIE_ROLE_ANNOTATION_INPUT_AUTHORITY_GAP_RESOLUTION_INVALID,true,true
