stage,previous_stage,step10o_optimizer_smoke_passed,order,plan_stage_name,purpose,allowed,forbidden,expected_evidence,failure_action,checkpoint_allowed,model_save_allowed,trainer_fit_allowed,training_step_allowed,source_modification_allowed,design_status,blocking_reasons
training_loop_design_without_checkpoint_v0,masked_loss_optimizer_smoke_one_step_no_checkpoint_v0,true,1,preflight_validate_inputs,"Validate Step 10O reports, materialized inputs, mask levels, and source immutability.",Read reports and manifests only.,"Proceeding with missing, stale, or blocked upstream evidence.",Validated upstream manifest and source diff check.,Abort before model construction.,false,false,false,false,false,passed,
training_loop_design_without_checkpoint_v0,masked_loss_optimizer_smoke_one_step_no_checkpoint_v0,true,2,instantiate_model_no_checkpoint,Create a fresh in-memory DiffSBDD model instance for the dry run.,Constructor-only initialization from reviewed config.,Checkpoint loading or source edits.,"Model class, parameter count, and no-checkpoint flags.",Abort and write blocked report.,false,false,false,false,false,passed,
training_loop_design_without_checkpoint_v0,masked_loss_optimizer_smoke_one_step_no_checkpoint_v0,true,3,build_optimizer,Create a conservative optimizer for the in-memory model.,AdamW with reviewed learning rate and no weight decay.,"Trainer, Lightning loop, saved optimizer state.","Optimizer class, learning rate, and weight decay logged.",Abort if optimizer configuration differs from policy.,false,false,false,false,false,passed,
training_loop_design_without_checkpoint_v0,masked_loss_optimizer_smoke_one_step_no_checkpoint_v0,true,4,prepare_mask_schedule,Use a deterministic A/B/B2/C cycle so every mask level is covered.,"Fixed seed, no shuffle, tiny max step count.",Random uncontrolled sampling for first dry run.,Mask level per step and target/context counts.,Abort on unexpected mask level or empty target mask.,false,false,false,false,false,passed,
training_loop_design_without_checkpoint_v0,masked_loss_optimizer_smoke_one_step_no_checkpoint_v0,true,5,run_few_step_dry_loop,Run only the explicitly capped number of dry-run steps.,"Forward, masked loss, backward, optimizer step, metrics logging.","Formal training, checkpoint writing, trainer.fit, training_step.","One row per step with loss, gradient, and parameter delta metrics.",Stop immediately on any failed invariant.,false,false,false,false,false,passed,
training_loop_design_without_checkpoint_v0,masked_loss_optimizer_smoke_one_step_no_checkpoint_v0,true,6,collect_loss_metrics,Record original and masked loss components for audit.,Scalar logging only.,Tensor artifact persistence.,Finite loss fields for every step.,Abort on NaN or Inf.,false,false,false,false,false,passed,
training_loop_design_without_checkpoint_v0,masked_loss_optimizer_smoke_one_step_no_checkpoint_v0,true,7,collect_gradient_metrics,"Record gradient norm, max abs, finite checks, and NaN/Inf counts.",Gradient inspection after backward.,Optimizer step before gradient checks.,Finite nonzero gradient metrics.,Abort before optimizer step if gradients fail.,false,false,false,false,false,passed,
training_loop_design_without_checkpoint_v0,masked_loss_optimizer_smoke_one_step_no_checkpoint_v0,true,8,collect_parameter_update_metrics,Record in-memory parameter delta after optimizer step.,Lightweight before/after in-memory comparison.,Saving model weights or optimizer state.,Finite nonzero parameter delta and post-step finite parameters.,Abort if update is zero or non-finite.,false,false,false,false,false,passed,
training_loop_design_without_checkpoint_v0,masked_loss_optimizer_smoke_one_step_no_checkpoint_v0,true,9,enforce_stop_conditions,Apply hard stop conditions after every step.,Abort-on-first-failure policy.,Continuing after a failed invariant.,Stop reason and last safe step.,Stop loop and write blocked report.,false,false,false,false,false,passed,
training_loop_design_without_checkpoint_v0,masked_loss_optimizer_smoke_one_step_no_checkpoint_v0,true,10,write_report_only,Write auditable review-only dry-run outputs.,"CSV report, JSON preview manifest, Markdown summary.","Model files, checkpoint files, archives, tensor dumps.",Only allowed files are present.,Delete disallowed outputs and mark blocked.,false,false,false,false,false,passed,
training_loop_design_without_checkpoint_v0,masked_loss_optimizer_smoke_one_step_no_checkpoint_v0,true,11,verify_no_checkpoint_or_model_saved,"Confirm no checkpoint, model, tensor, or archive file was created.",Filesystem scan of dry-run output root.,Any .pt/.pkl/.lmdb/.tar/.zip/.tgz output.,Empty forbidden artifact scan.,Mark blocked and remove forbidden outputs if any were created.,false,false,false,false,false,passed,
training_loop_design_without_checkpoint_v0,masked_loss_optimizer_smoke_one_step_no_checkpoint_v0,true,12,verify_sources_unmodified,"Confirm DiffSBDD, equivariant_diffusion, and lightning_modules are unchanged.",Source diff inspection.,Source modification.,No diff in protected source paths.,Abort and require manual review.,false,false,false,false,false,passed,
