inherited_order,issue_id,issue_type,affected_fields,affected_rules,severity,status,blocking_scope,blocking_reason,issue_origin,integration_transition,issue_count,inherited_effective_status,inherited_transition_stage,inherited_transition_action,inherited_transition_evidence,successor_effective_status,successor_transition_stage,successor_transition_action,successor_transition_evidence
1,COVALENT_ATOM_PAIR_ENCODING_UNRESOLVED,implementation_semantics_gap,covalent_bond_atom_pair,,blocking,open,admission_evaluator_rule_logic,COVALENT_ATOM_PAIR_ENCODING_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1,open,,unchanged,inherited identity and status retained,open,,unchanged,inherited effective state retained
2,COVALENT_EVIDENCE_ENUM_UNRESOLVED,implementation_semantics_gap,covalent_event_evidence_source,ADMIT_006|ADMIT_007,blocking,resolved,admission_evaluator_rule_logic,COVALENT_EVIDENCE_ENUM_UNRESOLVED,step14au_a_remaining_semantics_blocker,covalent_event_evidence_source_enum_contract_frozen_v1,1,resolved,,unchanged,inherited identity and status retained,resolved,,unchanged,inherited effective state retained
3,DOWNLOAD_INTEGRITY_VALIDATION_CONTRACT_UNRESOLVED,implementation_semantics_gap,observed_content_length_bytes|observed_http_status|observed_sha256,ADMIT_012|ADMIT_013,blocking,resolved,admission_evaluator_rule_logic,DOWNLOAD_INTEGRITY_VALIDATION_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,admit_012_download_integrity_field_contract_frozen_v1,1,resolved,,unchanged,inherited identity and status retained,resolved,,unchanged,inherited effective state retained
4,DOWNLOAD_RESULT_STATUS_ENUM_UNRESOLVED,implementation_semantics_gap,download_result_status,ADMIT_012|ADMIT_013,blocking,resolved,admission_evaluator_rule_logic,DOWNLOAD_RESULT_STATUS_ENUM_UNRESOLVED,step14au_a_remaining_semantics_blocker,admit_012_download_integrity_field_contract_frozen_v1,1,resolved,,unchanged,inherited identity and status retained,resolved,,unchanged,inherited effective state retained
5,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,implementation_semantics_gap,duplicate_identity_key,ADMIT_009,blocking,resolved,admission_evaluator_rule_logic,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,step14au_a_remaining_semantics_blocker,duplicate_identity_key_contract_frozen_v1,1,resolved,,unchanged,inherited identity and status retained,resolved,,unchanged,inherited effective state retained
6,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,implementation_semantics_gap,leakage_group_id,ADMIT_010,blocking,resolved,admission_evaluator_rule_logic,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,step14au_a_remaining_semantics_blocker,leakage_group_assignment_provenance_contract_frozen_v1,1,resolved,,unchanged,inherited identity and status retained,resolved,,unchanged,inherited effective state retained
7,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,resolved,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,resolved_by_raw_target_relative_path_contract_v1,1,resolved,,unchanged,inherited identity and status retained,resolved,,unchanged,inherited effective state retained
8,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,implementation_semantics_gap,topology_restoration_disposition,ADMIT_008,blocking,resolved,admission_evaluator_rule_logic,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,step14au_a_remaining_semantics_blocker,topology_restoration_disposition_enum_contract_frozen_v1,1,resolved,,unchanged,inherited identity and status retained,resolved,,unchanged,inherited effective state retained
9,REAL_PROVIDER_EXPORT_BLOCKING_ROWS_PRESENT,provider_export,covalent_residue_insertion_code_state|covalent_residue_insertion_code,ADMIT_004,blocking,open,admission_evaluator_rule_logic,REAL_PROVIDER_EXPORT_BLOCKING_ROWS_PRESENT,covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1,unchanged_open,11,open,,unchanged,inherited identity and status retained,open,,unchanged,inherited effective state retained
10,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE,implementation_semantics_gap,,ADMIT_014|ADMIT_015,blocking,open,unified_admission_engine,UNIFIED_ADMISSION_RULE_COVERAGE_INCOMPLETE,covapie_bulk_download_admission_unified_rule_engine_contract_design_gate_v1,unified_dispatch_runtime_with_admit_001_to_013_implemented_v1,1,open,,unchanged,inherited identity and status retained,open,covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_013_v1,admit_013_removed_from_open_unified_runtime_coverage,Exact13_registry_and_unified_single_rule_dispatch
