policy_item,policy_description,policy_contract_passed
sample_preparation_design_gate_only,This step writes design contracts for future sample preparation execution.,True
design_gate_does_not_read_raw_mmcif,Raw CIF/mmCIF is not read in this design gate.,True
design_gate_does_not_parse_struct_conn_or_atom_site,struct_conn and atom_site parsing are reserved for the next execution smoke.,True
sample_preparation_input_manifest_is_not_sample_index,The input manifest is not a sample index.,True
sample_preparation_input_manifest_is_not_final_dataset,The input manifest is not a final dataset.,True
sample_preparation_input_manifest_is_not_training_sample,The input manifest is not a training sample.,True
execution_smoke_required_next,A sample preparation execution smoke is required next.,True
final_dataset_not_written_current_step,No final dataset is written.,True
sample_index_not_written_current_step,No sample index is written.,True
split_and_leakage_not_written_current_step,No split or leakage matrix is written.,True
feature_semantics_audit_required_before_training,Feature semantics audit remains required before training.,True
leakage_split_gate_required_before_training,Leakage/split design remains required before training.,True
canonical_five_masks_preserved,The canonical five masks are preserved.,True
do_not_train_from_sample_preparation_design_artifacts,Design artifacts must not be used for training.,True
