sample_index_row_id,pdb_id,ligand_comp_id,ligand_covalent_atom_name,ccd_sha256,selected_descriptor_type,selected_descriptor_program,source_descriptor_smiles,canonical_heavy_atom_isomeric_smiles,canonical_graph_sha256,ligand_graph_group_id,murcko_scaffold_smiles,murcko_scaffold_sha256,murcko_scaffold_status,scaffold_group_key,ligand_scaffold_group_id,ccd_heavy_atom_count,rdkit_heavy_atom_count,sample_ligand_total_atom_count,sample_ligand_heavy_atom_count,sample_explicit_hydrogen_atom_count,parent_ccd_heavy_atom_ids,observed_post_covalent_heavy_atom_ids,missing_parent_heavy_atom_ids,unexpected_observed_heavy_atom_ids,parent_ccd_heavy_atom_count,observed_post_covalent_heavy_atom_count,heavy_atom_count_delta,reaction_delta_rule_id,reaction_delta_class,leaving_group_atom_ids,parent_leaving_group_bond_verified,covalent_attachment_atom_verified,atom_inventory_reconciliation_status,atom_inventory_reconciliation_passed,reaction_delta_evidence_scope,index_attachment_atom_verified,event_attachment_atom_verified,pair_attachment_atom_verified,ccd_heavy_count_matches_rdkit,sample_ligand_heavy_count_matches_rdkit,ligand_covalent_atom_found_in_ccd,ligand_graph_evidence_passed,blocking_reasons
CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,CAG,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,SMILES_CANONICAL,CACTVS,Oc1cccc2C(=O)C=CC(=O)c12,O=C1C=CC(=O)c2c(O)cccc21,b1265f6aa0b1126b5ed87ee4f6cc091d32a96da5db1101b3661ed90799c485ba,COVAPIE_LIGAND_GRAPH_GROUP_000006,O=C1C=CC(=O)c2ccccc21,647942daa51930f7d0fc521d20b843f5a307d0c0ea98676d0e0401ec7a57699c,ring_scaffold_materialized,647942daa51930f7d0fc521d20b843f5a307d0c0ea98676d0e0401ec7a57699c,COVAPIE_LIGAND_SCAFFOLD_GROUP_000002,13,13,13,13,0,CAD;CAE;CAF;CAG;CAH;CAI;CAJ;CAK;CAL;CAM;OAA;OAB;OAC,CAD;CAE;CAF;CAG;CAH;CAI;CAJ;CAK;CAL;CAM;OAA;OAB;OAC,,,13,13,0,,,,False,True,intact_parent_atom_inventory_match,True,,True,True,True,True,True,True,True,
CYS_SG_SAMPLE_INDEX_000002,6BV8,JUG,CAG,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,SMILES_CANONICAL,CACTVS,Oc1cccc2C(=O)C=CC(=O)c12,O=C1C=CC(=O)c2c(O)cccc21,b1265f6aa0b1126b5ed87ee4f6cc091d32a96da5db1101b3661ed90799c485ba,COVAPIE_LIGAND_GRAPH_GROUP_000006,O=C1C=CC(=O)c2ccccc21,647942daa51930f7d0fc521d20b843f5a307d0c0ea98676d0e0401ec7a57699c,ring_scaffold_materialized,647942daa51930f7d0fc521d20b843f5a307d0c0ea98676d0e0401ec7a57699c,COVAPIE_LIGAND_SCAFFOLD_GROUP_000002,13,13,18,13,5,CAD;CAE;CAF;CAG;CAH;CAI;CAJ;CAK;CAL;CAM;OAA;OAB;OAC,CAD;CAE;CAF;CAG;CAH;CAI;CAJ;CAK;CAL;CAM;OAA;OAB;OAC,,,13,13,0,,,,False,True,intact_parent_atom_inventory_match,True,,True,True,True,True,True,True,True,
CYS_SG_SAMPLE_INDEX_000003,6BV5,JUG,CAG,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,SMILES_CANONICAL,CACTVS,Oc1cccc2C(=O)C=CC(=O)c12,O=C1C=CC(=O)c2c(O)cccc21,b1265f6aa0b1126b5ed87ee4f6cc091d32a96da5db1101b3661ed90799c485ba,COVAPIE_LIGAND_GRAPH_GROUP_000006,O=C1C=CC(=O)c2ccccc21,647942daa51930f7d0fc521d20b843f5a307d0c0ea98676d0e0401ec7a57699c,ring_scaffold_materialized,647942daa51930f7d0fc521d20b843f5a307d0c0ea98676d0e0401ec7a57699c,COVAPIE_LIGAND_SCAFFOLD_GROUP_000002,13,13,13,13,0,CAD;CAE;CAF;CAG;CAH;CAI;CAJ;CAK;CAL;CAM;OAA;OAB;OAC,CAD;CAE;CAF;CAG;CAH;CAI;CAJ;CAK;CAL;CAM;OAA;OAB;OAC,,,13,13,0,,,,False,True,intact_parent_atom_inventory_match,True,,True,True,True,True,True,True,True,
CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,C2,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,SMILES_CANONICAL,CACTVS,CC(C)C[C@H](NC(=O)[C@@H](O)CC(O)=O)C(=O)NCCCCNC(N)=[NH2+],CC(C)C[C@H](NC(=O)[C@@H](O)CC(=O)O)C(=O)NCCCCNC(N)=[NH2+],a3f6e1aa110ec471986198c170f81645bdb573c5fb912a8512d55bf1187a4818,COVAPIE_LIGAND_GRAPH_GROUP_000005,,,acyclic_no_murcko_scaffold,ACYCLIC_GRAPH:a3f6e1aa110ec471986198c170f81645bdb573c5fb912a8512d55bf1187a4818,COVAPIE_LIGAND_SCAFFOLD_GROUP_000006,25,25,33,25,8,C1;C10;C11;C12;C13;C14;C15;C16;C2;C3;C4;C6;C7;C8;C9;N1;N2;N3;N4;N5;O1;O2;O3;O4;O5,C1;C10;C11;C12;C13;C14;C15;C16;C2;C3;C4;C6;C7;C8;C9;N1;N2;N3;N4;N5;O1;O2;O3;O4;O5,,,25,25,0,,,,False,True,intact_parent_atom_inventory_match,True,,True,True,True,True,True,True,True,
CYS_SG_SAMPLE_INDEX_000005,1AIM,ZYA,CM,d82b2131da907d325252506ad316a93b3b8c16d5979536c5f3dfbac89f45cc3e,SMILES_CANONICAL,CACTVS,C[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OCc2ccccc2)C(=O)CF,C[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OCc1ccccc1)C(=O)CF,5dfa70c47e10f1e4eb9fcfd10bbbfd3e920a5581e6080dbca12649d8f36e62e1,COVAPIE_LIGAND_GRAPH_GROUP_000003,O=C(NCCc1ccccc1)OCc1ccccc1,ba2ea896abca017c1c390158c7eddb3e38cfaffc52791958df7c4f3158eacf2c,ring_scaffold_materialized,ba2ea896abca017c1c390158c7eddb3e38cfaffc52791958df7c4f3158eacf2c,COVAPIE_LIGAND_SCAFFOLD_GROUP_000007,29,29,31,28,3,C;C1;C2;C3;C4;C5;C6;C7;C8;CA1;CA2;CB1;CB2;CD1;CD2;CE1;CE2;CG;CM;CT;CZ;F1;N1;N2;O;O1;O2;OH;OT,C;C1;C2;C3;C4;C5;C6;C7;C8;CA1;CA2;CB1;CB2;CD1;CD2;CE1;CE2;CG;CM;CT;CZ;N1;N2;O;O1;O2;OH;OT,F1,,29,28,-1,ZYA_CYS_SG_FLUOROMETHYL_F1_LOSS_V1,covalent_leaving_group_loss,F1,True,True,validated_post_covalent_leaving_group_loss,True,explicit_zya_fluoromethyl_ketone_rule_v1,True,True,True,True,False,True,True,
CYS_SG_SAMPLE_INDEX_000006,1AU3,PCM,C22,918e4b6802cbb3f0506069708ba1a1e132acf2a432b13eb47c3ffc558c688615,SMILES_CANONICAL,CACTVS,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H]2CN(CC2=O)C(=O)[C@H](CC(C)C)NC(=O)OCc3ccccc3,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H]1CN(C(=O)[C@H](CC(C)C)NC(=O)OCc2ccccc2)CC1=O,286e94ea622ab2f423a169fe70360177686ac58f75d59c54b0cef1d9f9755a66,COVAPIE_LIGAND_GRAPH_GROUP_000001,O=C(CNC(=O)OCc1ccccc1)N[C@@H]1CN(C(=O)CNC(=O)OCc2ccccc2)CC1=O,78f34f8ab3d68e2f504eab5bb5b060195d8895b6a801e175392c9d968e2b3ff4,ring_scaffold_materialized,78f34f8ab3d68e2f504eab5bb5b060195d8895b6a801e175392c9d968e2b3ff4,COVAPIE_LIGAND_SCAFFOLD_GROUP_000005,43,43,43,43,0,C1;C11;C12;C13;C14;C15;C16;C19;C2;C21;C22;C24;C25;C26;C27;C28;C29;C3;C30;C32;C34;C35;C36;C37;C38;C39;C4;C42;C5;C6;C7;C9;N18;N20;N41;N43;O10;O17;O23;O31;O33;O40;O8,C1;C11;C12;C13;C14;C15;C16;C19;C2;C21;C22;C24;C25;C26;C27;C28;C29;C3;C30;C32;C34;C35;C36;C37;C38;C39;C4;C42;C5;C6;C7;C9;N18;N20;N41;N43;O10;O17;O23;O31;O33;O40;O8,,,43,43,0,,,,False,True,intact_parent_atom_inventory_match,True,,True,True,True,True,True,True,True,
CYS_SG_SAMPLE_INDEX_000007,1AU4,INP,C17,6920bb2d10b14468725cb487880fbdeed01f393bfd58812804e3f045ea10f345,SMILES_CANONICAL,CACTVS,CC(C)C[C@@H](CN1C[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)OCc2ccncc2)C(=O)C1)NC(=O)OCc3ccccc3,CC(C)C[C@@H](CN1CC(=O)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)OCc2ccncc2)C1)NC(=O)OCc1ccccc1,b51d44b1ad464a92ad6b66604e368e6215269e462afccb897e28795599876467,COVAPIE_LIGAND_GRAPH_GROUP_000007,O=C(CNC(=O)OCc1ccncc1)N[C@@H]1CN(CCNC(=O)OCc2ccccc2)CC1=O,6e24dd6e608b7f229244cf2040d5ea56f6231e02afb636f353d522949173e6d7,ring_scaffold_materialized,6e24dd6e608b7f229244cf2040d5ea56f6231e02afb636f353d522949173e6d7,COVAPIE_LIGAND_SCAFFOLD_GROUP_000003,42,42,42,42,0,C1;C12;C13;C15;C16;C17;C18;C19;C2;C20;C21;C22;C24;C26;C27;C28;C29;C3;C30;C32;C35;C36;C37;C38;C4;C40;C41;C5;C6;C7;C9;N11;N14;N23;N31;N39;O10;O25;O33;O34;O42;O8,C1;C12;C13;C15;C16;C17;C18;C19;C2;C20;C21;C22;C24;C26;C27;C28;C29;C3;C30;C32;C35;C36;C37;C38;C4;C40;C41;C5;C6;C7;C9;N11;N14;N23;N31;N39;O10;O25;O33;O34;O42;O8,,,42,42,0,,,,False,True,intact_parent_atom_inventory_match,True,,True,True,True,True,True,True,True,
CYS_SG_SAMPLE_INDEX_000008,1AYU,INA,C21,de2d3aa26f75cf05dcfa39f371b059a37e113420bbba91a6d09b6cee195f1fa6,SMILES_CANONICAL,CACTVS,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NNC(=O)NNC(=O)[C@H](CC(C)C)NC(=O)OCc2ccccc2,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NNC(=O)NNC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,74bb9531af7c9d84e9d2e508739ec9b61a6a52cbfa6fe451a2478a4c3904399d,COVAPIE_LIGAND_GRAPH_GROUP_000004,O=C(CNC(=O)OCc1ccccc1)NNC(=O)NNC(=O)CNC(=O)OCc1ccccc1,d2e443035fecd3ea5c269db9cb3a0156cd3dc1db3c9389e07412a61e8dfbf62b,ring_scaffold_materialized,d2e443035fecd3ea5c269db9cb3a0156cd3dc1db3c9389e07412a61e8dfbf62b,COVAPIE_LIGAND_SCAFFOLD_GROUP_000009,42,42,42,42,0,C1;C11;C12;C13;C14;C15;C16;C2;C21;C23;C24;C25;C26;C27;C28;C29;C3;C31;C33;C34;C35;C36;C37;C38;C4;C5;C6;C7;C9;N18;N19;N20;N40;N41;N42;O10;O17;O22;O30;O32;O39;O8,C1;C11;C12;C13;C14;C15;C16;C2;C21;C23;C24;C25;C26;C27;C28;C29;C3;C31;C33;C34;C35;C36;C37;C38;C4;C5;C6;C7;C9;N18;N19;N20;N40;N41;N42;O10;O17;O22;O30;O32;O39;O8,,,42,42,0,,,,False,True,intact_parent_atom_inventory_match,True,,True,True,True,True,True,True,True,
CYS_SG_SAMPLE_INDEX_000009,1AYV,IN6,C21,5d7d414e982bd5050b67d15eca12fcbd4b13dedfbbe9d9a1e04a84de16b3d252,SMILES_CANONICAL,CACTVS,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NNC(=O)c2csc(n2)[C@H](CC(C)C)NC(=O)OCc3ccccc3,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NNC(=O)c1csc([C@H](CC(C)C)NC(=O)OCc2ccccc2)n1,335bf65431a41ada972060962a65f872f01c30b39bea1266e8b91a21a1e48f2f,COVAPIE_LIGAND_GRAPH_GROUP_000002,O=C(CNC(=O)OCc1ccccc1)NNC(=O)c1csc(CNC(=O)OCc2ccccc2)n1,6f803dfb46f9cdff0378b1f9f8035b65cb5a2398a498d7cf8ac72f95ba3ef60f,ring_scaffold_materialized,6f803dfb46f9cdff0378b1f9f8035b65cb5a2398a498d7cf8ac72f95ba3ef60f,COVAPIE_LIGAND_SCAFFOLD_GROUP_000004,43,43,43,43,0,C1;C1';C11;C12;C14;C15;C16;C17;C2;C2';C20;C21;C3;C3';C4;C4';C42;C5;C5';C6;C6';C7;C7';C9;C9';CB';CC';CE';CF';CG';CH';N19;N24;NJ';NK';NO';O10;O22;O8;O8';OA';OI';S18,C1;C1';C11;C12;C14;C15;C16;C17;C2;C2';C20;C21;C3;C3';C4;C4';C42;C5;C5';C6;C6';C7;C7';C9;C9';CB';CC';CE';CF';CG';CH';N19;N24;NJ';NK';NO';O10;O22;O8;O8';OA';OI';S18,,,43,43,0,,,,False,True,intact_parent_atom_inventory_match,True,,True,True,True,True,True,True,True,
CYS_SG_SAMPLE_INDEX_000010,1AYW,IN3,C21,2beabd713e9578ea152fbad9a3d1c0284e0f4e1127f5bc1384f0f7eb7dd2f61c,SMILES_CANONICAL,CACTVS,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NNC(=O)NNC(=O)c2cccc(OCc3ccccc3)c2,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NNC(=O)NNC(=O)c1cccc(OCc2ccccc2)c1,c4be6fb67ab2c6ada28dd0e5c4d4b5f364d903fc4ce9f0b318f01a114fbfbdbf,COVAPIE_LIGAND_GRAPH_GROUP_000008,O=C(CNC(=O)OCc1ccccc1)NNC(=O)NNC(=O)c1cccc(OCc2ccccc2)c1,d22bafa3a6df07c2cd71f5af8b4a5994ac16002dda2ae991a0ec0671f7cbce30,ring_scaffold_materialized,d22bafa3a6df07c2cd71f5af8b4a5994ac16002dda2ae991a0ec0671f7cbce30,COVAPIE_LIGAND_SCAFFOLD_GROUP_000008,40,40,40,40,0,C1;C1';C10;C11;C12;C14;C17;C2;C2';C21;C24;C3;C3';C4;C4';C5;C5';C6;C6';C7;C7';C9;C9';CB';CC';CE';CF';CG';CH';N19;N20;NJ';NK';NO';O18;O22;O8;O8';OA';OI',C1;C1';C10;C11;C12;C14;C17;C2;C2';C21;C24;C3;C3';C4;C4';C5;C5';C6;C6';C7;C7';C9;C9';CB';CC';CE';CF';CG';CH';N19;N20;NJ';NK';NO';O18;O22;O8;O8';OA';OI',,,40,40,0,,,,False,True,intact_parent_atom_inventory_match,True,,True,True,True,True,True,True,True,
