protein_pairwise_evidence_id,left_sample_index_row_id,right_sample_index_row_id,left_pdb_id,right_pdb_id,protein_sequence_identity,same_exact_protein_sequence,same_protein_accession,same_sequence_cluster_90,same_sequence_cluster_50,protein_pairwise_classification,protein_pairwise_evidence_passed,blocking_reasons
COVAPIE_PROTEIN_PAIRWISE_000001,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000002,6BV6,6BV8,1.000000,True,True,True,True,same_exact_sequence,True,
COVAPIE_PROTEIN_PAIRWISE_000002,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000003,6BV6,6BV5,1.000000,True,True,True,True,same_exact_sequence,True,
COVAPIE_PROTEIN_PAIRWISE_000003,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000004,6BV6,1AEC,0.181637,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000004,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000005,6BV6,1AIM,0.193613,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000005,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000006,6BV6,1AU3,0.199601,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000006,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000007,6BV6,1AU4,0.199601,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000007,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000008,6BV6,1AYU,0.199601,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000008,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000009,6BV6,1AYV,0.199601,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000009,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000010,6BV6,1AYW,0.199601,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000010,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000011,6BV6,1B02,0.205179,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000011,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000003,6BV8,6BV5,1.000000,True,True,True,True,same_exact_sequence,True,
COVAPIE_PROTEIN_PAIRWISE_000012,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000004,6BV8,1AEC,0.181637,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000013,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000005,6BV8,1AIM,0.193613,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000014,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000006,6BV8,1AU3,0.199601,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000015,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000007,6BV8,1AU4,0.199601,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000016,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000008,6BV8,1AYU,0.199601,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000017,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000009,6BV8,1AYV,0.199601,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000018,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000010,6BV8,1AYW,0.199601,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000019,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000011,6BV8,1B02,0.205179,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000020,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000004,6BV5,1AEC,0.181637,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000021,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000005,6BV5,1AIM,0.193613,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000022,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000006,6BV5,1AU3,0.199601,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000023,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000007,6BV5,1AU4,0.199601,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000024,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000008,6BV5,1AYU,0.199601,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000025,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000009,6BV5,1AYV,0.199601,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000026,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000010,6BV5,1AYW,0.199601,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000027,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000011,6BV5,1B02,0.205179,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000028,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000005,1AEC,1AIM,0.394619,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000029,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000006,1AEC,1AU3,0.429864,False,False,False,False,sequence_below_50_identity,True,
COVAPIE_PROTEIN_PAIRWISE_000030,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000007,1AEC,1AU4,0.429864,False,False,False,False,sequence_below_50_identity,True,
