safety_item,required_status,observed_status,safety_passed,blocking_reasons
network_host_restricted_to_files_rcsb_org,True,True,True,
ccd_download_scope_limited_to_nine_components,True,True,True,
ccd_raw_files_git_ignored,True,True,True,
all_entry_raw_files_git_ignored,True,True,True,
ccd_raw_files_tracked,False,False,True,
ccd_raw_files_staged,False,False,True,
ccd_part_files_remaining,False,False,True,
entry_raw_files_modified,False,False,True,
entry_raw_files_tracked,False,False,True,
entry_raw_files_staged,False,False,True,
pilot_index_files_unchanged,True,True,True,
expansion_index_files_unchanged,True,True,True,
step14an_artifacts_unchanged,True,True,True,
step14am_artifacts_unchanged,True,True,True,
metadata_csv_unchanged,True,True,True,
combined_sample_index_written,False,False,True,
split_assignments_written,False,False,True,
leakage_matrix_written,False,False,True,
final_dataset_written,False,False,True,
actual_dataloader_artifacts_written,False,False,True,
training_artifacts_written,False,False,True,
standalone_evidence_qa_gate_created,False,False,True,
embedded_evidence_qa_performed,True,True,True,
part_or_tmp_files_remaining,False,False,True,
protected_source_diff_empty,True,True,True,
original_dataloader_diff_empty,True,True,True,
torch_imported,False,False,True,
numpy_imported,False,False,True,
rdkit_used,True,True,True,
biopython_used,False,False,True,
gemmi_used,False,False,True,
requests_used,False,False,True,
staged_files_empty,True,True,True,
