pairwise_evidence_id,left_sample_index_row_id,right_sample_index_row_id,left_pdb_id,right_pdb_id,left_ligand_comp_id,right_ligand_comp_id,same_ligand_graph,same_murcko_scaffold,ligand_tanimoto_radius2_2048,same_protein_accession,same_exact_protein_sequence,protein_sequence_identity,same_sequence_cluster_90,same_sequence_cluster_50,ligand_pairwise_classification,protein_pairwise_classification,combined_pairwise_independence_evidence_classification,final_independent_group_confirmed_current_step,evidence_status,blocking_reasons
COVAPIE_COMBINED_PAIRWISE_000001,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000002,6BV6,6BV8,JUG,JUG,True,True,1.000000,True,True,1.000000,True,True,same_exact_graph,same_exact_sequence,strong_same_group_evidence,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000002,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000003,6BV6,6BV5,JUG,JUG,True,True,1.000000,True,True,1.000000,True,True,same_exact_graph,same_exact_sequence,strong_same_group_evidence,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000003,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000004,6BV6,1AEC,JUG,E64,False,False,0.033333,False,False,0.181637,False,False,different_graph_acyclic_scaffold_unavailable,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000004,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000005,6BV6,1AIM,JUG,ZYA,False,False,0.114754,False,False,0.193613,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000005,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000006,6BV6,1AU3,JUG,PCM,False,False,0.104478,False,False,0.199601,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000006,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000007,6BV6,1AU4,JUG,INP,False,False,0.090909,False,False,0.199601,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000007,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000008,6BV6,1AYU,JUG,INA,False,False,0.111111,False,False,0.199601,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000008,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000009,6BV6,1AYV,JUG,IN6,False,False,0.085714,False,False,0.199601,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000009,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000010,6BV6,1AYW,JUG,IN3,False,False,0.102941,False,False,0.199601,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000010,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000011,6BV6,1B02,JUG,UFP,False,False,0.080645,False,False,0.205179,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000011,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000003,6BV8,6BV5,JUG,JUG,True,True,1.000000,True,True,1.000000,True,True,same_exact_graph,same_exact_sequence,strong_same_group_evidence,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000012,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000004,6BV8,1AEC,JUG,E64,False,False,0.033333,False,False,0.181637,False,False,different_graph_acyclic_scaffold_unavailable,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000013,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000005,6BV8,1AIM,JUG,ZYA,False,False,0.114754,False,False,0.193613,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000014,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000006,6BV8,1AU3,JUG,PCM,False,False,0.104478,False,False,0.199601,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000015,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000007,6BV8,1AU4,JUG,INP,False,False,0.090909,False,False,0.199601,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000016,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000008,6BV8,1AYU,JUG,INA,False,False,0.111111,False,False,0.199601,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000017,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000009,6BV8,1AYV,JUG,IN6,False,False,0.085714,False,False,0.199601,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
COVAPIE_COMBINED_PAIRWISE_000018,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000010,6BV8,1AYW,JUG,IN3,False,False,0.102941,False,False,0.199601,False,False,different_scaffold,sequence_below_50_identity,provisional_distinct_both_axes,False,materialized_not_final_group_assignment,
