group_type,group_id,group_key,member_count,member_sample_index_row_ids,group_inventory_passed
ligand_exact_graph,COVAPIE_LIGAND_GRAPH_GROUP_000001,286e94ea622ab2f423a169fe70360177686ac58f75d59c54b0cef1d9f9755a66,1,CYS_SG_SAMPLE_INDEX_000006,True
ligand_exact_graph,COVAPIE_LIGAND_GRAPH_GROUP_000002,335bf65431a41ada972060962a65f872f01c30b39bea1266e8b91a21a1e48f2f,1,CYS_SG_SAMPLE_INDEX_000009,True
ligand_exact_graph,COVAPIE_LIGAND_GRAPH_GROUP_000003,5dfa70c47e10f1e4eb9fcfd10bbbfd3e920a5581e6080dbca12649d8f36e62e1,1,CYS_SG_SAMPLE_INDEX_000005,True
ligand_exact_graph,COVAPIE_LIGAND_GRAPH_GROUP_000004,74bb9531af7c9d84e9d2e508739ec9b61a6a52cbfa6fe451a2478a4c3904399d,1,CYS_SG_SAMPLE_INDEX_000008,True
ligand_exact_graph,COVAPIE_LIGAND_GRAPH_GROUP_000005,a3f6e1aa110ec471986198c170f81645bdb573c5fb912a8512d55bf1187a4818,1,CYS_SG_SAMPLE_INDEX_000004,True
ligand_exact_graph,COVAPIE_LIGAND_GRAPH_GROUP_000006,b1265f6aa0b1126b5ed87ee4f6cc091d32a96da5db1101b3661ed90799c485ba,3,CYS_SG_SAMPLE_INDEX_000001;CYS_SG_SAMPLE_INDEX_000002;CYS_SG_SAMPLE_INDEX_000003,True
ligand_exact_graph,COVAPIE_LIGAND_GRAPH_GROUP_000007,b51d44b1ad464a92ad6b66604e368e6215269e462afccb897e28795599876467,1,CYS_SG_SAMPLE_INDEX_000007,True
ligand_exact_graph,COVAPIE_LIGAND_GRAPH_GROUP_000008,c4be6fb67ab2c6ada28dd0e5c4d4b5f364d903fc4ce9f0b318f01a114fbfbdbf,1,CYS_SG_SAMPLE_INDEX_000010,True
ligand_exact_graph,COVAPIE_LIGAND_GRAPH_GROUP_000009,d629da399a831e4694c1c5efbe0be11f007f1436d13878be60622bbf3b502ffa,1,CYS_SG_SAMPLE_INDEX_000011,True
ligand_murcko_scaffold,COVAPIE_LIGAND_SCAFFOLD_GROUP_000001,53500d8b9c29be12016ed8594d706380474a8505d867e0267697119d772cf702,1,CYS_SG_SAMPLE_INDEX_000011,True
ligand_murcko_scaffold,COVAPIE_LIGAND_SCAFFOLD_GROUP_000002,647942daa51930f7d0fc521d20b843f5a307d0c0ea98676d0e0401ec7a57699c,3,CYS_SG_SAMPLE_INDEX_000001;CYS_SG_SAMPLE_INDEX_000002;CYS_SG_SAMPLE_INDEX_000003,True
ligand_murcko_scaffold,COVAPIE_LIGAND_SCAFFOLD_GROUP_000003,6e24dd6e608b7f229244cf2040d5ea56f6231e02afb636f353d522949173e6d7,1,CYS_SG_SAMPLE_INDEX_000007,True
ligand_murcko_scaffold,COVAPIE_LIGAND_SCAFFOLD_GROUP_000004,6f803dfb46f9cdff0378b1f9f8035b65cb5a2398a498d7cf8ac72f95ba3ef60f,1,CYS_SG_SAMPLE_INDEX_000009,True
ligand_murcko_scaffold,COVAPIE_LIGAND_SCAFFOLD_GROUP_000005,78f34f8ab3d68e2f504eab5bb5b060195d8895b6a801e175392c9d968e2b3ff4,1,CYS_SG_SAMPLE_INDEX_000006,True
ligand_murcko_scaffold,COVAPIE_LIGAND_SCAFFOLD_GROUP_000006,ACYCLIC_GRAPH:a3f6e1aa110ec471986198c170f81645bdb573c5fb912a8512d55bf1187a4818,1,CYS_SG_SAMPLE_INDEX_000004,True
ligand_murcko_scaffold,COVAPIE_LIGAND_SCAFFOLD_GROUP_000007,ba2ea896abca017c1c390158c7eddb3e38cfaffc52791958df7c4f3158eacf2c,1,CYS_SG_SAMPLE_INDEX_000005,True
ligand_murcko_scaffold,COVAPIE_LIGAND_SCAFFOLD_GROUP_000008,d22bafa3a6df07c2cd71f5af8b4a5994ac16002dda2ae991a0ec0671f7cbce30,1,CYS_SG_SAMPLE_INDEX_000010,True
ligand_murcko_scaffold,COVAPIE_LIGAND_SCAFFOLD_GROUP_000009,d2e443035fecd3ea5c269db9cb3a0156cd3dc1db3c9389e07412a61e8dfbf62b,1,CYS_SG_SAMPLE_INDEX_000008,True
