ligand_pairwise_evidence_id,left_sample_index_row_id,right_sample_index_row_id,left_pdb_id,right_pdb_id,left_ligand_comp_id,right_ligand_comp_id,same_ligand_graph,same_murcko_scaffold,ligand_tanimoto_radius2_2048,ligand_pairwise_classification,ligand_pairwise_evidence_passed,blocking_reasons
COVAPIE_LIGAND_PAIRWISE_000001,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000002,6BV6,6BV8,JUG,JUG,True,True,1.000000,same_exact_graph,True,
COVAPIE_LIGAND_PAIRWISE_000002,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000003,6BV6,6BV5,JUG,JUG,True,True,1.000000,same_exact_graph,True,
COVAPIE_LIGAND_PAIRWISE_000003,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000004,6BV6,1AEC,JUG,E64,False,False,0.033333,different_graph_acyclic_scaffold_unavailable,True,
COVAPIE_LIGAND_PAIRWISE_000004,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000005,6BV6,1AIM,JUG,ZYA,False,False,0.114754,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000005,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000006,6BV6,1AU3,JUG,PCM,False,False,0.104478,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000006,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000007,6BV6,1AU4,JUG,INP,False,False,0.090909,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000007,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000008,6BV6,1AYU,JUG,INA,False,False,0.111111,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000008,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000009,6BV6,1AYV,JUG,IN6,False,False,0.085714,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000009,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000010,6BV6,1AYW,JUG,IN3,False,False,0.102941,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000010,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000011,6BV6,1B02,JUG,UFP,False,False,0.080645,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000011,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000003,6BV8,6BV5,JUG,JUG,True,True,1.000000,same_exact_graph,True,
COVAPIE_LIGAND_PAIRWISE_000012,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000004,6BV8,1AEC,JUG,E64,False,False,0.033333,different_graph_acyclic_scaffold_unavailable,True,
COVAPIE_LIGAND_PAIRWISE_000013,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000005,6BV8,1AIM,JUG,ZYA,False,False,0.114754,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000014,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000006,6BV8,1AU3,JUG,PCM,False,False,0.104478,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000015,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000007,6BV8,1AU4,JUG,INP,False,False,0.090909,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000016,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000008,6BV8,1AYU,JUG,INA,False,False,0.111111,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000017,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000009,6BV8,1AYV,JUG,IN6,False,False,0.085714,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000018,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000010,6BV8,1AYW,JUG,IN3,False,False,0.102941,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000019,CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_INDEX_000011,6BV8,1B02,JUG,UFP,False,False,0.080645,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000020,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000004,6BV5,1AEC,JUG,E64,False,False,0.033333,different_graph_acyclic_scaffold_unavailable,True,
COVAPIE_LIGAND_PAIRWISE_000021,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000005,6BV5,1AIM,JUG,ZYA,False,False,0.114754,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000022,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000006,6BV5,1AU3,JUG,PCM,False,False,0.104478,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000023,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000007,6BV5,1AU4,JUG,INP,False,False,0.090909,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000024,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000008,6BV5,1AYU,JUG,INA,False,False,0.111111,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000025,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000009,6BV5,1AYV,JUG,IN6,False,False,0.085714,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000026,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000010,6BV5,1AYW,JUG,IN3,False,False,0.102941,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000027,CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_INDEX_000011,6BV5,1B02,JUG,UFP,False,False,0.080645,different_scaffold,True,
COVAPIE_LIGAND_PAIRWISE_000028,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000005,1AEC,1AIM,E64,ZYA,False,False,0.162162,different_graph_acyclic_scaffold_unavailable,True,
COVAPIE_LIGAND_PAIRWISE_000029,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000006,1AEC,1AU3,E64,PCM,False,False,0.226667,different_graph_acyclic_scaffold_unavailable,True,
COVAPIE_LIGAND_PAIRWISE_000030,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000007,1AEC,1AU4,E64,INP,False,False,0.214286,different_graph_acyclic_scaffold_unavailable,True,
COVAPIE_LIGAND_PAIRWISE_000031,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000008,1AEC,1AYU,E64,INA,False,False,0.278689,different_graph_acyclic_scaffold_unavailable,True,
COVAPIE_LIGAND_PAIRWISE_000032,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000009,1AEC,1AYV,E64,IN6,False,False,0.220779,different_graph_acyclic_scaffold_unavailable,True,
COVAPIE_LIGAND_PAIRWISE_000033,CYS_SG_SAMPLE_INDEX_000004,CYS_SG_SAMPLE_INDEX_000010,1AEC,1AYW,E64,IN3,False,False,0.223684,different_graph_acyclic_scaffold_unavailable,True,
