allowlist_column,column_present,schema_audit_status,schema_audit_passed,blocking_reasons
candidate_id,False,not_applicable_missing_allowlist,True,missing_allowlist_no_schema_validation_performed
source_dataset_name,False,not_applicable_missing_allowlist,True,missing_allowlist_no_schema_validation_performed
source_dataset_version,False,not_applicable_missing_allowlist,True,missing_allowlist_no_schema_validation_performed
source_file_relative_path,False,not_applicable_missing_allowlist,True,missing_allowlist_no_schema_validation_performed
pdb_id,False,not_applicable_missing_allowlist,True,missing_allowlist_no_schema_validation_performed
ligand_id,False,not_applicable_missing_allowlist,True,missing_allowlist_no_schema_validation_performed
chain_id,False,not_applicable_missing_allowlist,True,missing_allowlist_no_schema_validation_performed
residue_name,False,not_applicable_missing_allowlist,True,missing_allowlist_no_schema_validation_performed
residue_index,False,not_applicable_missing_allowlist,True,missing_allowlist_no_schema_validation_performed
residue_atom_name,False,not_applicable_missing_allowlist,True,missing_allowlist_no_schema_validation_performed
covalent_bond_atom_pair,False,not_applicable_missing_allowlist,True,missing_allowlist_no_schema_validation_performed
restoration_policy_id,False,not_applicable_missing_allowlist,True,missing_allowlist_no_schema_validation_performed
manual_review_status,False,not_applicable_missing_allowlist,True,missing_allowlist_no_schema_validation_performed
include_in_smoke,False,not_applicable_missing_allowlist,True,missing_allowlist_no_schema_validation_performed
exclusion_reason,False,not_applicable_missing_allowlist,True,missing_allowlist_no_schema_validation_performed
