provenance_field,provenance_status,provenance_audit_passed,blocking_reasons
source_dataset_name,not_evaluated_missing_allowlist,True,missing_allowlist_no_provenance_validation_performed
source_dataset_version,not_evaluated_missing_allowlist,True,missing_allowlist_no_provenance_validation_performed
source_file_relative_path,not_evaluated_missing_allowlist,True,missing_allowlist_no_provenance_validation_performed
pdb_id,not_evaluated_missing_allowlist,True,missing_allowlist_no_provenance_validation_performed
ligand_id,not_evaluated_missing_allowlist,True,missing_allowlist_no_provenance_validation_performed
chain_id,not_evaluated_missing_allowlist,True,missing_allowlist_no_provenance_validation_performed
residue_name,not_evaluated_missing_allowlist,True,missing_allowlist_no_provenance_validation_performed
residue_index,not_evaluated_missing_allowlist,True,missing_allowlist_no_provenance_validation_performed
residue_atom_name,not_evaluated_missing_allowlist,True,missing_allowlist_no_provenance_validation_performed
covalent_bond_atom_pair,not_evaluated_missing_allowlist,True,missing_allowlist_no_provenance_validation_performed
restoration_policy_id,not_evaluated_missing_allowlist,True,missing_allowlist_no_provenance_validation_performed
manual_review_status,not_evaluated_missing_allowlist,True,missing_allowlist_no_provenance_validation_performed
candidate_id,not_evaluated_missing_allowlist,True,missing_allowlist_no_provenance_validation_performed
include_in_smoke,not_evaluated_missing_allowlist,True,missing_allowlist_no_provenance_validation_performed
