selection_rule,current_status,selection_audit_passed,blocking_reasons
included_candidate_count_between_10_and_30,not_evaluated_missing_allowlist,True,missing_allowlist_no_candidate_selection_performed
candidate_id_non_empty,not_evaluated_missing_allowlist,True,missing_allowlist_no_candidate_selection_performed
candidate_id_unique,not_evaluated_missing_allowlist,True,missing_allowlist_no_candidate_selection_performed
cys_sg_only_scope,not_evaluated_missing_allowlist,True,missing_allowlist_no_candidate_selection_performed
relative_safe_source_file_path,not_evaluated_missing_allowlist,True,missing_allowlist_no_candidate_selection_performed
manual_review_status_allowed,not_evaluated_missing_allowlist,True,missing_allowlist_no_candidate_selection_performed
included_rows_have_empty_exclusion_reason,not_evaluated_missing_allowlist,True,missing_allowlist_no_candidate_selection_performed
shard_size_fixed_at_5,not_evaluated_missing_allowlist,True,missing_allowlist_no_candidate_selection_performed
deterministic_order_by_candidate_id,not_evaluated_missing_allowlist,True,missing_allowlist_no_candidate_selection_performed
duplicate_candidate_entity_flagged,not_evaluated_missing_allowlist,True,missing_allowlist_no_candidate_selection_performed
all_required_provenance_fields_present,not_evaluated_missing_allowlist,True,missing_allowlist_no_candidate_selection_performed
no_split_or_leakage_written,not_evaluated_missing_allowlist,True,missing_allowlist_no_candidate_selection_performed
