safety_item,expected_executed,observed_executed,safety_passed
exact_source_reads,true,true,true
phase2_runtime_contract_validation,true,true,true
legacy_callable_ast_validation,true,true,true
legacy_result_keyset_design,true,true,true
legacy_reason_inventory_validation,true,true,true
reason_outcome_mapping_design,true,true,true
candidate_projection_contract_design,true,true,true
runtime_context_routing_contract_design,true,true,true
static_policy_dependency_boundary_design,true,true,true
unified_field_mapping_design,true,true,true
issue_transition_design,true,true,true
raw_read,false,false,true
provenance_reference_dereference,false,false,true
legacy_evaluator_execution,false,false,true
adapter_implementation,false,false,true
phase2_runtime_modification,false,false,true
evaluator_registry_modification,false,false,true
admit_001_registration,false,false,true
admit_002_registration,false,false,true
admit_003_registration,false,false,true
admit_004_execution,false,false,true
admit_005_to_015_execution,false,false,true
evaluate_all_rules_implementation,false,false,true
combined_candidate_verdict_implementation,false,false,true
cross_rule_aggregation,false,false,true
candidate_record_materialization,false,false,true
real_candidate_evaluation,false,false,true
exact11_real_evaluation,false,false,true
parser_execution,false,false,true
provider_execution,false,false,true
network,false,false,true
download,false,false,true
checkpoint,false,false,true
torch,false,false,true
numpy,false,false,true
rdkit,false,false,true
model_forward_loss_training,false,false,true
