blocking_row_identity,evidence_item,observed_value,required_value_or_rule,evidence_sufficient,evidence_source,failure_effect,verified
REAL_LOCATOR_BINDING_000001,state field present,true,field exists in committed header,True,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000001,quarantine,True
REAL_LOCATOR_BINDING_000001,code field present,true,field exists in committed header,True,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000001,quarantine,True
REAL_LOCATOR_BINDING_000001,state vocabulary valid,true,absent|present|unknown,True,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000001,contradiction,True
REAL_LOCATOR_BINDING_000001,state/code combination valid,true,absent/unknown=>empty; present=>valid nonempty,True,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000001,contradiction,True
REAL_LOCATOR_BINDING_000001,provider provenance present,true,nonempty source id and lowercase SHA256,True,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000001,quarantine,True
REAL_LOCATOR_BINDING_000001,candidate identity unique,true,exactly one blocking row,True,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000001,quarantine,True
REAL_LOCATOR_BINDING_000001,residue identity unique,true,exactly one pdb/residue locator,True,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000001,quarantine,True
REAL_LOCATOR_BINDING_000001,auth locator available,true,auth chain and sequence available,True,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000001,quarantine,True
REAL_LOCATOR_BINDING_000001,label locator available,true,label chain and sequence available,True,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000001,quarantine,True
REAL_LOCATOR_BINDING_000001,auth/label locator consistent,false,auth and label locators identify one residue without conflict,False,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000001,quarantine,True
REAL_LOCATOR_BINDING_000001,explicit no-insertion evidence available,false,state=absent and code empty,False,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000001,quarantine,True
REAL_LOCATOR_BINDING_000001,explicit insertion-code evidence available,false,state=present and code nonempty,False,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000001,quarantine,True
REAL_LOCATOR_BINDING_000001,raw access required,true,false for resolution from committed evidence,False,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000001,quarantine,True
REAL_LOCATOR_BINDING_000001,heuristic inference required,false,false,True,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000001,quarantine,True
REAL_LOCATOR_BINDING_000001,ADMIT_004 evaluation reproducible,true,blocked with committed reason,True,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000001,contradiction,True
REAL_LOCATOR_BINDING_000002,state field present,true,field exists in committed header,True,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000002,quarantine,True
REAL_LOCATOR_BINDING_000002,code field present,true,field exists in committed header,True,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000002,quarantine,True
REAL_LOCATOR_BINDING_000002,state vocabulary valid,true,absent|present|unknown,True,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000002,contradiction,True
REAL_LOCATOR_BINDING_000002,state/code combination valid,true,absent/unknown=>empty; present=>valid nonempty,True,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv#binding_row_id=REAL_LOCATOR_BINDING_000002,contradiction,True
