source_role,source_path,source_sha256,committed_in_base,data_row_count_if_tabular,selector_or_symbol,referenced_blocking_row_count,verified
predecessor_validation_source,src/covalent_ext/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1.py,57b1acbf33950e4211d8d9404b3d3c0579f69683dbf4fc60299e0941ab906bea,True,,whole committed artifact,0,True
predecessor_validation_manifest,data/derived/covalent_small/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_manifest.json,229f5430feb3b5c147edce6c80dce684703b614e3764c7c18afd8344c25c3152,True,,whole committed artifact,0,True
current_issue_inventory,data/derived/covalent_small/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1/covapie_atom_pair_contract_validation_issue_readiness_inventory.csv,09ee8271157343c4fd39c2edd73e38d6f0e896b8da247d8e3a8588c0b1cd0afa,True,30,issue_id=REAL_PROVIDER_EXPORT_BLOCKING_ROWS_PRESENT,11,True
issue_origin_source,src/covalent_ext/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke.py,5df4288eff9475ae6017fb57049a19790b6c278cfcb9a6eb22071ddef6c176b8,True,,whole committed artifact,0,True
issue_origin_test,tests/test_covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1.py,619034e6fe5f3597e5c733b1e2f29dfc523153513869254397e80f786d5e87f9,True,,whole committed artifact,0,True
issue_origin_checker,scripts/check_covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1.py,6b3a48d1a5b0b1f7864065b91376932b95da2b6cc8855906ddeb8e2da8d54358,True,,whole committed artifact,0,True
issue_origin_summary,docs/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1_summary.md,103bd958cff51563d0d291f1a1c24e9555dd117b3c028030aee31aa7759e1957,True,,whole committed artifact,0,True
blocking_row_provider_export_sidecar,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_sidecar.csv,066c0beeaa01d31a6d6ea3fae62f3df5177c2d904f6295646ee33a7fcd780ac7,True,11,provider_export_status=exported_blocking,11,True
issue_origin_execution_evidence,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_evidence_audit.csv,4048efdfe373fe955995ded43639fcbd7baf67560e867662dbd18fe22a4fb1ab,True,11,provider_export_status=exported_blocking,11,True
issue_origin_manifest,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_execution_manifest.json,9061e36c333cf498dd5844407f5df11d64c3e271ae47e407938d34ac851d3aab,True,,whole committed artifact,11,True
issue_origin_issue_inventory,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_export_execution_smoke_v1/covapie_covalent_residue_locator_real_provider_export_issue_inventory.csv,5bda40b683d649fb28a2172291f329c1f87d10f3a2bd122e1d5a6ab887a071c4,True,2,issue_id=REAL_PROVIDER_EXPORT_BLOCKING_ROWS_PRESENT,11,True
blocking_row_candidate_binding_matrix,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,True,11,binding_row_id join,11,True
downstream_provider_overlay,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_sidecar_integration_gate_v1/covapie_covalent_residue_locator_real_provider_integration_overlay.csv,cc4c5965083340a040e4e1fc531da03bd74471e20fdc521ce92464d1d359627a,True,11,binding_row_id join,11,True
downstream_provider_evidence_audit,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_sidecar_integration_gate_v1/covapie_covalent_residue_locator_real_provider_integration_evidence_audit.csv,c5efc4610762004829897064965bb4e06a1390d52c9f97254e66fbb1c7c899ec,True,11,binding_row_id join,11,True
downstream_provider_manifest,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_provider_sidecar_integration_gate_v1/covapie_covalent_residue_locator_real_provider_sidecar_integration_manifest.json,37ce73b5c3608fad8eaac6d0f230cdd760b49347dce590998a7d1d7c7f7153db,True,,whole committed artifact,11,True
downstream_provider_summary,docs/covapie_bulk_download_admission_covalent_residue_locator_real_provider_sidecar_integration_gate_v1_summary.md,2e6da2719030e0c20417d62b1a58db1d0d174ccaba57addb39b1b2ecc1490040,True,,whole committed artifact,0,True
admit_004_standalone_evaluator,src/covalent_ext/covapie_bulk_download_admission_admit_004_rule_logic_interface.py,5c05e166091a7a067014d9d4dbd8c7c4280b6f247c31765e14bf37d3f86adba3,True,,evaluate_admit_004,11,True
admit_004_tests,tests/test_covapie_bulk_download_admission_admit_004_rule_logic_interface_v1.py,0f10c0689424e913135b80874e0270fc02376c6366bac22a640d639ff1b22f19,True,,whole committed artifact,0,True
admit_004_checker,scripts/check_covapie_bulk_download_admission_admit_004_rule_logic_interface_v1.py,a9ed9f63e0157f648e7865a849c80141dd81e8f56cfd79e291eeff72a9dfa51d,True,,whole committed artifact,0,True
admit_004_summary,docs/covapie_bulk_download_admission_admit_004_rule_logic_interface_v1_summary.md,3e76235babb6a7da6603f371aa37594707a8b4c26b271484a720782caafae548,True,,whole committed artifact,0,True
admit_004_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_rule_logic_interface_v1/covapie_admit_004_rule_logic_interface_contract.csv,0c4fbc7f1307d3adb5c62dffb7668176b0ad54f2ff156b2f42ea02dec8d48250,True,43,whole committed artifact,11,True
admit_004_truth_matrix,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_rule_logic_interface_v1/covapie_admit_004_rule_logic_interface_truth_matrix.csv,399fa0617aee4196c99051d99d26c75f54cbcc815a396425b7825dbeb9e7d83e,True,50,whole committed artifact,11,True
admit_004_manifest,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_rule_logic_interface_v1/covapie_admit_004_rule_logic_interface_manifest.json,f000c7959c0e8a9f561d60b332c5460b4de84279d3e5c11556638334297723a6,True,,whole committed artifact,11,True
admit_004_adapter_routing_source,src/covalent_ext/covapie_bulk_download_admission_minimal_unified_dispatch_shell_with_admit_004.py,46023c4c3fc221a3e87c513210079e6ef5909ed7c377c1b52dc564fcf171f978,True,,evaluate_admission_rule,11,True
