safety_item,expected_executed,observed_executed,safety_passed
exact_source_reads,true,true,true
e1e2_effective_view_validation,true,true,true
e1e1_design_validation,true,true,true
admit_004_rule_logic_interface_implementation,true,true,true
exact9_candidate_validation_implementation,true,true,true
evidence_context_validation_implementation,true,true,true
outcome_precedence_validation,true,true,true
synthetic_truth_matrix_evaluation,true,true,true
exact11_metadata_invariant_validation,true,true,true
raw_read,false,false,true
provenance_reference_dereference,false,false,true
parser_execution,false,false,true
provider_execution,false,false,true
unified_rule_engine_integration,false,false,true
candidate_record_materialization,false,false,true
real_candidate_evaluation,false,false,true
admission_record_modification,false,false,true
sample_backfill,false,false,true
network,false,false,true
download,false,false,true
checkpoint,false,false,true
torch,false,false,true
numpy,false,false,true
rdkit,false,false,true
model_forward_loss_training,false,false,true
