safety_item,expected_executed,observed_executed,verified
network,false,false,true
provider,false,false,true
download,false,false,true
permission_transition,false,false,true
raw_write,false,false,true
model_change,false,false,true
checkpoint_access,false,false,true
dataloader_change,false,false,true
forward_change,false,false,true
loss_change,false,false,true
backward,false,false,true
optimizer,false,false,true
parameter_update,false,false,true
training,false,false,true
ready_for_download,false,false,true
ready_for_training,false,false,true
feature_semantics_audit_completed,false,false,true
permission_layer_expansion_required,false,false,true
control_plane_code_change_required,false,false,true
