control_plane_component,evidence_path,evidence_selector,expected_value,observed_value,evidence_sha256,verified
unified ADMIT_001-015 runtime,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_015.py,runtime.EVALUATOR_REGISTRY.keys,"[""ADMIT_001"",""ADMIT_002"",""ADMIT_003"",""ADMIT_004"",""ADMIT_005"",""ADMIT_006"",""ADMIT_007"",""ADMIT_008"",""ADMIT_009"",""ADMIT_010"",""ADMIT_011"",""ADMIT_012"",""ADMIT_013"",""ADMIT_014"",""ADMIT_015""]","[""ADMIT_001"",""ADMIT_002"",""ADMIT_003"",""ADMIT_004"",""ADMIT_005"",""ADMIT_006"",""ADMIT_007"",""ADMIT_008"",""ADMIT_009"",""ADMIT_010"",""ADMIT_011"",""ADMIT_012"",""ADMIT_013"",""ADMIT_014"",""ADMIT_015""]",1fc5ac24e54d134d3f1f7054dfd2f264a2d76f17f0602bac216bb2e4e7e00bd1,true
combined aggregation,src/covalent_ext/covapie_bulk_download_admission_combined_candidate_verdict_and_cross_rule_aggregation_v1.py,source.contains:def aggregate_admission_rule_evaluations,true,true,8810d4bab34b2c5067b51dedb3edaa4a20e25c82c89576265986285e64f59904,true
stage orchestration contract,data/derived/covalent_small/covapie_stage_global_rule_evaluation_orchestration_contract_v1/covapie_stage_global_rule_evaluation_orchestration_contract_manifest.json,readiness.stage_global_rule_evaluation_orchestration_contract_frozen,true,true,a60448647d932bf4d541e3d2b3c48deb10e887de9ba3931ef40f1aa55c55e125,true
stage orchestration runtime,src/covalent_ext/covapie_stage_global_rule_evaluation_orchestration_v1.py,source.contains:def orchestrate_stage_admission_scope,true,true,5b5b85eceee3a9aada2dc6ae57c8af4a365dfc74677facdceeda7f0bde8a86bc,true
stage orchestration integration smoke,data/derived/covalent_small/covapie_stage_global_rule_evaluation_orchestration_in_memory_integration_smoke_v1/covapie_stage_global_orchestration_in_memory_integration_smoke_manifest.json,actual_orchestrator_called,true,true,691d1dd23e72c74ebc112ef3141c314dd31999422d4cab4ef0cb25a8063d5ea7,true
call-site contract,data/derived/covalent_small/covapie_bulk_download_stage_orchestration_fail_closed_call_site_contract_v1/covapie_bulk_download_stage_orchestration_fail_closed_call_site_contract_manifest.json,call_site_contract_frozen,true,true,dc04018ca3f5d4bc90f5defb0216aa58d71c6bb1656aaf292bd73fb5baab5cbf,true
call-site runtime,src/covalent_ext/covapie_bulk_download_stage_orchestration_fail_closed_call_site_decision_v1.py,source.contains:def evaluate_bulk_download_stage_orchestration_call_site,true,true,dc51597773bd0d6d98c7c299e5bf0c5889396a865120f692724653fc4b8e4352,true
call-site integration smoke,data/derived/covalent_small/covapie_bulk_download_stage_orchestration_fail_closed_call_site_decision_in_memory_integration_smoke_v1/covapie_bulk_download_stage_orchestration_fail_closed_call_site_decision_in_memory_integration_smoke_manifest.json,actual_decision_runtime_called,true,true,698d485be3e65db29515eba116ef7158b743a83899016df0b821ecd81902be35,true
bridge contract,data/derived/covalent_small/covapie_bulk_download_stage_orchestration_action_permission_bridge_contract_v1/covapie_bulk_download_stage_orchestration_action_permission_bridge_contract_manifest.json,action_permission_bridge_contract_frozen,true,true,c0f983718a04ef3c69cc31854aaa4c7e361ddf798b9a9737bbf9884c38d65729,true
bridge runtime,src/covalent_ext/covapie_bulk_download_stage_orchestration_action_permission_bridge_v1.py,source.contains:def evaluate_bulk_download_stage_orchestration_action_permission_bridge,true,true,864ec156650d8aa4b13b5d78fef13ec98461988f3bc4833215410a9e96141981,true
