contract_id,contract_area,contract_statement,expected_value,observed_value,contract_passed
TYPE_001,public_identity,result type identity,true,true,true
TYPE_002,public_identity,dispatch error type identity,true,true,true
TYPE_003,public_identity,result schema identity,true,true,true
TYPE_004,public_identity,Exact13 field identity,true,true,true
TYPE_005,public_identity,Exact6 field identity,true,true,true
TYPE_006,public_identity,dispatch code identity,true,true,true
TYPE_007,public_identity,outcome vocabulary identity,true,true,true
DISPATCH_001,dispatcher,new successor function object,true,true,true
DISPATCH_002,dispatcher,Exact8 signature equality,true,true,true
DISPATCH_003,dispatcher,local Exact9 registry binding,true,true,true
DISPATCH_004,dispatcher,exact built-in str precedence,first,first,true
DISPATCH_005,dispatcher,known rule precedence,second,second,true
DISPATCH_006,dispatcher,registered readiness precedence,third,third,true
DISPATCH_007,dispatcher,local handler call precedence,fourth,fourth,true
REGISTRY_001,registry,MappingProxyType,true,true,true
REGISTRY_002,registry,exact registered order,ADMIT_001_to_ADMIT_009,ADMIT_001_to_ADMIT_009,true
REGISTRY_003,registry,first eight handler identity,8/8,8/8,true
REGISTRY_004,registry,sole new handler,_evaluate_registered_admit_009,_evaluate_registered_admit_009,true
REGISTRY_005,registry,known IDs,ADMIT_001_to_ADMIT_015,ADMIT_001_to_ADMIT_015,true
REGISTRY_006,registry,callable IDs,ADMIT_001_to_ADMIT_009,ADMIT_001_to_ADMIT_009,true
REGISTRY_007,registry,adapter-ready IDs,ADMIT_001_to_ADMIT_009,ADMIT_001_to_ADMIT_009,true
REGISTRY_008,registry,legacy not ready IDs,empty,empty,true
IDENTITY_001,admit009_identity,rule ID,ADMIT_009,ADMIT_009,true
IDENTITY_002,admit009_identity,rule name,duplicate_identity_precheck,duplicate_identity_precheck,true
IDENTITY_003,admit009_identity,adapter ID,covapie_admit_009_unified_adapter_v1,covapie_admit_009_unified_adapter_v1,true
IDENTITY_004,admit009_identity,candidate field,duplicate_identity_key,duplicate_identity_key,true
IDENTITY_005,admit009_identity,canonical context order,policy_then_batch,policy_then_batch,true
ROUTING_001,context_routing,batch Mapping validation,first,first,true
ROUTING_002,context_routing,batch required direct lookup,second,second,true
ROUTING_003,context_routing,evaluation Mapping validation,third,third,true
ROUTING_004,context_routing,policy required direct lookup,fourth,fourth,true
ROUTING_005,context_routing,download must be None,fifth,fifth,true
ROUTING_006,context_routing,stage must be None,sixth,sixth,true
ROUTING_007,context_routing,all context before candidate,true,true,true
ROUTING_008,context_routing,Mapping subclasses,accepted,accepted,true
ROUTING_009,context_routing,required lookup,once_direct,once_direct,true
ROUTING_010,context_routing,only KeyError means missing,true,true,true
CANDIDATE_001,candidate,Mapping validation after contexts,true,true,true
CANDIDATE_002,candidate,non-Mapping,Exact13_invalid,Exact13_invalid,true
CANDIDATE_003,candidate,absent key,duplicate_identity_key_missing,duplicate_identity_key_missing,true
CANDIDATE_004,candidate,present values,forwarded_unchanged,forwarded_unchanged,true
CANDIDATE_005,candidate,invalid formal calls,0,0,true
CANDIDATE_006,candidate,invalid oracle calls,0,0,true
CALL_001,formal,formal function,evaluate_admit_009,evaluate_admit_009,true
CALL_002,formal,formal call count,1,1,true
CALL_003,formal,formal positional order,scalar_batch_policy,scalar_batch_policy,true
CALL_004,formal,original object identity,3/3,3/3,true
CALL_005,formal,adapter normalization,false,false,true
SOURCE_001,source,exact committed result type,required,required,true
SOURCE_002,source,subclass,rejected,rejected,true
SOURCE_003,source,vars storage,exact_dict,exact_dict,true
SOURCE_004,source,storage field order,Exact10,Exact10,true
SOURCE_005,source,dataclass field order,Exact10,Exact10,true
SOURCE_006,source,all ordered field reads,Exact10,Exact10,true
SOURCE_007,source,committed reconstruction,required,required,true
SOURCE_008,source,full reconstruction equality,required,required,true
SOURCE_009,source,committed post-init invariants,required,required,true
SOURCE_010,source,failure oracle call count,0,0,true
ORACLE_001,oracle,committed independent oracle,duplicate_identity_key_design,duplicate_identity_key_design,true
ORACLE_002,oracle,Mapping classification,required,required,true
ORACLE_003,oracle,oracle call count,1,1,true
ORACLE_004,oracle,same positional objects,3/3,3/3,true
ORACLE_005,oracle,complete committed Exact10 construction,true,true,true
ORACLE_006,oracle,full Exact10 equality,required,required,true
ORACLE_007,oracle,partial equality,forbidden,forbidden,true
PROJECTION_001,projection,schema,covapie_unified_admission_rule_evaluation_v1,covapie_unified_admission_rule_evaluation_v1,true
PROJECTION_002,projection,normalized values,source.validated_candidate_fields,source.validated_candidate_fields,true
PROJECTION_003,projection,validated fields,source.validated_candidate_fields,source.validated_candidate_fields,true
PROJECTION_004,projection,passed,preserved,preserved,true
PROJECTION_005,projection,blocked,preserved,preserved,true
PROJECTION_006,projection,scalar invalid,preserved,preserved,true
PROJECTION_007,projection,policy invalid,preserved,preserved,true
PROJECTION_008,projection,batch invalid,preserved,preserved,true
BOUNDARY_001,boundary,provider mapping,false,false,true
BOUNDARY_002,boundary,real provider keys,0,0,true
BOUNDARY_003,boundary,ADMIT_010,not_started,not_started,true
BOUNDARY_004,boundary,evaluate_all_rules,absent,absent,true
BOUNDARY_005,boundary,combined verdict,absent,absent,true
BOUNDARY_006,boundary,training,forbidden,forbidden,true
