safety_item,expected_executed,observed_executed,safety_passed
successor_runtime_implementation,true,true,true
admit009_adapter_implementation,true,true,true
admit009_registry_extension,true,true,true
exact8_identity_reuse,true,true,true
standalone_formal_call,true,true,true
committed_oracle_call,true,true,true
exact10_source_validation,true,true,true
exact10_oracle_equality,true,true,true
exact13_projection,true,true,true
deterministic_materialization,true,true,true
source_boundary_verification,true,true,true
issue_successor_transition,true,true,true
targeted_tests,true,true,true
checker,true,true,true
validation_incident_documented_and_contained,true,true,true
exact8_runtime_modification,false,false,true
adapter_design_runtime_import,false,false,true
provider_mapping,false,false,true
provider_key_generation,false,false,true
real_candidate_evaluation,false,false,true
admit010,false,false,true
evaluate_all_rules,false,false,true
combined_candidate_verdict,false,false,true
cross_rule_precedence,false,false,true
exact9_runtime_or_materializer_raw_read,false,false,true
network,false,false,true
download,false,false,true
checkpoint_read,false,false,true
torch,false,false,true
numpy,false,false,true
rdkit,false,false,true
model_code,false,false,true
model_forward,false,false,true
model_loss,false,false,true
backward,false,false,true
optimizer_step,false,false,true
training,false,false,true
fine_tune,false,false,true
parameter_update,false,false,true
stage,false,false,true
commit,false,false,true
push,false,false,true
gh,false,false,true
