feature_source_name,source_path_or_glob,source_type,read_mode,current_step_access_status,raw_data_or_runtime_dependency_used,feature_semantics_relevance,source_inventory_passed
step13bh_sample_index_smoke_csv,data/derived/covalent_small/covapie_sample_index_smoke_v0/covapie_sample_index_smoke.csv,derived_csv,derived_csv_json_read_only,derived_csv_json_read_only,False,sample index feature fields and mask metadata,True
step13be_extracted_event_table,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_event_table.csv,derived_csv,derived_csv_json_read_only,derived_csv_json_read_only,False,event identity and covalent geometry fields,True
step13be_protein_atom_table,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,derived_csv,derived_csv_json_read_only,derived_csv_json_read_only,False,protein coordinate and atom feature source,True
step13be_ligand_atom_table,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,derived_csv,derived_csv_json_read_only,derived_csv_json_read_only,False,ligand coordinate and atom feature source,True
step13bl_split_leakage_qa_manifest,data/derived/covalent_small/covapie_split_leakage_qa_gate_v0/covapie_split_leakage_qa_gate_manifest.json,derived_json,derived_csv_json_read_only,derived_csv_json_read_only,False,split/leakage readiness and blocker source,True
src_covalent_ext_feature_related_modules,src/covalent_ext/*.py,source_glob,static_text_read_only,static_text_read_only,False,CovaPIE feature-producing gate source text,True
dataset_py_static_source,dataset.py,source_file,static_text_read_only,static_text_read_only,False,DiffSBDD dataset source semantics reference,True
prepare_crossdocked_static_source,data/prepare_crossdocked.py,source_file,static_text_read_only,static_text_read_only,False,DiffSBDD preprocessing source semantics reference,True
lightning_modules_static_source,lightning_modules.py,source_file,static_text_read_only,static_text_read_only,False,DiffSBDD training module source semantics reference,True
equivariant_diffusion_static_source,equivariant_diffusion/*.py,source_glob,static_text_read_only,static_text_read_only,False,DiffSBDD diffusion source semantics reference,True
