contract_order,contract_id,contract_group,contract_subject,contract_value,contract_status
1,CONTRACT_001,identity,admission_rule_id,ADMIT_008,frozen
2,CONTRACT_002,identity,admission_rule_name,topology_restoration_disposition,frozen
3,CONTRACT_003,identity,adapter_id,covapie_admit_008_unified_adapter_v1,frozen
4,CONTRACT_004,identity,formal_evaluator,evaluate_admit_008,frozen
5,CONTRACT_005,identity,formal_evaluator_source,src/covalent_ext/covapie_bulk_download_admission_admit_008_rule_logic_interface.py,frozen
6,CONTRACT_006,identity,independent_oracle,classify_admit_008_topology_restoration_disposition_design,frozen
7,CONTRACT_007,runtime_reuse,public_api,evaluate_admission_rule_current_exact7_identity,frozen
8,CONTRACT_008,runtime_reuse,result_type,UnifiedAdmissionRuleEvaluation_current_exact7_identity,frozen
9,CONTRACT_009,runtime_reuse,dispatch_error_type,UnifiedAdmissionDispatchError_current_exact7_identity,frozen
10,CONTRACT_010,runtime_reuse,schema_version,covapie_unified_admission_rule_evaluation_v1,frozen
11,CONTRACT_011,runtime_reuse,exact13_fields,schema_version|admission_rule_id|admission_rule_name|outcome|passed|blocks_candidate|reason|normalized_values|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used|adapter_id,frozen
12,CONTRACT_012,runtime_reuse,exact6_dispatch_fields,code|admission_rule_id|known_rule|callable_discovered|adapter_ready|reason,frozen
13,CONTRACT_013,runtime_reuse,known_rule_vocabulary,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_010|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014|ADMIT_015,frozen
14,CONTRACT_014,registration,future_exact8_order,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008,frozen
15,CONTRACT_015,registration,current_exact7_order,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007,frozen
16,CONTRACT_016,registration,admit001_to_007_handler_identity,unchanged,frozen
17,CONTRACT_017,precedence,complete_execution_precedence,global_admission_rule_id_exact_type_validation|known_rule_validation|registration_adapter_ready_validation|batch_context_validation|evaluation_context_mapping_validation|allowed_topology_restoration_dispositions_required_key_validation|download_result_context_validation|stage_authorization_context_validation|candidate_record_mapping_validation|topology_restoration_disposition_required_key_lookup|candidate_key_absent_classification|formal_evaluate_admit_008_exactly_once|standalone_source_exact_type_validation|standalone_exact10_invariant_validation|independent_expected_exact10_oracle_derivation|source_oracle_complete_exact10_equality|unified_exact13_result_construction,frozen
18,CONTRACT_018,routing,context_order,batch_context|evaluation_context|evaluation_required_key|download_result_context|stage_authorization_context,frozen
19,CONTRACT_019,routing,batch_context,exact_none,frozen
20,CONTRACT_020,routing,evaluation_context,mapping_subclass_accepted_required_key_extra_keys_ignored,frozen
21,CONTRACT_021,routing,routed_context_value,single_getitem_original_identity_no_prevalidation_copy_mutation_or_normalization,frozen
22,CONTRACT_022,routing,download_result_context,exact_none,frozen
23,CONTRACT_023,routing,stage_authorization_context,exact_none,frozen
24,CONTRACT_024,routing,early_failure,candidate_not_accessed,frozen
25,CONTRACT_025,candidate,candidate_record,mapping_subclass_accepted_extra_fields_ignored_no_copy_mutation_or_unrelated_iteration,frozen
26,CONTRACT_026,candidate,required_field,topology_restoration_disposition_single_getitem_original_identity,frozen
27,CONTRACT_027,candidate,non_mapping,ADMIT_008_CANDIDATE_RECORD_MAPPING_INVALID,frozen
28,CONTRACT_028,missing,only_category,required_key_absent,frozen
29,CONTRACT_029,missing,reason,topology_restoration_disposition_missing,frozen
30,CONTRACT_030,forwarding,exact_none,TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID,frozen
31,CONTRACT_031,forwarding,exact_builtin_empty_str,TOPOLOGY_RESTORATION_DISPOSITION_EMPTY,frozen
32,CONTRACT_032,forwarding,empty_str_subclass,TOPOLOGY_RESTORATION_DISPOSITION_TYPE_INVALID,frozen
33,CONTRACT_033,forwarding,whitespace_and_malformed,standalone_exact_reason,frozen
34,CONTRACT_034,call,formal_call,exactly_one_positional_call_original_scalar_and_context_identity,frozen
35,CONTRACT_035,call,normalization,none_no_trim_casefold_alias_conversion_copy_repair_mutation_or_io,frozen
36,CONTRACT_036,source,exact_type,type(source)_is_Admit008EvaluationResult_subclass_rejected,frozen
37,CONTRACT_037,source,exact10_fields,admission_rule_id|outcome|passed|blocks_candidate|reason|canonical_topology_restoration_disposition|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used,frozen
38,CONTRACT_038,source,invariants,vars_order|dataclass_field_order|ordered_reads|reconstruction|equality|complete_cross_field_validation,frozen
39,CONTRACT_039,source,failure,oracle_not_called_no_partial_exact13_adapter_ready_false,frozen
40,CONTRACT_040,oracle,call,same_original_objects_exactly_once_after_source_validation,frozen
41,CONTRACT_041,oracle,equivalence,complete_ordered_exact10_equality,frozen
42,CONTRACT_042,projection,mapping,source_exact10_to_existing_unified_exact13,frozen
43,CONTRACT_043,projection,normalized_values,source.validated_candidate_fields,frozen
