matrix_order,matrix_group,case_id,condition,expected_behavior,expected_reason,expected_result_json,formal_call_count,oracle_call_count,candidate_access_status,case_passed
1,context,batch_non_none,batch_context non-None,dispatch_error,ADMIT_008_BATCH_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_008"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_008_BATCH_CONTEXT_MUST_BE_NONE""}",0,0,not_accessed,true
2,context,evaluation_non_mapping,evaluation_context non-Mapping,dispatch_error,ADMIT_008_EVALUATION_CONTEXT_MAPPING_REQUIRED,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_008"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_008_EVALUATION_CONTEXT_MAPPING_REQUIRED""}",0,0,not_accessed,true
3,context,evaluation_key_missing,evaluation required key missing,dispatch_error,ADMIT_008_ALLOWED_TOPOLOGY_RESTORATION_DISPOSITIONS_REQUIRED,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_008"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_008_ALLOWED_TOPOLOGY_RESTORATION_DISPOSITIONS_REQUIRED""}",0,0,not_accessed,true
4,context,download_non_none,download_result_context non-None,dispatch_error,ADMIT_008_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_008"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_008_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}",0,0,not_accessed,true
5,context,stage_non_none,stage_authorization_context non-None,dispatch_error,ADMIT_008_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_008"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_008_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE""}",0,0,not_accessed,true
6,context,multiple_failure_precedence,batch and later contexts invalid,first_dispatch_error_only,ADMIT_008_BATCH_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_008"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_008_BATCH_CONTEXT_MUST_BE_NONE""}",0,0,not_accessed,true
7,context,evaluation_mapping_subclass,evaluation Mapping subclass,accepted_without_copy,,,1,1,accessed_after_context,true
8,context,evaluation_extra_keys,evaluation extra keys,ignored,,,1,1,accessed_after_context,true
9,context,evaluation_not_mutated,mutable evaluation Mapping,not_mutated,,,1,1,accessed_after_context,true
10,context,context_identity_single_lookup,required context identity sentinel,same_object_single_lookup,,,1,1,accessed_after_context,true
11,context,invalid_context_reaches_standalone,invalid context value,exact13_invalid_canonical_retained,ALLOWED_TOPOLOGY_RESTORATION_DISPOSITIONS_TYPE_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_008"",""admission_rule_name"":""topology_restoration_disposition"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""ALLOWED_TOPOLOGY_RESTORATION_DISPOSITIONS_TYPE_INVALID"",""normalized_values"":[[""topology_restoration_disposition"",""approved_restoration_template""]],""validated_candidate_fields"":[[""topology_restoration_disposition"",""approved_restoration_template""]],""consumed_candidate_fields"":[""topology_restoration_disposition""],""consumed_context_items"":[""allowed_topology_restoration_dispositions""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_008_unified_adapter_v1""}",1,1,accessed_after_context,true
