safety_item,expected_executed,observed_executed,safety_passed
adapter_contract_design,true,true,true
context_routing_design,true,true,true
candidate_projection_design,true,true,true
key_absent_policy_design,true,true,true
none_empty_forwarding_design,true,true,true
standalone_exact10_validation_design,true,true,true
independent_oracle_equivalence_design,true,true,true
exact13_projection_design,true,true,true
synthetic_exact26_routing,true,true,true
synthetic_projection_truth,true,true,true
fixed_exact17_source_verification,true,true,true
exact11_issue_byte_preservation,true,true,true
deterministic_materialization,true,true,true
adapter_handler_implementation,false,false,true
runtime_source_modification,false,false,true
registry_mutation,false,false,true
admit_008_registration,false,false,true
provider_mapping,false,false,true
provider_value_materialization,false,false,true
restoration_rule_provenance_consumption,false,false,true
admit_009,false,false,true
evaluate_all_rules,false,false,true
combined_candidate_verdict,false,false,true
real_candidate_evaluation,false,false,true
raw_read,false,false,true
network,false,false,true
download,false,false,true
checkpoint,false,false,true
torch,false,false,true
numpy,false,false,true
rdkit,false,false,true
model_forward,false,false,true
loss,false,false,true
training,false,false,true
fine_tune,false,false,true
parameter_update,false,false,true
stage,false,false,true
commit,false,false,true
push,false,false,true
gh,false,false,true
