sample_id,source_sample_id,file_role,planned_file_path,planned_file_format,source_design_artifact,source_schema_field_count,source_mask_levels,source_auxiliary_labels,would_be_generated_by_future_step,generated_in_this_step,tensor_file,file_exists_now,expected_future_sha256,materialization_required_approval_token,notes
BTK_C481_6DI9_pre_reaction,BTK_C481_6DI9,candidate_tensor_bundle_future_pt,data/derived/covalent_small/training_tensor_materialization_review_only/BTK_C481_6DI9_pre_reaction_tensor_bundle.pt,future_binary_tensor_bundle,training_tensor_design_plan_and_schema_report,47,A_warhead_only;B_linker_warhead;B2_scaffold_warhead;C_scaffold_linker_warhead,ligand_reactive_atom_id;pre_reaction_geometry_label;protein_reactive_residue;warhead_type,true,false,true,false,,APPROVE_ACTUAL_TRAINING_TENSOR_MATERIALIZATION_STEP_FUTURE,text_only_future_file_plan_no_file_created
BTK_C481_6DI9_pre_reaction,BTK_C481_6DI9,candidate_tensor_metadata_future_json,data/derived/covalent_small/training_tensor_materialization_review_only/BTK_C481_6DI9_pre_reaction_tensor_metadata.json,future_json_metadata,training_tensor_design_plan_and_schema_report,47,A_warhead_only;B_linker_warhead;B2_scaffold_warhead;C_scaffold_linker_warhead,ligand_reactive_atom_id;pre_reaction_geometry_label;protein_reactive_residue;warhead_type,true,false,false,false,,APPROVE_ACTUAL_TRAINING_TENSOR_MATERIALIZATION_STEP_FUTURE,text_only_future_file_plan_no_file_created
BTK_C481_6DI9_pre_reaction,BTK_C481_6DI9,candidate_tensor_qc_future_csv,data/derived/covalent_small/training_tensor_materialization_review_only/BTK_C481_6DI9_pre_reaction_tensor_qc.csv,future_csv_qc,training_tensor_design_plan_and_schema_report,47,A_warhead_only;B_linker_warhead;B2_scaffold_warhead;C_scaffold_linker_warhead,ligand_reactive_atom_id;pre_reaction_geometry_label;protein_reactive_residue;warhead_type,true,false,false,false,,APPROVE_ACTUAL_TRAINING_TENSOR_MATERIALIZATION_STEP_FUTURE,text_only_future_file_plan_no_file_created
BTK_C481_6DI9_pre_reaction,BTK_C481_6DI9,candidate_tensor_manifest_entry_future_json,data/derived/covalent_small/training_tensor_materialization_review_only/BTK_C481_6DI9_pre_reaction_tensor_manifest_entry.json,future_json_manifest_entry,training_tensor_design_plan_and_schema_report,47,A_warhead_only;B_linker_warhead;B2_scaffold_warhead;C_scaffold_linker_warhead,ligand_reactive_atom_id;pre_reaction_geometry_label;protein_reactive_residue;warhead_type,true,false,false,false,,APPROVE_ACTUAL_TRAINING_TENSOR_MATERIALIZATION_STEP_FUTURE,text_only_future_file_plan_no_file_created
KRAS_G12C_5F2E_pre_reaction,KRAS_G12C_5F2E,candidate_tensor_bundle_future_pt,data/derived/covalent_small/training_tensor_materialization_review_only/KRAS_G12C_5F2E_pre_reaction_tensor_bundle.pt,future_binary_tensor_bundle,training_tensor_design_plan_and_schema_report,47,A_warhead_only;B_linker_warhead;B2_scaffold_warhead;C_scaffold_linker_warhead,ligand_reactive_atom_id;pre_reaction_geometry_label;protein_reactive_residue;warhead_type,true,false,true,false,,APPROVE_ACTUAL_TRAINING_TENSOR_MATERIALIZATION_STEP_FUTURE,text_only_future_file_plan_no_file_created
KRAS_G12C_5F2E_pre_reaction,KRAS_G12C_5F2E,candidate_tensor_metadata_future_json,data/derived/covalent_small/training_tensor_materialization_review_only/KRAS_G12C_5F2E_pre_reaction_tensor_metadata.json,future_json_metadata,training_tensor_design_plan_and_schema_report,47,A_warhead_only;B_linker_warhead;B2_scaffold_warhead;C_scaffold_linker_warhead,ligand_reactive_atom_id;pre_reaction_geometry_label;protein_reactive_residue;warhead_type,true,false,false,false,,APPROVE_ACTUAL_TRAINING_TENSOR_MATERIALIZATION_STEP_FUTURE,text_only_future_file_plan_no_file_created
KRAS_G12C_5F2E_pre_reaction,KRAS_G12C_5F2E,candidate_tensor_qc_future_csv,data/derived/covalent_small/training_tensor_materialization_review_only/KRAS_G12C_5F2E_pre_reaction_tensor_qc.csv,future_csv_qc,training_tensor_design_plan_and_schema_report,47,A_warhead_only;B_linker_warhead;B2_scaffold_warhead;C_scaffold_linker_warhead,ligand_reactive_atom_id;pre_reaction_geometry_label;protein_reactive_residue;warhead_type,true,false,false,false,,APPROVE_ACTUAL_TRAINING_TENSOR_MATERIALIZATION_STEP_FUTURE,text_only_future_file_plan_no_file_created
KRAS_G12C_5F2E_pre_reaction,KRAS_G12C_5F2E,candidate_tensor_manifest_entry_future_json,data/derived/covalent_small/training_tensor_materialization_review_only/KRAS_G12C_5F2E_pre_reaction_tensor_manifest_entry.json,future_json_manifest_entry,training_tensor_design_plan_and_schema_report,47,A_warhead_only;B_linker_warhead;B2_scaffold_warhead;C_scaffold_linker_warhead,ligand_reactive_atom_id;pre_reaction_geometry_label;protein_reactive_residue;warhead_type,true,false,false,false,,APPROVE_ACTUAL_TRAINING_TENSOR_MATERIALIZATION_STEP_FUTURE,text_only_future_file_plan_no_file_created
KRAS_G12C_6OIM_pre_reaction,KRAS_G12C_6OIM,candidate_tensor_bundle_future_pt,data/derived/covalent_small/training_tensor_materialization_review_only/KRAS_G12C_6OIM_pre_reaction_tensor_bundle.pt,future_binary_tensor_bundle,training_tensor_design_plan_and_schema_report,47,A_warhead_only;B_linker_warhead;B2_scaffold_warhead;C_scaffold_linker_warhead,ligand_reactive_atom_id;pre_reaction_geometry_label;protein_reactive_residue;warhead_type,true,false,true,false,,APPROVE_ACTUAL_TRAINING_TENSOR_MATERIALIZATION_STEP_FUTURE,text_only_future_file_plan_no_file_created
KRAS_G12C_6OIM_pre_reaction,KRAS_G12C_6OIM,candidate_tensor_metadata_future_json,data/derived/covalent_small/training_tensor_materialization_review_only/KRAS_G12C_6OIM_pre_reaction_tensor_metadata.json,future_json_metadata,training_tensor_design_plan_and_schema_report,47,A_warhead_only;B_linker_warhead;B2_scaffold_warhead;C_scaffold_linker_warhead,ligand_reactive_atom_id;pre_reaction_geometry_label;protein_reactive_residue;warhead_type,true,false,false,false,,APPROVE_ACTUAL_TRAINING_TENSOR_MATERIALIZATION_STEP_FUTURE,text_only_future_file_plan_no_file_created
KRAS_G12C_6OIM_pre_reaction,KRAS_G12C_6OIM,candidate_tensor_qc_future_csv,data/derived/covalent_small/training_tensor_materialization_review_only/KRAS_G12C_6OIM_pre_reaction_tensor_qc.csv,future_csv_qc,training_tensor_design_plan_and_schema_report,47,A_warhead_only;B_linker_warhead;B2_scaffold_warhead;C_scaffold_linker_warhead,ligand_reactive_atom_id;pre_reaction_geometry_label;protein_reactive_residue;warhead_type,true,false,false,false,,APPROVE_ACTUAL_TRAINING_TENSOR_MATERIALIZATION_STEP_FUTURE,text_only_future_file_plan_no_file_created
KRAS_G12C_6OIM_pre_reaction,KRAS_G12C_6OIM,candidate_tensor_manifest_entry_future_json,data/derived/covalent_small/training_tensor_materialization_review_only/KRAS_G12C_6OIM_pre_reaction_tensor_manifest_entry.json,future_json_manifest_entry,training_tensor_design_plan_and_schema_report,47,A_warhead_only;B_linker_warhead;B2_scaffold_warhead;C_scaffold_linker_warhead,ligand_reactive_atom_id;pre_reaction_geometry_label;protein_reactive_residue;warhead_type,true,false,false,false,,APPROVE_ACTUAL_TRAINING_TENSOR_MATERIALIZATION_STEP_FUTURE,text_only_future_file_plan_no_file_created
