source_path,BASE_SHA256,source_row_count,Current11_coverage,fields_actually_used,authority_class,verified
src/covalent_ext/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1.py,db912d62c996bc91a0f8735135883f301ad61e3a448d5574770054c7f82db364,1428,11/11,BASE identity; design transaction and lifecycle contract,predecessor_design_production_contract,true
data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_reaction_family_registry.csv,230dc6da03beee55e53df75cba887151c23b703e10dce18de4ff6304d05b6353,7,11/11,family ID; semantic name; canonical signature SHA; target condition,candidate_reaction_family_registry,true
data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_warhead_rule_registry.csv,3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309,7,11/11,rule ID; graph rule JSON/SHA; family link; Current11 counts,candidate_warhead_rule_registry,true
data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_current11_reaction_family_and_warhead_rule_design_matrix.csv,24ae0fbd2dc1454574d9ed17145ba71d3b3132ffecfb84a1a831eceb77efab03,11,11/11,sample identity; reactive atom; graph SHA; candidate family/rule,Current11_candidate_design_matrix,true
data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_manifest.json,4603d124e2f90616ebf7d28975e0eeb77e3d4c90133688d87df2e30c9ac54ef9,1,11/11,transaction state; registry counts; output/source SHA; readiness,predecessor_design_manifest,true
data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_observed_to_parent_atom_mapping_authority.csv,f803e0c5fb2585c8dae31dbff254749496f897f4bf9a5103455c6c675a132a1e,323,11/11,reactive observed/parent atom identity; parent/observed graph SHA,observed_to_parent_atom_mapping_authority,true
data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_observed_projection_readiness_matrix.csv,ec7bb2c203a7b13f525c413171b734fdd9f8af934b6e7e8eaf3fc6ae141128a0,11,11/11,projection validity; reactive atom availability; closed readiness,observed_projection_readiness_authority,true
data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_observed_to_parent_atom_projection_authority_manifest.json,e553e9cb1518cd2c9465772758539e9610c8f81cd702dd0440e99fbd143fc0a7,1,11/11,projection transaction; sample and reactive atom counts,observed_projection_manifest_authority,true
data/derived/covalent_small/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1/covapie_atom_pair_atom_table_mapping_validation_matrix.csv,9f26b25ed11d186a02a1f859de10a105605ce3af13805ac5a4be1ad73199df45,22,11/11,exact-one target and ligand atom table mappings,canonical_atom_pair_mapping_validation_authority,true
data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,c4c31888cb0f7c148b00656ccf22ab68fab842fcdafdee049b2f420eddc1302d,11,11/11,sample; PDB; component; target CYS SG and ligand atom identity,Current11_sample_index_authority,true
src/covalent_ext/covapie_ligand_role_and_minimal_seed_annotation_contract_design_v1.py,18e386ea0412d917d4e3d9f6c15374cdbd680ea243e7b51c0045ae889a215f8b,1642,11/11,approved reaction-family/warhead-rule prerequisite for role proposal,downstream_role_and_seed_gate_contract,true
