failure_case,mutation_signature,mutated_field,mutated_value_json,expected_reason,observed_reasons,expected_reason_verified,fails_closed,candidate_class_vocabulary_row_count,current11_assignment_authority_row_count,assignment_review_readiness_row_count,role_proposal_generation_ready,mask_materialization_ready,model_integration_ready,training_ready,verified
BASE source missing,base_source_present=false,base_source_present,false,BASE_source_missing,BASE_source_missing,true,true,0,0,0,false,false,false,false,true
BASE source SHA mismatch,base_source_sha_matches=false,base_source_sha_matches,false,BASE_source_SHA_mismatch,BASE_source_SHA_mismatch,true,true,0,0,0,false,false,false,false,true
design transaction not succeeded,design_transaction_succeeded=false,design_transaction_succeeded,false,design_transaction_not_succeeded,design_transaction_not_succeeded,true,true,0,0,0,false,false,false,false,true
Current11 sample coverage incomplete,current11_sample_coverage=10,current11_sample_coverage,10,Current11_sample_coverage_incomplete,Current11_sample_coverage_incomplete,true,true,0,0,0,false,false,false,false,true
duplicate sample identity,duplicate_sample_identity=true,duplicate_sample_identity,true,duplicate_sample_identity,duplicate_sample_identity,true,true,0,0,0,false,false,false,false,true
rule registry missing,rule_registry_present=false,rule_registry_present,false,rule_registry_missing,rule_registry_missing,true,true,0,0,0,false,false,false,false,true
family registry missing,family_registry_present=false,family_registry_present,false,family_registry_missing,family_registry_missing,true,true,0,0,0,false,false,false,false,true
rule JSON SHA mismatch,rule_json_sha_matches=false,rule_json_sha_matches,false,rule_JSON_SHA_mismatch,rule_JSON_SHA_mismatch,true,true,0,0,0,false,false,false,false,true
family JSON SHA mismatch,family_json_sha_matches=false,family_json_sha_matches,false,family_JSON_SHA_mismatch,family_JSON_SHA_mismatch,true,true,0,0,0,false,false,false,false,true
rule-family link mismatch,rule_family_links_match=false,rule_family_links_match,false,rule_family_link_mismatch,rule_family_link_mismatch,true,true,0,0,0,false,false,false,false,true
candidate rule absent,candidate_rule_count=0,candidate_rule_count,0,candidate_rule_absent,candidate_rule_absent,true,true,0,0,0,false,false,false,false,true
candidate rule ambiguous,candidate_rule_count=2,candidate_rule_count,2,candidate_rule_ambiguous,candidate_rule_ambiguous,true,true,0,0,0,false,false,false,false,true
candidate family absent,candidate_family_count=0,candidate_family_count,0,candidate_family_absent,candidate_family_absent,true,true,0,0,0,false,false,false,false,true
candidate family ambiguous,candidate_family_count=2,candidate_family_count,2,candidate_family_ambiguous,candidate_family_ambiguous,true,true,0,0,0,false,false,false,false,true
candidate class ordering nondeterministic,candidate_class_order_deterministic=false,candidate_class_order_deterministic,false,candidate_class_ordering_nondeterministic,candidate_class_ordering_nondeterministic,true,true,0,0,0,false,false,false,false,true
duplicate candidate class index,duplicate_candidate_class_index=true,duplicate_candidate_class_index,true,duplicate_candidate_class_index,duplicate_candidate_class_index,true,true,0,0,0,false,false,false,false,true
non-contiguous candidate class index,candidate_class_indices_contiguous=false,candidate_class_indices_contiguous,false,non_contiguous_candidate_class_index,non_contiguous_candidate_class_index,true,true,0,0,0,false,false,false,false,true
candidate class ID mismatch,candidate_class_id_matches=false,candidate_class_id_matches,false,candidate_class_ID_mismatch,candidate_class_ID_mismatch,true,true,0,0,0,false,false,false,false,true
sample assigned rule mismatch,sample_rule_matches=false,sample_rule_matches,false,sample_assigned_rule_mismatch,sample_assigned_rule_mismatch,true,true,0,0,0,false,false,false,false,true
sample assigned family mismatch,sample_family_matches=false,sample_family_matches,false,sample_assigned_family_mismatch,sample_assigned_family_mismatch,true,true,0,0,0,false,false,false,false,true
sample semantic name mismatch,semantic_name_matches=false,semantic_name_matches,false,sample_semantic_name_mismatch,sample_semantic_name_mismatch,true,true,0,0,0,false,false,false,false,true
parent or observed graph SHA mismatch,graph_sha_matches=false,graph_sha_matches,false,parent_or_observed_graph_SHA_mismatch,parent_or_observed_graph_SHA_mismatch,true,true,0,0,0,false,false,false,false,true
candidate assignment prematurely promoted to approved,candidate_promoted_to_approved=true,candidate_promoted_to_approved,true,candidate_assignment_prematurely_promoted_to_approved,candidate_assignment_prematurely_promoted_to_approved,true,true,0,0,0,false,false,false,false,true
training label prematurely approved,training_label_approved=true,training_label_approved,true,training_label_prematurely_approved,training_label_prematurely_approved,true,true,0,0,0,false,false,false,false,true
role proposal readiness opened without approved rule,role_ready_without_approved_rule=true,role_ready_without_approved_rule,true,role_proposal_readiness_opened_without_approved_rule,role_proposal_readiness_opened_without_approved_rule,true,true,0,0,0,false,false,false,false,true
partial materialization attempted,partial_materialization_attempted=true,partial_materialization_attempted,true,partial_materialization_attempted,partial_materialization_attempted,true,true,0,0,0,false,false,false,false,true
execution boundary crossed,execution_boundary_crossed=true,execution_boundary_crossed,true,execution_boundary_crossed,execution_boundary_crossed,true,true,0,0,0,false,false,false,false,true
