canonical_event_id,review_unit_id,raw_priority_rank,current_review_status,ligand_component_id,ccd_component_graph_sha256,ccd_heavy_atom_graph_sha256,ccd_heavy_atom_count,formal_charge_representation_json,formal_charge_representation_authoritative,ligand_reactive_atom,ligand_reactive_element,reactive_center_radius1_sha256,reactive_center_radius2_sha256,ccd_retained_heavy_atom_coverage_complete,explicit_cys_sg_endpoint_semantics,source_atom_id_namespace,positive_reference_event_count,shadow_status,strict_shadow_match,matching_positive_reference_event_ids_json,matching_positive_reference_components_json,shadow_mapping_status,reactive_preserving_isomorphism_count,distinct_role_assignment_count,machine_role_transfer_candidate_only_json,shadow_authoritative,shadow_model_usable,shadow_training_admitted
COVAPIE_CYS_SG_EVENT_V1:1BJG:A:CYS:146-:SG:B:UFP:C6,COVAPIE_BULK_REVIEW_UNIT_1E58101A3E611294,92,CURRENTLY_UNREVIEWED,UFP,b0a11ecaa554b18716e2cce629257fca90bf38b2f97fd73803509cfa5c9617b5,bba707cfbe690d5e76220e9a8598c7f3c61765687f202a8d3e6590747948aa6e,21,"[[""C1'"",0],[""C2"",0],[""C2'"",0],[""C3'"",0],[""C4"",0],[""C4'"",0],[""C5"",0],[""C5'"",0],[""C6"",0],[""F5"",0],[""N1"",0],[""N3"",0],[""O1P"",0],[""O2"",0],[""O2P"",0],[""O3'"",0],[""O3P"",0],[""O4"",0],[""O4'"",0],[""O5'"",0],[""P"",0]]",false,C6,C,9d8060b2268ba49a158fddd66dd1ec165d7ec06ed6a41a9ab4cce7ae93031ef9,2378be48c8563f2ac42953db7b53923eda2337aecce63f6737607f283299c279,true,true,WWPDB_CCD_ATOM_ID,36,EXACT_COMPONENT_REACTIVE_CENTER_SHADOW,true,"[""COVAPIE_CYS_SG_EVENT_V1:1B02:A:CYS:161-:SG:B:UFP:C6""]","[""UFP""]",EXACT_CCD_ATOM_IDENTITY_NAMESPACE_MAPPING,1,0,{},false,false,false
COVAPIE_CYS_SG_EVENT_V1:1DC4:A:CYS:149-:SG:C:G3P:C1,COVAPIE_BULK_REVIEW_UNIT_7ECA4E38FFF9D55A,61,CURRENTLY_UNREVIEWED,G3P,a80febafdd1a957239c1b25358c830f15f48f9824891e39a38e8efd41193a0a8,1ef2089df52bd673fd96a798594720913fc7189332fa6b26b962feed88d78ac7,10,"[[""C1"",0],[""C2"",0],[""C3"",0],[""O1"",0],[""O1P"",0],[""O2"",0],[""O2P"",0],[""O3P"",0],[""O4P"",0],[""P"",0]]",false,C1,C,6640297989eb0bea53d9ea479366da0a85b814f464788a15e1152c9600e47ae3,7f5a3f467df2241f184015f98fea08e52f76734ceabdd1c7c558728f48aea087,true,true,WWPDB_CCD_ATOM_ID,36,NO_CURRENT_POSITIVE_SHADOW_MATCH,false,[],[],NO_EXACT_OR_ISOMORPHIC_REFERENCE_MATCH,0,0,{},false,false,false
COVAPIE_CYS_SG_EVENT_V1:1DC4:B:CYS:149-:SG:D:G3P:C1,COVAPIE_BULK_REVIEW_UNIT_7ECA4E38FFF9D55A,61,CURRENTLY_UNREVIEWED,G3P,a80febafdd1a957239c1b25358c830f15f48f9824891e39a38e8efd41193a0a8,1ef2089df52bd673fd96a798594720913fc7189332fa6b26b962feed88d78ac7,10,"[[""C1"",0],[""C2"",0],[""C3"",0],[""O1"",0],[""O1P"",0],[""O2"",0],[""O2P"",0],[""O3P"",0],[""O4P"",0],[""P"",0]]",false,C1,C,6640297989eb0bea53d9ea479366da0a85b814f464788a15e1152c9600e47ae3,7f5a3f467df2241f184015f98fea08e52f76734ceabdd1c7c558728f48aea087,true,true,WWPDB_CCD_ATOM_ID,36,NO_CURRENT_POSITIVE_SHADOW_MATCH,false,[],[],NO_EXACT_OR_ISOMORPHIC_REFERENCE_MATCH,0,0,{},false,false,false
COVAPIE_CYS_SG_EVENT_V1:1F4C:A:CYS:146-:SG:F:TP2:S1,COVAPIE_BULK_REVIEW_UNIT_C750E9F706F9E0AF,27,CURRENTLY_UNREVIEWED,TP2,9f191e623a07fafd3a157eed4023b97ae9aa7fcb4fe5ea2c9447e3ca6c5d673c,8a41cd14f45de50a25007a7f8ca67c76f1b27c84863e9abfbfe458c983b8dcb1,21,"[[""C10"",0],[""C11"",0],[""C12"",0],[""C13"",0],[""C14"",0],[""C15"",0],[""C18"",0],[""C19"",0],[""C2"",0],[""C20"",0],[""C3"",0],[""C5"",0],[""C6"",0],[""C9"",0],[""N4"",0],[""N7"",0],[""O16"",0],[""O17"",0],[""O21"",0],[""S1"",0],[""S8"",0]]",false,S1,S,e6ca1bc51fe2e6a441cee743e1e8351ac9e24a449cfdb678c4db60c12eec33b8,faffb9025d78c584582ffa19fda6801bc22e0f9e68def174a0a1683f1d7cb5aa,true,true,WWPDB_CCD_ATOM_ID,36,NO_CURRENT_POSITIVE_SHADOW_MATCH,false,[],[],NO_EXACT_OR_ISOMORPHIC_REFERENCE_MATCH,0,0,{},false,false,false
COVAPIE_CYS_SG_EVENT_V1:1F4C:B:CYS:146-:SG:I:TP2:S1,COVAPIE_BULK_REVIEW_UNIT_C750E9F706F9E0AF,27,CURRENTLY_UNREVIEWED,TP2,9f191e623a07fafd3a157eed4023b97ae9aa7fcb4fe5ea2c9447e3ca6c5d673c,8a41cd14f45de50a25007a7f8ca67c76f1b27c84863e9abfbfe458c983b8dcb1,21,"[[""C10"",0],[""C11"",0],[""C12"",0],[""C13"",0],[""C14"",0],[""C15"",0],[""C18"",0],[""C19"",0],[""C2"",0],[""C20"",0],[""C3"",0],[""C5"",0],[""C6"",0],[""C9"",0],[""N4"",0],[""N7"",0],[""O16"",0],[""O17"",0],[""O21"",0],[""S1"",0],[""S8"",0]]",false,S1,S,e6ca1bc51fe2e6a441cee743e1e8351ac9e24a449cfdb678c4db60c12eec33b8,faffb9025d78c584582ffa19fda6801bc22e0f9e68def174a0a1683f1d7cb5aa,true,true,WWPDB_CCD_ATOM_ID,36,NO_CURRENT_POSITIVE_SHADOW_MATCH,false,[],[],NO_EXACT_OR_ISOMORPHIC_REFERENCE_MATCH,0,0,{},false,false,false
COVAPIE_CYS_SG_EVENT_V1:1F4D:A:CYS:143-:SG:E:TP2:S1,COVAPIE_BULK_REVIEW_UNIT_C750E9F706F9E0AF,27,CURRENTLY_UNREVIEWED,TP2,9f191e623a07fafd3a157eed4023b97ae9aa7fcb4fe5ea2c9447e3ca6c5d673c,8a41cd14f45de50a25007a7f8ca67c76f1b27c84863e9abfbfe458c983b8dcb1,21,"[[""C10"",0],[""C11"",0],[""C12"",0],[""C13"",0],[""C14"",0],[""C15"",0],[""C18"",0],[""C19"",0],[""C2"",0],[""C20"",0],[""C3"",0],[""C5"",0],[""C6"",0],[""C9"",0],[""N4"",0],[""N7"",0],[""O16"",0],[""O17"",0],[""O21"",0],[""S1"",0],[""S8"",0]]",false,S1,S,e6ca1bc51fe2e6a441cee743e1e8351ac9e24a449cfdb678c4db60c12eec33b8,faffb9025d78c584582ffa19fda6801bc22e0f9e68def174a0a1683f1d7cb5aa,true,true,WWPDB_CCD_ATOM_ID,36,NO_CURRENT_POSITIVE_SHADOW_MATCH,false,[],[],NO_EXACT_OR_ISOMORPHIC_REFERENCE_MATCH,0,0,{},false,false,false
COVAPIE_CYS_SG_EVENT_V1:1F4D:B:CYS:143-:SG:I:TP2:S1,COVAPIE_BULK_REVIEW_UNIT_C750E9F706F9E0AF,27,CURRENTLY_UNREVIEWED,TP2,9f191e623a07fafd3a157eed4023b97ae9aa7fcb4fe5ea2c9447e3ca6c5d673c,8a41cd14f45de50a25007a7f8ca67c76f1b27c84863e9abfbfe458c983b8dcb1,21,"[[""C10"",0],[""C11"",0],[""C12"",0],[""C13"",0],[""C14"",0],[""C15"",0],[""C18"",0],[""C19"",0],[""C2"",0],[""C20"",0],[""C3"",0],[""C5"",0],[""C6"",0],[""C9"",0],[""N4"",0],[""N7"",0],[""O16"",0],[""O17"",0],[""O21"",0],[""S1"",0],[""S8"",0]]",false,S1,S,e6ca1bc51fe2e6a441cee743e1e8351ac9e24a449cfdb678c4db60c12eec33b8,faffb9025d78c584582ffa19fda6801bc22e0f9e68def174a0a1683f1d7cb5aa,true,true,WWPDB_CCD_ATOM_ID,36,NO_CURRENT_POSITIVE_SHADOW_MATCH,false,[],[],NO_EXACT_OR_ISOMORPHIC_REFERENCE_MATCH,0,0,{},false,false,false
COVAPIE_CYS_SG_EVENT_V1:1F8M:A:CYS:191-:SG:F:PYR:CB,COVAPIE_BULK_REVIEW_UNIT_EB7468B0711B37A4,30,CURRENTLY_UNREVIEWED,PYR,af16574b4629c4095d3c2999050d9d9f890cb47d3b14a04bd5a12bb967a04cb9,fae9d454d8f5cb8c76c65f4ca7014b23c1a79353d81b0d89b773800a6194e830,6,"[[""C"",0],[""CA"",0],[""CB"",0],[""O"",0],[""O3"",0],[""OXT"",0]]",false,CB,C,270399e12813ee583716a9b98b14a3a92b0ff33679d916e098ea8dd5a3862b15,a4ef2bdfced2cd00b0657a687d1f369c44fc79aef3f185422cfcd2c90519ac47,true,true,WWPDB_CCD_ATOM_ID,36,NO_CURRENT_POSITIVE_SHADOW_MATCH,false,[],[],NO_EXACT_OR_ISOMORPHIC_REFERENCE_MATCH,0,0,{},false,false,false
COVAPIE_CYS_SG_EVENT_V1:1F8M:B:CYS:191-:SG:H:PYR:CB,COVAPIE_BULK_REVIEW_UNIT_EB7468B0711B37A4,30,CURRENTLY_UNREVIEWED,PYR,af16574b4629c4095d3c2999050d9d9f890cb47d3b14a04bd5a12bb967a04cb9,fae9d454d8f5cb8c76c65f4ca7014b23c1a79353d81b0d89b773800a6194e830,6,"[[""C"",0],[""CA"",0],[""CB"",0],[""O"",0],[""O3"",0],[""OXT"",0]]",false,CB,C,270399e12813ee583716a9b98b14a3a92b0ff33679d916e098ea8dd5a3862b15,a4ef2bdfced2cd00b0657a687d1f369c44fc79aef3f185422cfcd2c90519ac47,true,true,WWPDB_CCD_ATOM_ID,36,NO_CURRENT_POSITIVE_SHADOW_MATCH,false,[],[],NO_EXACT_OR_ISOMORPHIC_REFERENCE_MATCH,0,0,{},false,false,false
COVAPIE_CYS_SG_EVENT_V1:1F8M:C:CYS:191-:SG:J:PYR:CB,COVAPIE_BULK_REVIEW_UNIT_EB7468B0711B37A4,30,CURRENTLY_UNREVIEWED,PYR,af16574b4629c4095d3c2999050d9d9f890cb47d3b14a04bd5a12bb967a04cb9,fae9d454d8f5cb8c76c65f4ca7014b23c1a79353d81b0d89b773800a6194e830,6,"[[""C"",0],[""CA"",0],[""CB"",0],[""O"",0],[""O3"",0],[""OXT"",0]]",false,CB,C,270399e12813ee583716a9b98b14a3a92b0ff33679d916e098ea8dd5a3862b15,a4ef2bdfced2cd00b0657a687d1f369c44fc79aef3f185422cfcd2c90519ac47,true,true,WWPDB_CCD_ATOM_ID,36,NO_CURRENT_POSITIVE_SHADOW_MATCH,false,[],[],NO_EXACT_OR_ISOMORPHIC_REFERENCE_MATCH,0,0,{},false,false,false
