atom_feature_resolution_item,source_or_evidence,proposed_policy,current_status,ready_for_resolution_smoke,ready_for_actual_tensor_smoke,blocks_training,atom_feature_resolution_passed,qa_comment
ligand_element_symbol_feature_policy,derived ligand atom tables and original static feature symbols,candidate ligand element categorical mapping,candidate_policy_only,True,False,True,True,candidate policy only; feature semantics remain non-final for training
ligand_atom_type_feature_policy,original static atom encoder symbol search,candidate ligand atom-type mapping aligned to original feature keys,candidate_policy_only,True,False,True,True,candidate policy only; feature semantics remain non-final for training
ligand_aromatic_feature_policy,feature semantics blocker audit,"candidate aromatic flag policy, not tensorized",candidate_policy_only,True,False,True,True,candidate policy only; feature semantics remain non-final for training
ligand_formal_charge_feature_policy,feature semantics blocker audit,"candidate formal charge policy, not tensorized",candidate_policy_only,True,False,True,True,candidate policy only; feature semantics remain non-final for training
ligand_unknown_atom_feature_policy_link,unknown atom policy resolution contract,defer uncommon ligand atom behavior to unknown policy,blocked_by_unknown_policy,True,False,True,True,candidate policy only; feature semantics remain non-final for training
protein_element_symbol_feature_policy,derived protein atom tables and static source symbols,candidate protein element categorical mapping,candidate_policy_only,True,False,True,True,candidate policy only; feature semantics remain non-final for training
protein_residue_name_feature_policy,feature semantics blocker audit,"candidate residue-name mapping, not final",candidate_policy_only,True,False,True,True,candidate policy only; feature semantics remain non-final for training
protein_atom_name_feature_policy,feature semantics blocker audit,"candidate protein atom-name mapping, not final",candidate_policy_only,True,False,True,True,candidate policy only; feature semantics remain non-final for training
protein_unknown_residue_feature_policy_link,unknown atom policy resolution contract,defer unknown residue behavior to unknown policy,blocked_by_unknown_policy,True,False,True,True,candidate policy only; feature semantics remain non-final for training
feature_dimension_policy_candidate,original feature dimension candidate symbols,derive feature dimensions only after categorical vocab is fixed,candidate_policy_only,True,False,True,True,candidate policy only; feature semantics remain non-final for training
feature_dtype_policy_candidate,tensor shape dtype resolution contract,"candidate dtype is categorical/int-like before one-hot expansion, no numpy/torch",candidate_policy_only,True,False,True,True,candidate policy only; feature semantics remain non-final for training
atom_feature_schema_resolution_smoke_required,Step 13BX readiness blockers,future resolution smoke must prove schema on derived tables before actual tensor smoke,blocked_until_resolution_smoke,True,False,True,True,candidate policy only; feature semantics remain non-final for training
