label_resolution_item,source_or_evidence,proposed_policy,current_status,ready_for_resolution_smoke,ready_for_actual_tensor_smoke,blocks_training,label_resolution_passed,qa_comment
mask_task_name_string_selector_policy,canonical mask names from metadata preview,long semantic mask task names remain source of truth,metadata_selector_policy,True,False,False,True,label policy remains candidate-only; no label tensor current step
mask_task_alias_display_only_policy,canonical aliases from metadata preview,aliases remain display-only labels,metadata_display_policy,True,False,False,True,label policy remains candidate-only; no label tensor current step
scaffold_linker_warhead_group_label_policy_candidate,final dataset smoke preview and mask contracts,future group-label smoke must resolve scaffold/linker/warhead membership,candidate_policy_only,True,False,True,True,label policy remains candidate-only; no label tensor current step
mask_boolean_tensor_policy_candidate,Step 13BX label blocker audit,future boolean mask policy after group labels are materialized,blocked_until_group_label_smoke,True,False,True,True,label policy remains candidate-only; no label tensor current step
warhead_type_label_policy_candidate,feature semantics blocker audit,"candidate warhead type label policy, metadata-only current step",candidate_policy_only,True,False,True,True,label policy remains candidate-only; no label tensor current step
covalent_atom_pair_label_policy_candidate,final dataset smoke preview,candidate covalent atom pair label policy before tensorization,candidate_policy_only,True,False,True,True,label policy remains candidate-only; no label tensor current step
covalent_bond_distance_label_policy_candidate,final dataset smoke preview,candidate scalar label policy before dtype decision,candidate_policy_only,True,False,True,True,label policy remains candidate-only; no label tensor current step
pre_covalent_geometry_label_policy_candidate,feature semantics blocker audit,candidate pre-covalent geometry label policy,candidate_policy_only,True,False,True,True,label policy remains candidate-only; no label tensor current step
post_covalent_geometry_label_policy_candidate,feature semantics blocker audit,candidate post-covalent geometry label policy,candidate_policy_only,True,False,True,True,label policy remains candidate-only; no label tensor current step
auxiliary_loss_label_policy_blocked,loss/training boundary,auxiliary loss labels stay blocked until semantics and loss contract exist,blocked_current_step,True,False,True,True,label policy remains candidate-only; no label tensor current step
group_label_materialization_smoke_required,mask/group blocker audit,future smoke must write group-label audits without tensors,requires_future_smoke,True,False,True,True,label policy remains candidate-only; no label tensor current step
auxiliary_label_resolution_smoke_required,auxiliary label blocker audit,future smoke must validate auxiliary labels without tensors,requires_future_smoke,True,False,True,True,label policy remains candidate-only; no label tensor current step
label_tensorization_actual_smoke_blocked,current execution boundary,actual label tensors remain blocked,blocked_current_step,False,False,True,True,label policy remains candidate-only; no label tensor current step
label_semantics_not_training_final_current_step,current readiness boundary,label semantics are not final training semantics,not_training_final,False,False,True,True,label policy remains candidate-only; no label tensor current step
