sample_id,output_sdf_path,source_ligand_sdf_path,bond_endpoint_a,bond_endpoint_b,action_applied,expected_old_bond_type,expected_new_bond_type,raw_current_bond_type,repaired_current_bond_type,bond_change_matches_action,coordinate_hash_same,raw_sdf_hash_same,touched_unresolved_boundary,qa_status,qa_error
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,0,1,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,0,20,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,0,25,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,1,16,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,1,21,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,2,3,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,2,7,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,2,25,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,3,4,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,4,5,blocked,single,single,single,single,true,true,true,false,passed,
BTK_C481_6DI9,data/derived/covalent_small/ligands_warhead_only_repaired/BTK_C481_6DI9_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/BTK_C481_6DI9_GJJ.sdf,5,6,blocked,single,single,single,single,true,true,true,false,passed,
