priority_rank,review_unit_id,event_count,potential_event_yield_per_unit,canonical_event_ids_json,pdb_ids_json,ligand_component_ids_json,full_coordinate_event_count,exact_reactive_pair_event_count,CCD_graph_complete_event_count,POST_geometry_available_event_count,shadow_exact_component_event_count,representation_blocked_event_count,leakage_conflict_event_count,priority_score,priority_reason,human_decision_created
1,COVAPIE_BULK_REVIEW_UNIT_6A4D564E712634EB,16,16,"[""COVAPIE_CYS_SG_EVENT_V1:4I3U:A:CYS:291-:SG:I:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:B:CYS:291-:SG:J:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:C:CYS:291-:SG:K:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:D:CYS:291-:SG:L:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:E:CYS:291-:SG:M:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:F:CYS:291-:SG:N:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:G:CYS:291-:SG:O:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:H:CYS:291-:SG:P:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:A:CYS:291-:SG:J:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:B:CYS:291-:SG:L:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:C:CYS:291-:SG:N:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:D:CYS:291-:SG:P:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:E:CYS:291-:SG:R:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:F:CYS:291-:SG:T:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:G:CYS:291-:SG:V:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:H:CYS:291-:SG:W:POA:C2""]","[""4I3U"",""4I3V""]","[""POA""]",16,16,16,16,0,0,0,16177760,EVENT_YIELD=16;FULL_COORDINATES=16;EXACT_PAIR=16;CCD_GRAPH=16;POST=16;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
2,COVAPIE_BULK_REVIEW_UNIT_BE9EC76A77B78516,10,10,"[""COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:10-:SG:B:RCY:C1S"",""COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:21-:SG:C:RCY:C1S"",""COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:30-:SG:D:RCY:C1S"",""COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:38-:SG:E:RCY:C1S"",""COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:50-:SG:F:RCY:C1S"",""COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:60-:SG:G:RCY:C1S"",""COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:68-:SG:H:RCY:C1S"",""COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:73-:SG:I:RCY:C1S"",""COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:76-:SG:J:RCY:C1S"",""COVAPIE_CYS_SG_EVENT_V1:2JU4:A:CYS:87-:SG:K:RCY:C1S""]","[""2JU4""]","[""RCY""]",10,10,10,10,0,0,0,10111100,EVENT_YIELD=10;FULL_COORDINATES=10;EXACT_PAIR=10;CCD_GRAPH=10;POST=10;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
3,COVAPIE_BULK_REVIEW_UNIT_FC5A3060FADCBA74,9,9,"[""COVAPIE_CYS_SG_EVENT_V1:1ECC:A:CYS:1-:SG:E:ONL:CE"",""COVAPIE_CYS_SG_EVENT_V1:1ECC:B:CYS:1-:SG:J:ONL:CE"",""COVAPIE_CYS_SG_EVENT_V1:1ECG:A:CYS:1-:SG:C:ONL:CE"",""COVAPIE_CYS_SG_EVENT_V1:1ECG:B:CYS:1-:SG:G:ONL:CE"",""COVAPIE_CYS_SG_EVENT_V1:1OFE:A:CYS:1-:SG:F:ONL:CE"",""COVAPIE_CYS_SG_EVENT_V1:3DLA:A:CYS:176-:SG:I:ONL:CE"",""COVAPIE_CYS_SG_EVENT_V1:3DLA:B:CYS:176-:SG:F:ONL:CE"",""COVAPIE_CYS_SG_EVENT_V1:3DLA:C:CYS:176-:SG:G:ONL:CE"",""COVAPIE_CYS_SG_EVENT_V1:3DLA:D:CYS:176-:SG:H:ONL:CE""]","[""1ECC"",""1ECG"",""1OFE"",""3DLA""]","[""ONL""]",9,9,9,9,0,0,0,9099990,EVENT_YIELD=9;FULL_COORDINATES=9;EXACT_PAIR=9;CCD_GRAPH=9;POST=9;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
4,COVAPIE_BULK_REVIEW_UNIT_1569D77F66026B58,8,8,"[""COVAPIE_CYS_SG_EVENT_V1:3S19:A:CYS:194-:SG:E:PRF:C10"",""COVAPIE_CYS_SG_EVENT_V1:3S19:B:CYS:194-:SG:G:PRF:C10"",""COVAPIE_CYS_SG_EVENT_V1:3S19:C:CYS:194-:SG:I:PRF:C10"",""COVAPIE_CYS_SG_EVENT_V1:3S19:D:CYS:194-:SG:K:PRF:C10"",""COVAPIE_CYS_SG_EVENT_V1:3UXJ:A:CYS:194-:SG:E:PRF:C10"",""COVAPIE_CYS_SG_EVENT_V1:3UXJ:B:CYS:194-:SG:I:PRF:C10"",""COVAPIE_CYS_SG_EVENT_V1:3UXJ:C:CYS:194-:SG:O:PRF:C10"",""COVAPIE_CYS_SG_EVENT_V1:3UXJ:D:CYS:194-:SG:S:PRF:C10""]","[""3S19"",""3UXJ""]","[""PRF""]",8,8,8,8,0,0,0,8088880,EVENT_YIELD=8;FULL_COORDINATES=8;EXACT_PAIR=8;CCD_GRAPH=8;POST=8;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
5,COVAPIE_BULK_REVIEW_UNIT_431D2725ADFC9E9D,8,8,"[""COVAPIE_CYS_SG_EVENT_V1:3VCY:A:CYS:116-:SG:E:FFQ:C1"",""COVAPIE_CYS_SG_EVENT_V1:3VCY:B:CYS:116-:SG:J:FFQ:C1"",""COVAPIE_CYS_SG_EVENT_V1:3VCY:C:CYS:116-:SG:O:FFQ:C1"",""COVAPIE_CYS_SG_EVENT_V1:3VCY:D:CYS:116-:SG:T:FFQ:C1"",""COVAPIE_CYS_SG_EVENT_V1:4R7U:A:CYS:116-:SG:F:FFQ:C1"",""COVAPIE_CYS_SG_EVENT_V1:4R7U:B:CYS:116-:SG:J:FFQ:C1"",""COVAPIE_CYS_SG_EVENT_V1:4R7U:C:CYS:116-:SG:M:FFQ:C1"",""COVAPIE_CYS_SG_EVENT_V1:4R7U:D:CYS:116-:SG:Q:FFQ:C1""]","[""3VCY"",""4R7U""]","[""FFQ""]",8,8,8,8,0,0,0,8088880,EVENT_YIELD=8;FULL_COORDINATES=8;EXACT_PAIR=8;CCD_GRAPH=8;POST=8;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
6,COVAPIE_BULK_REVIEW_UNIT_5834329D9E2A1F22,8,8,"[""COVAPIE_CYS_SG_EVENT_V1:4NPI:A:CYS:302-:SG:G:2VS:CA6"",""COVAPIE_CYS_SG_EVENT_V1:4NPI:B:CYS:302-:SG:J:2VS:CA6"",""COVAPIE_CYS_SG_EVENT_V1:4NPI:C:CYS:302-:SG:M:2VS:CA6"",""COVAPIE_CYS_SG_EVENT_V1:4NPI:D:CYS:302-:SG:P:2VS:CA6"",""COVAPIE_CYS_SG_EVENT_V1:4OUB:A:CYS:302-:SG:G:2VS:CA6"",""COVAPIE_CYS_SG_EVENT_V1:4OUB:B:CYS:302-:SG:J:2VS:CA6"",""COVAPIE_CYS_SG_EVENT_V1:4OUB:C:CYS:302-:SG:M:2VS:CA6"",""COVAPIE_CYS_SG_EVENT_V1:4OUB:D:CYS:302-:SG:P:2VS:CA6""]","[""4NPI"",""4OUB""]","[""2VS""]",8,8,8,8,0,0,0,8088880,EVENT_YIELD=8;FULL_COORDINATES=8;EXACT_PAIR=8;CCD_GRAPH=8;POST=8;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
7,COVAPIE_BULK_REVIEW_UNIT_5C788252BB9BA078,8,8,"[""COVAPIE_CYS_SG_EVENT_V1:4I3W:A:CYS:291-:SG:I:G3H:C1"",""COVAPIE_CYS_SG_EVENT_V1:4I3W:B:CYS:291-:SG:K:G3H:C1"",""COVAPIE_CYS_SG_EVENT_V1:4I3W:C:CYS:291-:SG:M:G3H:C1"",""COVAPIE_CYS_SG_EVENT_V1:4I3W:D:CYS:291-:SG:O:G3H:C1"",""COVAPIE_CYS_SG_EVENT_V1:4I3W:E:CYS:291-:SG:Q:G3H:C1"",""COVAPIE_CYS_SG_EVENT_V1:4I3W:F:CYS:291-:SG:S:G3H:C1"",""COVAPIE_CYS_SG_EVENT_V1:4I3W:G:CYS:291-:SG:U:G3H:C1"",""COVAPIE_CYS_SG_EVENT_V1:4I3W:H:CYS:291-:SG:W:G3H:C1""]","[""4I3W""]","[""G3H""]",8,8,8,8,0,0,0,8088880,EVENT_YIELD=8;FULL_COORDINATES=8;EXACT_PAIR=8;CCD_GRAPH=8;POST=8;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
8,COVAPIE_BULK_REVIEW_UNIT_9723B0F9EC07CC81,8,8,"[""COVAPIE_CYS_SG_EVENT_V1:3ORX:A:CYS:148-:SG:I:1F8:SD"",""COVAPIE_CYS_SG_EVENT_V1:3ORX:B:CYS:148-:SG:K:1F8:SD"",""COVAPIE_CYS_SG_EVENT_V1:3ORX:C:CYS:148-:SG:M:1F8:SD"",""COVAPIE_CYS_SG_EVENT_V1:3ORX:D:CYS:148-:SG:O:1F8:SD"",""COVAPIE_CYS_SG_EVENT_V1:3ORX:E:CYS:148-:SG:Q:1F8:SD"",""COVAPIE_CYS_SG_EVENT_V1:3ORX:F:CYS:148-:SG:R:1F8:SD"",""COVAPIE_CYS_SG_EVENT_V1:3ORX:G:CYS:148-:SG:S:1F8:SD"",""COVAPIE_CYS_SG_EVENT_V1:3ORX:H:CYS:148-:SG:T:1F8:SD""]","[""3ORX""]","[""1F8""]",8,8,8,8,0,0,0,8088880,EVENT_YIELD=8;FULL_COORDINATES=8;EXACT_PAIR=8;CCD_GRAPH=8;POST=8;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
9,COVAPIE_BULK_REVIEW_UNIT_1138FFC288DFD03D,7,7,"[""COVAPIE_CYS_SG_EVENT_V1:4LL0:A:CYS:797-:SG:C:YUN:CAN"",""COVAPIE_CYS_SG_EVENT_V1:4LL0:B:CYS:797-:SG:D:YUN:CAN"",""COVAPIE_CYS_SG_EVENT_V1:4LRM:A:CYS:800-:SG:F:YUN:CAN"",""COVAPIE_CYS_SG_EVENT_V1:4LRM:B:CYS:800-:SG:G:YUN:CAN"",""COVAPIE_CYS_SG_EVENT_V1:4LRM:C:CYS:800-:SG:H:YUN:CAN"",""COVAPIE_CYS_SG_EVENT_V1:4LRM:D:CYS:800-:SG:I:YUN:CAN"",""COVAPIE_CYS_SG_EVENT_V1:4LRM:E:CYS:800-:SG:J:YUN:CAN""]","[""4LL0"",""4LRM""]","[""YUN""]",7,7,7,7,0,0,0,7077770,EVENT_YIELD=7;FULL_COORDINATES=7;EXACT_PAIR=7;CCD_GRAPH=7;POST=7;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
10,COVAPIE_BULK_REVIEW_UNIT_0E0F340A9F98DA62,6,6,"[""COVAPIE_CYS_SG_EVENT_V1:3V61:B:CYS:22-:SG:P:NEQ:C3"",""COVAPIE_CYS_SG_EVENT_V1:3V61:B:CYS:81-:SG:Q:NEQ:C3"",""COVAPIE_CYS_SG_EVENT_V1:3V62:B:CYS:22-:SG:G:NEQ:C3"",""COVAPIE_CYS_SG_EVENT_V1:3V62:B:CYS:81-:SG:H:NEQ:C3"",""COVAPIE_CYS_SG_EVENT_V1:3V62:E:CYS:22-:SG:K:NEQ:C3"",""COVAPIE_CYS_SG_EVENT_V1:3V62:E:CYS:81-:SG:L:NEQ:C3""]","[""3V61"",""3V62""]","[""NEQ""]",6,6,6,6,0,0,0,6066660,EVENT_YIELD=6;FULL_COORDINATES=6;EXACT_PAIR=6;CCD_GRAPH=6;POST=6;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
11,COVAPIE_BULK_REVIEW_UNIT_FF0D6AE54C3F23F4,6,6,"[""COVAPIE_CYS_SG_EVENT_V1:3KHU:A:CYS:276-:SG:G:UPG:C6'"",""COVAPIE_CYS_SG_EVENT_V1:3KHU:B:CYS:276-:SG:L:UPG:C6'"",""COVAPIE_CYS_SG_EVENT_V1:3KHU:C:CYS:276-:SG:S:UPG:C6'"",""COVAPIE_CYS_SG_EVENT_V1:3KHU:D:CYS:276-:SG:X:UPG:C6'"",""COVAPIE_CYS_SG_EVENT_V1:3KHU:E:CYS:276-:SG:AA:UPG:C6'"",""COVAPIE_CYS_SG_EVENT_V1:3KHU:F:CYS:276-:SG:IA:UPG:C6'""]","[""3KHU""]","[""UPG""]",6,6,6,6,0,0,0,6066660,EVENT_YIELD=6;FULL_COORDINATES=6;EXACT_PAIR=6;CCD_GRAPH=6;POST=6;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
