source_order,source_relative_path,source_kind,base_tree_sha256,filesystem_sha256,tracked_regular_non_symlink,source_boundary_passed
1,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,committed_schema_or_evidence_csv,4a7465b6ec0550635578ef9e65cafd49467448e2fdfd3fe49889318b08f5421e,4a7465b6ec0550635578ef9e65cafd49467448e2fdfd3fe49889318b08f5421e,true,true
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_issue_readiness_inventory.csv,committed_schema_or_evidence_csv,6a7c4f7b81cbcf6e2d2bd0a6bf07fab6a24e2d7e94aba65199cfa468e72c5a7a,6a7c4f7b81cbcf6e2d2bd0a6bf07fab6a24e2d7e94aba65199cfa468e72c5a7a,true,true
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_integration_issue_inventory.csv,committed_schema_or_evidence_csv,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,true,true
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_context_matrix.csv,committed_schema_or_evidence_csv,26e6eac422d00805aaad336024c2ec9d75038620e280c8d48fa89ef60a451cd1,26e6eac422d00805aaad336024c2ec9d75038620e280c8d48fa89ef60a451cd1,true,true
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_field_matrix.csv,committed_schema_or_evidence_csv,3b9783910012c4910491a05cb7936fe425d86e7dea9d42d774e2c794228a8177,3b9783910012c4910491a05cb7936fe425d86e7dea9d42d774e2c794228a8177,true,true
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_rule_matrix.csv,committed_schema_or_evidence_csv,bcc794debeb4d8287d06db9891dd7f0c085e0cc96ba50b14b8b34d3e768ff676,bcc794debeb4d8287d06db9891dd7f0c085e0cc96ba50b14b8b34d3e768ff676,true,true
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_issue_transition_inventory.csv,committed_schema_or_evidence_csv,fecb82397a853e900a53368dedc6bacf95fdc497fa6cd09c31a9be8a1e1d0577,fecb82397a853e900a53368dedc6bacf95fdc497fa6cd09c31a9be8a1e1d0577,true,true
8,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integrated_context_matrix.csv,committed_schema_or_evidence_csv,1e3dd997d2baa2421b77d0e75a0751dca7c2d8025132a6f615e41d9172c9e2a1,1e3dd997d2baa2421b77d0e75a0751dca7c2d8025132a6f615e41d9172c9e2a1,true,true
9,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integrated_field_matrix.csv,committed_schema_or_evidence_csv,940724c739c6da6a9f76a7e66e03d4261abfc152df552756faea614f54fd68df,940724c739c6da6a9f76a7e66e03d4261abfc152df552756faea614f54fd68df,true,true
10,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integrated_rule_matrix.csv,committed_schema_or_evidence_csv,b4a3d876acaf1c521b06fe2a35f3da2448662e632cb0f44fab355e30c7861d99,b4a3d876acaf1c521b06fe2a35f3da2448662e632cb0f44fab355e30c7861d99,true,true
