value_order,source_relative_path,source_sha256,container_kind,field_location,observed_value,value_state,grammar_promoted,evaluator_usable
1,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_historical_raw_fingerprint_authority_consolidation_gate_v1/covapie_covalent_residue_locator_historical_raw_fingerprint_authority.csv,71cc0a46100e42318367514c86154493592eb0e82868178b2184d858c2cf2eaa,committed_schema_or_evidence_csv,row:1,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,present_historical_or_fixture_value,false,false
2,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_historical_raw_fingerprint_authority_consolidation_gate_v1/covapie_covalent_residue_locator_historical_raw_fingerprint_authority.csv,71cc0a46100e42318367514c86154493592eb0e82868178b2184d858c2cf2eaa,committed_schema_or_evidence_csv,row:2,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,present_historical_or_fixture_value,false,false
3,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_historical_raw_fingerprint_authority_consolidation_gate_v1/covapie_covalent_residue_locator_historical_raw_fingerprint_authority.csv,71cc0a46100e42318367514c86154493592eb0e82868178b2184d858c2cf2eaa,committed_schema_or_evidence_csv,row:3,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,present_historical_or_fixture_value,false,false
4,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,committed_schema_or_evidence_csv,row:1,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv6.cif,present_historical_or_fixture_value,false,false
5,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,committed_schema_or_evidence_csv,row:2,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv8.cif,present_historical_or_fixture_value,false,false
6,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,committed_schema_or_evidence_csv,row:3,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6bv5.cif,present_historical_or_fixture_value,false,false
7,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,committed_schema_or_evidence_csv,row:4,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aec.cif,present_historical_or_fixture_value,false,false
8,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,committed_schema_or_evidence_csv,row:5,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1aim.cif,present_historical_or_fixture_value,false,false
9,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,committed_schema_or_evidence_csv,row:6,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au3.cif,present_historical_or_fixture_value,false,false
10,data/derived/covalent_small/covapie_bulk_download_admission_covalent_residue_locator_real_parser_provider_pipeline_integration_design_gate_v1/covapie_covalent_residue_locator_real_sample_binding_matrix.csv,61a1e77c81a8a0d335bbafd454d2926be442c2dd794bce8b75dc8a1451f78e98,committed_schema_or_evidence_csv,row:7,data/raw/covalent_sources/covpdb/independent_group_expansion_batch_000001/1au4.cif,present_historical_or_fixture_value,false,false
