occurrence_order,source_relative_path,source_sha256,source_kind,line_number,occurrence_class,text
1,data/derived/covalent_small/covapie_bulk_download_admission_admit_001_to_003_legacy_adapter_contract_design_gate_v1/covapie_admit_001_to_003_legacy_adapter_issue_inventory.csv,4a7465b6ec0550635578ef9e65cafd49467448e2fdfd3fe49889318b08f5421e,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
2,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_design_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_issue_readiness_inventory.csv,6a7c4f7b81cbcf6e2d2bd0a6bf07fab6a24e2d7e94aba65199cfa468e72c5a7a,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
3,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_integration_issue_inventory.csv,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
4,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_context_matrix.csv,26e6eac422d00805aaad336024c2ec9d75038620e280c8d48fa89ef60a451cd1,committed_schema_or_evidence_csv,13,schema_or_contract,"existing_raw_target_relative_paths,batch_external_state_snapshot,ADMIT_011,true,false,false,true,true,true,true,,covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1,,false,"
5,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_context_matrix.csv,26e6eac422d00805aaad336024c2ec9d75038620e280c8d48fa89ef60a451cd1,committed_schema_or_evidence_csv,14,open_blocker_evidence,"raw_target_relative_path_contract,evaluation_policy,ADMIT_011,true,false,false,false,true,false,false,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1,,false,"
6,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_field_matrix.csv,3b9783910012c4910491a05cb7936fe425d86e7dea9d42d774e2c794228a8177,committed_schema_or_evidence_csv,13,open_blocker_evidence,"raw_target_relative_path,pre_download,""future raw destination, no overwrite permitted"",true,candidate_metadata_provider,ADMIT_011,false,raw_target_relative_path_contract,false,false,false,false,step14at_schema_contract_value_contract_only,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,true,covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1,,false,"
7,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_generic_atom_identity_evidence_context_reconciliation_integration_gate_v1/covapie_admit_004_generic_atom_identity_evidence_context_reconciled_rule_matrix.csv,bcc794debeb4d8287d06db9891dd7f0c085e0cc96ba50b14b8b34d3e768ff676,committed_schema_or_evidence_csv,12,open_blocker_evidence,"ADMIT_011,raw_overwrite_forbidden,pre_download,raw_target_relative_path,,existing_raw_target_relative_paths|raw_target_relative_path_contract,false,false,false,true,true,false,false,true,interface_only_pending_semantics,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1,,false,"
8,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_design_gate_v1/covapie_admit_004_residue_identity_atom_name_issue_transition_inventory.csv,fecb82397a853e900a53368dedc6bacf95fdc497fa6cd09c31a9be8a1e1d0577,committed_schema_or_evidence_csv,10,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
9,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integrated_context_matrix.csv,1e3dd997d2baa2421b77d0e75a0751dca7c2d8025132a6f615e41d9172c9e2a1,committed_schema_or_evidence_csv,12,schema_or_contract,"existing_raw_target_relative_paths,batch_external_state_snapshot,ADMIT_011,true,false,false,true,true,true,true,,covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1,,false,"
10,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integrated_context_matrix.csv,1e3dd997d2baa2421b77d0e75a0751dca7c2d8025132a6f615e41d9172c9e2a1,committed_schema_or_evidence_csv,13,open_blocker_evidence,"raw_target_relative_path_contract,evaluation_policy,ADMIT_011,true,false,false,false,true,false,false,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1,,false,"
11,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integrated_field_matrix.csv,940724c739c6da6a9f76a7e66e03d4261abfc152df552756faea614f54fd68df,committed_schema_or_evidence_csv,13,open_blocker_evidence,"raw_target_relative_path,pre_download,""future raw destination, no overwrite permitted"",true,candidate_metadata_provider,ADMIT_011,false,raw_target_relative_path_contract,false,false,false,false,step14at_schema_contract_value_contract_only,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,true,covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1,,false,"
12,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integrated_rule_matrix.csv,b4a3d876acaf1c521b06fe2a35f3da2448662e632cb0f44fab355e30c7861d99,committed_schema_or_evidence_csv,12,open_blocker_evidence,"ADMIT_011,raw_overwrite_forbidden,pre_download,raw_target_relative_path,,existing_raw_target_relative_paths|raw_target_relative_path_contract,false,false,false,true,true,false,false,true,interface_only_pending_semantics,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,covapie_canonical_final_dataset_bulk_download_admission_implementation_precondition_gate_v1,,false,"
13,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_residue_identity_atom_name_semantics_integration_gate_v1/covapie_admit_004_residue_identity_atom_name_integration_issue_inventory.csv,a011d21b73182f27898df69ccbe3ef0eda061d46ced7e095aebcdda31fab3903,committed_schema_or_evidence_csv,9,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
14,data/derived/covalent_small/covapie_bulk_download_admission_admit_004_rule_logic_interface_v1/covapie_admit_004_rule_logic_interface_issue_readiness_inventory.csv,7cf0a9ff421ba987655c4dac4564c04dbaa854cd4f725b18136642f223762d30,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
15,data/derived/covalent_small/covapie_bulk_download_admission_admit_005_rule_logic_interface_v1/covapie_admit_005_rule_logic_interface_issue_readiness_inventory.csv,27bed0fd2250e0c64c704771fdb2bca8f5e50554d99f53694dc579f85f578d1f,committed_schema_or_evidence_csv,8,open_blocker_evidence,"RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged_open,1"
