required_field_name,required_field_group,present_in_sample_index_smoke,qa_status,blocking_reasons
sample_index_row_id,identity_provenance,True,present_in_sample_index_smoke,
review_row_id,identity_provenance,True,present_in_sample_index_smoke,
pdb_id,identity_provenance,True,present_in_sample_index_smoke,
expected_step8_sample_name,identity_provenance,True,present_in_sample_index_smoke,
source_sample_name,identity_provenance,True,present_in_sample_index_smoke,
source_stage_lineage,identity_provenance,True,present_in_sample_index_smoke,
v1_train_ready_scope,identity_provenance,True,present_in_sample_index_smoke,
residue_scope,identity_provenance,True,present_in_sample_index_smoke,
residue_name,identity_provenance,True,present_in_sample_index_smoke,
residue_chain_id,identity_provenance,False,intentionally_deferred_not_blocking,
residue_seq_id,identity_provenance,False,intentionally_deferred_not_blocking,
residue_atom_name,identity_provenance,True,present_in_sample_index_smoke,
covalent_ligand_endpoint_atom_id,identity_provenance,False,intentionally_deferred_not_blocking,
covalent_bond_atom_pair_status,identity_provenance,False,intentionally_deferred_not_blocking,
ligand_atom_topology_table_path,ligand_topology,True,present_in_sample_index_smoke,
ligand_bond_topology_table_path,ligand_topology,True,present_in_sample_index_smoke,
ligand_atom_count,ligand_topology,True,present_in_sample_index_smoke,
ligand_bond_count,ligand_topology,True,present_in_sample_index_smoke,
endpoint_atom_true_count,ligand_topology,True,present_in_sample_index_smoke,
endpoint_touching_bond_true_count,ligand_topology,True,present_in_sample_index_smoke,
warhead_atom_count,ligand_topology,True,present_in_sample_index_smoke,
linker_atom_count,ligand_topology,True,present_in_sample_index_smoke,
scaffold_atom_count,ligand_topology,True,present_in_sample_index_smoke,
warhead_bond_count,ligand_topology,True,present_in_sample_index_smoke,
linker_bond_count,ligand_topology,True,present_in_sample_index_smoke,
scaffold_bond_count,ligand_topology,True,present_in_sample_index_smoke,
cross_boundary_or_unassigned_bond_count,ligand_topology,True,present_in_sample_index_smoke,
pocket_atom_table_path,pocket_protein_dependency,False,intentionally_deferred_not_blocking,
pocket_atom_count,pocket_protein_dependency,False,intentionally_deferred_not_blocking,
pocket_extraction_scope,pocket_protein_dependency,False,intentionally_deferred_not_blocking,
full_atom_extraction_source,pocket_protein_dependency,False,intentionally_deferred_not_blocking,
canonical_mask_task_names,mask_task_contract,True,present_in_sample_index_smoke,
canonical_mask_task_aliases,mask_task_contract,True,present_in_sample_index_smoke,
mask_task_count,mask_task_contract,True,present_in_sample_index_smoke,
supports_warhead_only,mask_task_contract,True,present_in_sample_index_smoke,
supports_linker_plus_warhead,mask_task_contract,True,present_in_sample_index_smoke,
supports_scaffold_plus_warhead,mask_task_contract,True,present_in_sample_index_smoke,
supports_scaffold_only,mask_task_contract,True,present_in_sample_index_smoke,
supports_scaffold_plus_linker_plus_warhead,mask_task_contract,True,present_in_sample_index_smoke,
warhead_type_label_status,auxiliary_task_contract,False,intentionally_deferred_not_blocking,
ligand_residue_atom_pair_label_status,auxiliary_task_contract,False,intentionally_deferred_not_blocking,
pre_post_covalent_geometry_label_status,auxiliary_task_contract,False,intentionally_deferred_not_blocking,
sample_index_materialization_status,readiness_safety,True,present_in_sample_index_smoke,
model_input_materialization_status,readiness_safety,True,present_in_sample_index_smoke,
training_use_status,readiness_safety,True,present_in_sample_index_smoke,
feature_semantics_audit_required_before_training,readiness_safety,True,present_in_sample_index_smoke,
ready_to_train_now,readiness_safety,True,present_in_sample_index_smoke,
