fixture_profile,container_name,field_name,exact_type,canonical_value,consumed_rule_ids,semantic_source_path,semantic_source_symbol,projection_policy,ambiguity_status,verified
canonical_single_candidate_exact4,candidate_record[0],candidate_record_id,builtins.str,"""REC_1""",ADMIT_001,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_004.py,_evaluate_registered_admit_001; tests::_valid_spec,deterministically_projected_from_committed_fixture_contract,resolved_from_committed_contract,true
canonical_single_candidate_exact4,candidate_record[0],pdb_id,builtins.str,"""1abc""",ADMIT_002,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_004.py,_evaluate_registered_admit_002; tests::_valid_spec,deterministically_projected_from_committed_fixture_contract,resolved_from_committed_contract,true
canonical_single_candidate_exact4,candidate_record[0],ligand_comp_id,builtins.str,"""L1""",ADMIT_003,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_004.py,_evaluate_registered_admit_003; tests::_valid_spec,deterministically_projected_from_committed_fixture_contract,resolved_from_committed_contract,true
canonical_single_candidate_exact4,candidate_record[0],covalent_residue_name,builtins.str,"""CYS""",ADMIT_004|ADMIT_005,src/covalent_ext/covapie_bulk_download_admission_admit_004_rule_logic_interface.py,CANDIDATE_FIELDS; minimal_dispatch::_base_candidate,deterministically_projected_from_committed_fixture_contract,resolved_from_committed_contract,true
canonical_single_candidate_exact4,candidate_record[0],covalent_residue_chain_id,builtins.str,"""A""",ADMIT_004,src/covalent_ext/covapie_bulk_download_admission_admit_004_rule_logic_interface.py,CANDIDATE_FIELDS; minimal_dispatch::_base_candidate,deterministically_projected_from_committed_fixture_contract,resolved_from_committed_contract,true
canonical_single_candidate_exact4,candidate_record[0],covalent_residue_index,builtins.str,"""42""",ADMIT_004,src/covalent_ext/covapie_bulk_download_admission_admit_004_rule_logic_interface.py,CANDIDATE_FIELDS; minimal_dispatch::_base_candidate,deterministically_projected_from_committed_fixture_contract,resolved_from_committed_contract,true
canonical_single_candidate_exact4,candidate_record[0],covalent_residue_atom_name,builtins.str,"""SG""",ADMIT_004|ADMIT_005,src/covalent_ext/covapie_bulk_download_admission_admit_004_rule_logic_interface.py,CANDIDATE_FIELDS; minimal_dispatch::_base_candidate,deterministically_projected_from_committed_fixture_contract,resolved_from_committed_contract,true
canonical_single_candidate_exact4,candidate_record[0],covalent_residue_locator_namespace,builtins.str,"""auth""",ADMIT_004,src/covalent_ext/covapie_bulk_download_admission_admit_004_rule_logic_interface.py,CANDIDATE_FIELDS; minimal_dispatch::_base_candidate,deterministically_projected_from_committed_fixture_contract,resolved_from_committed_contract,true
canonical_single_candidate_exact4,candidate_record[0],covalent_residue_insertion_code_state,builtins.str,"""absent""",ADMIT_004,src/covalent_ext/covapie_bulk_download_admission_admit_004_rule_logic_interface.py,CANDIDATE_FIELDS; minimal_dispatch::_base_candidate,deterministically_projected_from_committed_fixture_contract,resolved_from_committed_contract,true
canonical_single_candidate_exact4,candidate_record[0],covalent_residue_insertion_code,builtins.str,"""""",ADMIT_004,src/covalent_ext/covapie_bulk_download_admission_admit_004_rule_logic_interface.py,CANDIDATE_FIELDS; minimal_dispatch::_base_candidate,deterministically_projected_from_committed_fixture_contract,resolved_from_committed_contract,true
canonical_single_candidate_exact4,candidate_record[0],covalent_residue_locator_provenance_source_id,builtins.str,"""covapie:synthetic:1""",ADMIT_004,src/covalent_ext/covapie_bulk_download_admission_admit_004_rule_logic_interface.py,CANDIDATE_FIELDS; minimal_dispatch::_base_candidate,deterministically_projected_from_committed_fixture_contract,resolved_from_committed_contract,true
