fixture_profile,scope_id,candidate_count,candidate_index,admission_rule_id,execution_domain,outcome,reason,passed,blocks_candidate,dispatcher_call_count,aggregator_call_count,action_permission_granted
canonical_single_candidate_exact4,download_execution_permission,1,-1,ADMIT_014,stage_global,blocked,BULK_DOWNLOAD_NOT_AUTHORIZED,false,true,11,1,false
canonical_single_candidate_exact4,download_execution_permission,1,0,ADMIT_001,candidate,passed,,true,false,11,1,false
canonical_single_candidate_exact4,download_execution_permission,1,0,ADMIT_002,candidate,passed,,true,false,11,1,false
canonical_single_candidate_exact4,download_execution_permission,1,0,ADMIT_003,candidate,passed,,true,false,11,1,false
canonical_single_candidate_exact4,download_execution_permission,1,0,ADMIT_004,candidate,passed,,true,false,11,1,false
canonical_single_candidate_exact4,download_execution_permission,1,0,ADMIT_005,candidate,passed,,true,false,11,1,false
canonical_single_candidate_exact4,download_execution_permission,1,0,ADMIT_006,candidate,passed,,true,false,11,1,false
canonical_single_candidate_exact4,download_execution_permission,1,0,ADMIT_007,candidate,passed,,true,false,11,1,false
canonical_single_candidate_exact4,download_execution_permission,1,0,ADMIT_008,candidate,passed,,true,false,11,1,false
canonical_single_candidate_exact4,download_execution_permission,1,0,ADMIT_009,candidate,passed,,true,false,11,1,false
canonical_single_candidate_exact4,download_execution_permission,1,0,ADMIT_011,candidate,passed,,true,false,11,1,false
canonical_single_candidate_exact4,download_execution_permission,1,0,ADMIT_014,stage_global_reused,blocked,BULK_DOWNLOAD_NOT_AUTHORIZED,false,true,11,1,false
canonical_single_candidate_exact4,post_download_acceptance_permission,1,-1,ADMIT_014,stage_global,blocked,BULK_DOWNLOAD_NOT_AUTHORIZED,false,true,13,1,false
canonical_single_candidate_exact4,post_download_acceptance_permission,1,0,ADMIT_001,candidate,passed,,true,false,13,1,false
canonical_single_candidate_exact4,post_download_acceptance_permission,1,0,ADMIT_002,candidate,passed,,true,false,13,1,false
canonical_single_candidate_exact4,post_download_acceptance_permission,1,0,ADMIT_003,candidate,passed,,true,false,13,1,false
canonical_single_candidate_exact4,post_download_acceptance_permission,1,0,ADMIT_004,candidate,passed,,true,false,13,1,false
canonical_single_candidate_exact4,post_download_acceptance_permission,1,0,ADMIT_005,candidate,passed,,true,false,13,1,false
canonical_single_candidate_exact4,post_download_acceptance_permission,1,0,ADMIT_006,candidate,passed,,true,false,13,1,false
canonical_single_candidate_exact4,post_download_acceptance_permission,1,0,ADMIT_007,candidate,passed,,true,false,13,1,false
canonical_single_candidate_exact4,post_download_acceptance_permission,1,0,ADMIT_008,candidate,passed,,true,false,13,1,false
canonical_single_candidate_exact4,post_download_acceptance_permission,1,0,ADMIT_009,candidate,passed,,true,false,13,1,false
canonical_single_candidate_exact4,post_download_acceptance_permission,1,0,ADMIT_011,candidate,passed,,true,false,13,1,false
canonical_single_candidate_exact4,post_download_acceptance_permission,1,0,ADMIT_012,candidate,passed,,true,false,13,1,false
canonical_single_candidate_exact4,post_download_acceptance_permission,1,0,ADMIT_013,candidate,passed,,true,false,13,1,false
canonical_single_candidate_exact4,post_download_acceptance_permission,1,0,ADMIT_014,stage_global_reused,blocked,BULK_DOWNLOAD_NOT_AUTHORIZED,false,true,13,1,false
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,-1,ADMIT_014,stage_global,blocked,BULK_DOWNLOAD_NOT_AUTHORIZED,false,true,14,1,false
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,0,ADMIT_001,candidate,passed,,true,false,14,1,false
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,0,ADMIT_002,candidate,passed,,true,false,14,1,false
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,0,ADMIT_003,candidate,passed,,true,false,14,1,false
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,0,ADMIT_004,candidate,passed,,true,false,14,1,false
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,0,ADMIT_005,candidate,passed,,true,false,14,1,false
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,0,ADMIT_006,candidate,passed,,true,false,14,1,false
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,0,ADMIT_007,candidate,passed,,true,false,14,1,false
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,0,ADMIT_008,candidate,passed,,true,false,14,1,false
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,0,ADMIT_009,candidate,passed,,true,false,14,1,false
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,0,ADMIT_010,candidate,passed,,true,false,14,1,false
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,0,ADMIT_011,candidate,passed,,true,false,14,1,false
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,0,ADMIT_012,candidate,passed,,true,false,14,1,false
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,0,ADMIT_013,candidate,passed,,true,false,14,1,false
canonical_single_candidate_exact4,pre_final_split_acceptance_permission,1,0,ADMIT_014,stage_global_reused,blocked,BULK_DOWNLOAD_NOT_AUTHORIZED,false,true,14,1,false
canonical_single_candidate_exact4,training_execution_admission_permission,1,-1,ADMIT_014,stage_global,blocked,BULK_DOWNLOAD_NOT_AUTHORIZED,false,true,15,1,false
canonical_single_candidate_exact4,training_execution_admission_permission,1,-1,ADMIT_015,stage_global,blocked,TRAINING_NOT_AUTHORIZED,false,true,15,1,false
canonical_single_candidate_exact4,training_execution_admission_permission,1,0,ADMIT_001,candidate,passed,,true,false,15,1,false
canonical_single_candidate_exact4,training_execution_admission_permission,1,0,ADMIT_002,candidate,passed,,true,false,15,1,false
canonical_single_candidate_exact4,training_execution_admission_permission,1,0,ADMIT_003,candidate,passed,,true,false,15,1,false
canonical_single_candidate_exact4,training_execution_admission_permission,1,0,ADMIT_004,candidate,passed,,true,false,15,1,false
canonical_single_candidate_exact4,training_execution_admission_permission,1,0,ADMIT_005,candidate,passed,,true,false,15,1,false
