input_source_name,source_path_or_policy,source_type,allowed_access_mode,source_exists_or_policy_valid,current_step_access_status,runtime_dependency_used_current_step,raw_access_blocked,input_source_smoke_passed,qa_comment
final_dataset_smoke_preview_csv,data/derived/covalent_small/covapie_final_dataset_smoke_v0/covapie_final_dataset_smoke_preview.csv,derived_csv,derived_csv_json_read_only,True,read_only_validated,False,False,True,input source carried forward without raw or runtime dependency access
final_dataset_smoke_preview_json,data/derived/covalent_small/covapie_final_dataset_smoke_v0/covapie_final_dataset_smoke_preview.json,derived_json,derived_csv_json_read_only,True,read_only_validated,False,False,True,input source carried forward without raw or runtime dependency access
protein_pocket_atom_table,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,derived_csv,derived_csv_json_read_only,True,path_and_count_validated,False,False,True,input source carried forward without raw or runtime dependency access
ligand_atom_table,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,derived_csv,derived_csv_json_read_only,True,path_and_count_validated,False,False,True,input source carried forward without raw or runtime dependency access
feature_semantics_contract,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_contract.csv,derived_csv,derived_csv_json_read_only,True,read_only_validated,False,False,True,input source carried forward without raw or runtime dependency access
mask_conditioning_semantics_audit,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_mask_conditioning_semantics_audit.csv,derived_csv,derived_csv_json_read_only,True,read_only_validated,False,False,True,input source carried forward without raw or runtime dependency access
split_unit_smoke_preview,data/derived/covalent_small/covapie_split_leakage_smoke_v0/covapie_split_unit_smoke_preview.csv,derived_csv,derived_csv_json_read_only,True,read_only_validated,False,False,True,input source carried forward without raw or runtime dependency access
final_dataset_qa_manifest,data/derived/covalent_small/covapie_final_dataset_qa_gate_v0/covapie_final_dataset_qa_gate_manifest.json,derived_json,derived_csv_json_read_only,True,read_only_validated,False,False,True,input source carried forward without raw or runtime dependency access
dataset_py_static_reference,dataset.py,source_text,static_text_reference,True,static_text_reference_only,False,False,True,input source carried forward without raw or runtime dependency access
prepare_crossdocked_static_reference,data/prepare_crossdocked.py,source_text,static_text_reference,True,static_text_reference_only,False,False,True,input source carried forward without raw or runtime dependency access
lightning_modules_static_reference,lightning_modules.py,source_text,static_text_reference,True,static_text_reference_only,False,False,True,input source carried forward without raw or runtime dependency access
equivariant_diffusion_static_reference,equivariant_diffusion,source_tree,static_text_reference,True,static_text_reference_only,False,False,True,input source carried forward without raw or runtime dependency access
checkpoint_path_reference_only,future_checkpoint_path_config,policy,reference_only_no_checkpoint_load,True,reference_only,False,False,True,input source carried forward without raw or runtime dependency access
no_torch_runtime_dependency_current_step,policy:no_torch_import,policy,design_only_no_runtime_dependency,True,not_imported,False,False,True,input source carried forward without raw or runtime dependency access
no_raw_files_current_step,policy:no_raw_files,policy,blocked_current_step,True,not_read,False,True,True,input source carried forward without raw or runtime dependency access
