interface_item,interface_contract_type,source_field_or_table,future_tensor_name_or_metadata_key,current_step_materialized,current_step_status,torch_tensor_created,actual_collate_implemented,blocker_status,feature_batch_smoke_passed,qa_comment
protein_atom_xyz,feature_interface,protein_pocket_atom_table,protein.x,False,design_contract_landed_no_tensor,False,False,feature_semantics_required_before_training,True,feature interface represented as metadata-only smoke
protein_atom_features,feature_interface,protein_pocket_atom_table,protein.features,False,design_contract_landed_no_tensor,False,False,protein_atom_feature_semantics_not_finalized,True,feature interface represented as metadata-only smoke
ligand_atom_xyz,feature_interface,ligand_atom_table,ligand.x,False,design_contract_landed_no_tensor,False,False,feature_semantics_required_before_training,True,feature interface represented as metadata-only smoke
ligand_atom_features,feature_interface,ligand_atom_table,ligand.features,False,design_contract_landed_no_tensor,False,False,ligand_atom_feature_semantics_not_finalized,True,feature interface represented as metadata-only smoke
protein_ligand_joint_coordinates,feature_interface,protein_pocket_atom_table+ligand_atom_table,complex.x,False,design_contract_landed_no_tensor,False,False,coordinate_frame_audit_required,True,feature interface represented as metadata-only smoke
mask_task_selector,feature_interface,mask_task_name,mask.task_name,False,design_contract_landed_no_tensor,False,False,design_only,True,feature interface represented as metadata-only smoke
mask_boolean_vector_future,feature_interface,mask_task_name+future_group_labels,mask.boolean_vector,False,design_contract_landed_no_tensor,False,False,not_materialized_current_step,True,feature interface represented as metadata-only smoke
covalent_residue_conditioning,feature_interface,conditioning_mode+covalent_residue_conditioned,conditioning.covalent_residue,False,design_contract_landed_no_tensor,False,False,design_only,True,feature interface represented as metadata-only smoke
covalent_bond_atom_pair_label,feature_interface,covalent_bond_atom_pair,labels.covalent_bond_atom_pair,False,design_contract_landed_no_tensor,False,False,feature_audit_required,True,feature interface represented as metadata-only smoke
covalent_bond_distance_angstrom,feature_interface,covalent_bond_distance_angstrom,geometry.covalent_bond_distance,False,design_contract_landed_no_tensor,False,False,geometry_audit_required,True,feature interface represented as metadata-only smoke
pre_post_geometry_label,feature_interface,pre_post_geometry_label_status,labels.pre_post_geometry,False,design_contract_landed_no_tensor,False,False,pre_covalent_geometry_not_materialized,True,feature interface represented as metadata-only smoke
scaffold_linker_warhead_atom_labels,feature_interface,scaffold_linker_warhead_annotation_status,labels.group_membership,False,design_contract_landed_no_tensor,False,False,not_materialized_current_step,True,feature interface represented as metadata-only smoke
warhead_type_label,feature_interface,warhead_type_label_status,labels.warhead_type,False,design_contract_landed_no_tensor,False,False,not_materialized_current_step,True,feature interface represented as metadata-only smoke
split_unit_metadata,feature_interface,split_unit_id,metadata.split_unit_id,False,design_contract_landed_no_tensor,False,False,design_only,True,feature interface represented as metadata-only smoke
sample_metadata,feature_interface,sample_id+final_dataset_row_id,metadata.sample,False,design_contract_landed_no_tensor,False,False,design_only,True,feature interface represented as metadata-only smoke
batch_collate_policy_future,feature_interface,all_future_batch_fields,collate.policy,False,design_contract_landed_no_tensor,False,False,not_implemented_current_step,True,feature interface represented as metadata-only smoke
batch_sample_identity,batch_collate,sample_id and final_dataset_row_id metadata,preserve per-sample identity list,False,design_only_not_implemented,False,False,collate_not_implemented_current_step,True,batch/collate interface represented as design-only smoke
batch_split_unit_metadata,batch_collate,split_unit_id metadata,preserve split unit grouping for leakage checks,False,design_only_not_implemented,False,False,collate_not_implemented_current_step,True,batch/collate interface represented as design-only smoke
batch_protein_context,batch_collate,future protein atom table tensors,variable-size protein graph collation future,False,design_only_not_implemented,False,False,collate_not_implemented_current_step,True,batch/collate interface represented as design-only smoke
batch_ligand_context,batch_collate,future ligand atom table tensors,variable-size ligand graph collation future,False,design_only_not_implemented,False,False,collate_not_implemented_current_step,True,batch/collate interface represented as design-only smoke
batch_covalent_residue_conditioning,batch_collate,conditioning metadata or tensors,preserve covalent residue conditioning,False,design_only_not_implemented,False,False,collate_not_implemented_current_step,True,batch/collate interface represented as design-only smoke
batch_mask_task_selection,batch_collate,canonical mask task selector,one task selector per sample,False,design_only_not_implemented,False,False,collate_not_implemented_current_step,True,batch/collate interface represented as design-only smoke
batch_auxiliary_labels_future,batch_collate,future auxiliary labels,blocked until label semantics finalized,False,design_only_not_implemented,False,False,collate_not_implemented_current_step,True,batch/collate interface represented as design-only smoke
batch_geometry_metadata,batch_collate,covalent geometry metadata,audit coordinate frame and units before tensorization,False,design_only_not_implemented,False,False,collate_not_implemented_current_step,True,batch/collate interface represented as design-only smoke
batch_training_targets_future,batch_collate,future training targets,blocked until real dataloader/training gates,False,design_only_not_implemented,False,False,collate_not_implemented_current_step,True,batch/collate interface represented as design-only smoke
batch_collate_not_implemented_current_step,batch_collate,policy only,no collate implementation current step,False,design_only_not_implemented,False,False,collate_not_implemented_current_step,True,batch/collate interface represented as design-only smoke
