final_dataset_field_name,future_dataloader_role,future_batch_key_or_metadata_key,source_value_present_in_preview,tensorization_status_current_step,current_smoke_value_status,blocker_before_training,field_mapping_smoke_passed,qa_comment
final_dataset_row_id,metadata_key_not_tensor,metadata.final_dataset_row_id,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,field mapping landed in interface smoke without tensorization
sample_id,metadata_key_not_tensor,metadata.sample_id,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,field mapping landed in interface smoke without tensorization
split_unit_id,metadata_key_not_tensor,metadata.split_unit_id,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,field mapping landed in interface smoke without tensorization
extracted_event_id,metadata_key_not_tensor,metadata.extracted_event_id,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,field mapping landed in interface smoke without tensorization
allowlist_entry_id,metadata_key_not_tensor,metadata.allowlist_entry_id,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,field mapping landed in interface smoke without tensorization
candidate_metadata_id,metadata_key_not_tensor,metadata.candidate_metadata_id,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,field mapping landed in interface smoke without tensorization
pdb_id,metadata_key_not_tensor,metadata.pdb_id,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,field mapping landed in interface smoke without tensorization
het_code,metadata_key_not_tensor,metadata.het_code,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,field mapping landed in interface smoke without tensorization
chain_id,metadata_key_not_tensor,metadata.chain_id,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,field mapping landed in interface smoke without tensorization
residue_name,metadata_key_not_tensor,metadata.residue_name,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,field mapping landed in interface smoke without tensorization
residue_index,metadata_key_not_tensor,metadata.residue_index,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,field mapping landed in interface smoke without tensorization
residue_atom_name,metadata_key_not_tensor,metadata.residue_atom_name,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,field mapping landed in interface smoke without tensorization
ligand_atom_name,metadata_key_not_tensor,metadata.ligand_atom_name,True,design_only_no_tensorization_current_step,metadata_value_present_in_smoke,False,True,field mapping landed in interface smoke without tensorization
covalent_bond_atom_pair,covalent_geometry_metadata,geometry.covalent_bond_atom_pair,True,design_only_no_tensorization_current_step,geometry_metadata_present_feature_audit_required,True,True,field mapping landed in interface smoke without tensorization
covalent_bond_distance_angstrom,covalent_geometry_metadata,geometry.covalent_bond_distance_angstrom,True,design_only_no_tensorization_current_step,geometry_metadata_present_feature_audit_required,True,True,field mapping landed in interface smoke without tensorization
protein_pocket_atom_table_path,future_protein_atom_table_loader_input,inputs.protein_atom_table_path,True,design_only_no_tensorization_current_step,path_present_not_loaded_current_step,False,True,field mapping landed in interface smoke without tensorization
ligand_atom_table_path,future_ligand_atom_table_loader_input,inputs.ligand_atom_table_path,True,design_only_no_tensorization_current_step,path_present_not_loaded_current_step,False,True,field mapping landed in interface smoke without tensorization
protein_atom_row_count_for_event,validation_metadata,validation.protein_atom_row_count_for_event,True,design_only_no_tensorization_current_step,count_present_for_future_shape_checks,False,True,field mapping landed in interface smoke without tensorization
ligand_atom_row_count_for_event,validation_metadata,validation.ligand_atom_row_count_for_event,True,design_only_no_tensorization_current_step,count_present_for_future_shape_checks,False,True,field mapping landed in interface smoke without tensorization
mask_task_name,canonical_mask_task_selector_long_name,mask.task_name,True,design_only_no_tensorization_current_step,long_semantic_name_present,False,True,field mapping landed in interface smoke without tensorization
mask_task_alias,display_report_only,mask.display_alias,True,design_only_no_tensorization_current_step,display_alias_present_not_source_of_truth,False,True,field mapping landed in interface smoke without tensorization
mask_task_semantic_description,mask_conditioning_metadata,metadata.mask_task_semantic_description,True,design_only_no_tensorization_current_step,smoke_value_present,False,True,field mapping landed in interface smoke without tensorization
conditioning_mode,conditioning_metadata,conditioning.conditioning_mode,True,design_only_no_tensorization_current_step,conditioning_value_present,False,True,field mapping landed in interface smoke without tensorization
covalent_residue_conditioned,conditioning_metadata,conditioning.covalent_residue_conditioned,True,design_only_no_tensorization_current_step,conditioning_value_present,False,True,field mapping landed in interface smoke without tensorization
source_sample_index_path,identity_metadata,metadata.source_sample_index_path,True,design_only_no_tensorization_current_step,smoke_value_present,False,True,field mapping landed in interface smoke without tensorization
source_split_unit_preview_path,identity_metadata,metadata.source_split_unit_preview_path,True,design_only_no_tensorization_current_step,smoke_value_present,False,True,field mapping landed in interface smoke without tensorization
feature_semantics_contract_path,identity_metadata,metadata.feature_semantics_contract_path,True,design_only_no_tensorization_current_step,smoke_value_present,False,True,field mapping landed in interface smoke without tensorization
scaffold_linker_warhead_annotation_status,training_blocker_metadata,blockers.scaffold_linker_warhead_annotation_status,True,design_only_no_tensorization_current_step,blocker_value_present,True,True,field mapping landed in interface smoke without tensorization
