feature_id,feature_domain,feature_name,feature_status,source_layer,producer_path,producer_symbol,source_columns_or_inputs,consumer_path,consumer_symbol,consumer_operation,training_consumed,checkpoint_compatible_current_width,storage_dtype,runtime_dtype,tensor_rank,tensor_shape_or_width,index_base,encoding_kind,vocabulary_or_value_domain,channel_or_index_meaning,missing_value_semantics,unknown_value_semantics,coordinate_unit,coordinate_frame,normalization_or_scaling,mask_semantics,broadcast_semantics,padding_semantics,evidence_status,evidence_reason,semantic_disposition,verified
model_ligand_atom_categorical_10d,ligand_atom,checkpoint-compatible ligand atom categorical feature,current_model_input,checkpoint adapter,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers,ligand atomic numbers,equivariant_diffusion/dynamics.py,EGNNDynamics.forward/self.atom_encoder,slice categorical channels then pass to learned linear encoder,True,10,atomic_number_int64_before_encoding,torch.float32,2,"[N,10]",0,one_hot_with_current_silent_zero_vector_for_unsupported,C:0|N:1|O:2|S:3|B:4|Br:5|Cl:6|P:7|I:8|F:9,C:0|N:1|O:2|S:3|B:4|Br:5|Cl:6|P:7|I:8|F:9,not representable after tensor load; absent formal table-to-tensor contract,no unknown/other channel; unsupported atomic number becomes all-zero row,not_applicable,not_applicable,(one_hot-0)/4 in DDPM normalize,not_applicable,not_applicable,padded rows removed before one-hot; flattened valid atoms only,explicitly_defined,producer mapping and learned consumer width are both committed,freeze 10-channel checkpoint interface; unknown policy remains blocked,True
model_pocket_atom_categorical_10d,protein_or_pocket_atom,checkpoint-compatible pocket atom categorical feature,current_model_input,checkpoint adapter,src/covalent_ext/real_covalent_pretrained_forward_loss_smoke.py,_checkpoint_compatible_one_hot_from_atomic_numbers,protein atomic numbers,equivariant_diffusion/dynamics.py,EGNNDynamics.forward/self.residue_encoder,slice categorical channels then pass to learned linear encoder,True,10,atomic_number_int64_before_encoding,torch.float32,2,"[N,10]",0,one_hot_with_current_silent_zero_vector_for_unsupported,C:0|N:1|O:2|S:3|B:4|Br:5|Cl:6|P:7|I:8|F:9,C:0|N:1|O:2|S:3|B:4|Br:5|Cl:6|P:7|I:8|F:9,not representable after tensor load; absent formal table-to-tensor contract,no unknown/other channel; unsupported atomic number becomes all-zero row,not_applicable,not_applicable,(one_hot-0)/4 in DDPM normalize,not_applicable,not_applicable,padded rows removed before one-hot; flattened valid atoms only,explicitly_defined,full-atom pocket uses the same committed 10-channel atom order,freeze 10-channel checkpoint interface; unknown policy remains blocked,True
model_ligand_coordinates,ligand_geometry,ligand coordinates,current_model_input,batch adapter,src/covalent_ext/batch_adapter.py,_coordinate_center/adapt_covalent_batch_for_model_v0,valid ligand and protein Cartesian coordinates,equivariant_diffusion/en_diffusion.py,EnVariationalDiffusion.normalize/forward,"divide by norm_values[0], concatenate with categorical feature, diffuse",True,3_coordinate_channels_not_checkpoint_learned_feature_width,float32,torch.float32,2,"[N,3]",not_applicable,Cartesian_xyz,finite real xyz,0=x|1=y|2=z,missing rows are not valid model nodes,non-finite coordinates rejected by committed validators,angstrom,per-sample joint ligand+pocket unweighted atom-centroid centered,center subtraction then divide by normalize_factors[0]=1,not_applicable,per-sample center broadcast over valid ligand and pocket atoms,zero padding removed through validity mask before model boundary,deterministically_derived,centering and model normalization are explicit,frozen for checkpoint-compatible current path,True
model_pocket_coordinates,protein_or_pocket_geometry,protein/pocket coordinates,current_model_input,batch adapter,src/covalent_ext/batch_adapter.py,_coordinate_center/adapt_covalent_batch_for_model_v0,valid ligand and protein Cartesian coordinates,equivariant_diffusion/en_diffusion.py,EnVariationalDiffusion.normalize/forward,"divide by norm_values[0], concatenate with categorical feature, diffuse",True,3_coordinate_channels_not_checkpoint_learned_feature_width,float32,torch.float32,2,"[N,3]",not_applicable,Cartesian_xyz,finite real xyz,0=x|1=y|2=z,missing rows are not valid model nodes,non-finite coordinates rejected by committed validators,angstrom,per-sample joint ligand+pocket unweighted atom-centroid centered,center subtraction then divide by normalize_factors[0]=1,not_applicable,per-sample center broadcast over valid ligand and pocket atoms,zero padding removed through validity mask before model boundary,deterministically_derived,same joint centroid and scaling are explicit,frozen for checkpoint-compatible current path,True
model_ligand_batch_membership,graph_batch,ligand graph/batch membership,current_model_input,DiffSBDD input adapter,src/covalent_ext/diffsbdd_input_adapter.py,_flatten_batch_indices,padded validity mask,equivariant_diffusion/dynamics.py,EGNNDynamics.forward/get_edges,"time broadcast, scatter grouping, and same-sample edge construction",True,1,bool validity mask before flattening,torch.int64,1,[N],0,contiguous_batch_membership_index,0..B-1,one scalar sample index per valid node,padded rows omitted,out-of-range membership is invalid,not_applicable,not_applicable,none,equal membership defines same-sample adjacency,t[batch_membership] broadcasts one diffusion time per sample,no padded entries cross flattened model boundary,deterministically_derived,exact flattening and consumer operations committed,frozen,True
model_pocket_batch_membership,graph_batch,pocket graph/batch membership,current_model_input,DiffSBDD input adapter,src/covalent_ext/diffsbdd_input_adapter.py,_flatten_batch_indices,padded validity mask,equivariant_diffusion/dynamics.py,EGNNDynamics.forward/get_edges,"time broadcast, scatter grouping, and same-sample edge construction",True,1,bool validity mask before flattening,torch.int64,1,[N],0,contiguous_batch_membership_index,0..B-1,one scalar sample index per valid node,padded rows omitted,out-of-range membership is invalid,not_applicable,not_applicable,none,equal membership defines same-sample adjacency,t[batch_membership] broadcasts one diffusion time per sample,no padded entries cross flattened model boundary,deterministically_derived,exact flattening and consumer operations committed,frozen,True
model_ligand_node_count,graph_batch,ligand node count,current_model_input,DiffSBDD input adapter,src/covalent_ext/diffsbdd_input_adapter.py,build_diffsbdd_like_input_from_covalent_v0,validity mask sum(dim=1),lightning_modules.py,LigandPocketDDPM.forward,loss normalization and node-count likelihood,True,1,not_stored_separately,torch.int64,1,[B],not_applicable,positive_node_count,positive integers,one count per sample,derived only when validity mask exists,zero/negative count invalid for admitted sample,not_applicable,not_applicable,none,not_applicable,per-sample,counts exclude padding,deterministically_derived,mask-sum producer and loss consumer committed,frozen,True
model_pocket_node_count,graph_batch,pocket node count,current_model_input,DiffSBDD input adapter,src/covalent_ext/diffsbdd_input_adapter.py,build_diffsbdd_like_input_from_covalent_v0,validity mask sum(dim=1),lightning_modules.py,LigandPocketDDPM.forward,loss normalization and node-count likelihood,True,1,not_stored_separately,torch.int64,1,[B],not_applicable,positive_node_count,positive integers,one count per sample,derived only when validity mask exists,zero/negative count invalid for admitted sample,not_applicable,not_applicable,none,not_applicable,per-sample,counts exclude padding,deterministically_derived,mask-sum producer and loss consumer committed,frozen,True
model_diffusion_time,diffusion_conditioning,diffusion timestep conditioning,current_model_input,DDPM runtime,equivariant_diffusion/en_diffusion.py,EnVariationalDiffusion.forward,uniform integer timestep 0..T divided by T,equivariant_diffusion/dynamics.py,EGNNDynamics.forward,broadcast by batch membership and append one time channel,True,1,not_stored,torch.float32,2,"[B,1]",not_applicable,normalized_scalar,"[0,1]",one normalized time scalar,generated every forward,"outside [0,1] invalid",not_applicable,not_applicable,t_int/T,not_applicable,t[batch_membership] to every node,not_applicable,explicitly_defined,"producer, range, normalization, and consumer are explicit",frozen internal conditioning input,True
model_inpaint_fixed_ligand_mask,conditional_generation,generic fixed-ligand mask for inpainting,current_model_input,inpainting interface,src/covalent_ext/diffsbdd_input_adapter.py,build_diffsbdd_like_input_from_covalent_v0,fixed_ligand_atom_mask over valid ligand atoms,equivariant_diffusion/en_diffusion.py,EnVariationalDiffusion.inpaint,True selects known ligand atoms during repaint centering/replacement,False,1,bool,torch.bool after bool conversion,2,"[N_ligand,1]",not_applicable,boolean,False|True,False=not fixed|True=fixed known atom,required by inpaint interface,non-boolean coerced by bool,not_applicable,not_applicable,none,fixed known-ligand selection,elementwise over ligand nodes,flattened valid ligand atoms only,explicitly_defined,generic inference consumer exists; training forward does not consume it,freeze generic inpaint interface; do not claim canonical mask integration,True
