safety_item,required_status,observed_status,safety_passed,blocking_reasons
no_network_access_current_step,true,true,True,
no_download_current_step,true,true,True,
no_raw_mmcif_read_current_step,true,true,True,
no_struct_conn_parse_current_step,true,true,True,
no_data_raw_write_current_step,true,true,True,
raw_files_remain_untracked,true,true,True,
raw_files_remain_unstaged,true,true,True,
no_html_or_part_files,true,true,True,
metadata_csv_unchanged,true,true,True,
step14u_artifacts_unchanged,true,true,True,
step14t_artifacts_unchanged,true,true,True,
step14s_artifacts_unchanged,true,true,True,
protected_source_diff_empty,true,true,True,
original_dataloader_diff_empty,true,true,True,
no_sample_final_split_leakage_training_artifacts,true,true,True,
derived_output_no_forbidden_raw_binary_or_html_suffix,true,true,True,
no_torch_numpy_rdkit_biopdb_gemmi_gzip_requests_urllib_selenium_playwright_bs4_imports,true,true,True,
no_ready_candidates_created,true,true,True,
