policy_item,policy_description,policy_contract_passed
result_review_decision_input_is_user_supplied,This step records user-supplied result review decisions.,True
all_three_matched_evidence_rows_accepted_for_future_materialization,All three matched Step 14U evidence rows are accepted for future materialization.,True
accept_for_future_ready_candidate_materialization_is_not_ready_candidate,Acceptance here is only an input to a future application gate.,True
blocked_unmatched_inputs_not_used_as_ready_candidates,Blocked unmatched inputs remain blocked and are not used as ready candidates.,True
no_training_current_step,No training is allowed or performed.,True
no_sample_or_final_dataset_current_step,No sample index or final dataset is written.,True
no_split_or_leakage_current_step,No split assignment or leakage matrix is written.,True
result_review_decision_application_gate_required_next,A separate application gate must apply decisions before any ready candidate materialization.,True
feature_semantics_audit_required_before_training,Feature semantics audit remains required before training.,True
leakage_split_gate_required_before_training,Leakage/split design remains required before training.,True
canonical_five_masks_preserved,The five canonical masks are unchanged.,True
do_not_train_from_decision_input,Decision input artifacts are not training inputs.,True
