failure_reason,failure_class,blocks_automatic_materialization,recommended_handling,failure_taxonomy_passed,blocking_reasons
raw_download_deferred_current_step,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
mmcif_url_not_allowed,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
pdb_url_not_allowed,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
raw_file_saved_to_wrong_location,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
raw_file_staged_or_tracked,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
mmcif_struct_conn_missing,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
mmcif_struct_conn_parse_failed,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
mmcif_atom_site_missing,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
pdb_link_missing,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
pdb_link_parse_failed,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
pdb_conect_missing,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
ligand_het_code_not_found,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
multiple_candidate_covalent_links,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
protein_ligand_partner_ambiguous,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
covalent_bond_atom_pair_missing,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
distance_fallback_not_allowed_current_smoke,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
candidate_metadata_attempted_too_early,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
training_attempted_too_early,raw_structure_event_annotation_design_boundary,True,record_failure_and_block_materialization_until_dedicated_review_or_future_gate,True,
