boundary_item,current_step_status,execution_boundary_passed,blocking_reasons
raw_structure_event_annotation_design_gate,executed_design_gate_only,True,
step13at_manifest_read,executed_manifest_read_only,True,
metadata_csv_first5_pdb_ids_read,executed_metadata_read_only,True,
raw_download_scope_contract_write,executed_contract_only,True,
source_url_contract_write,executed_contract_only,True,
parser_priority_contract_write,executed_contract_only,True,
mmcif_mapping_contract_write,executed_contract_only,True,
pdb_link_mapping_contract_write,executed_contract_only,True,
external_network_access,not_executed_or_not_allowed,True,
raw_structure_download,not_executed_or_not_allowed,True,
raw_ligand_download,not_executed_or_not_allowed,True,
raw_file_created,not_executed_or_not_allowed,True,
raw_data_read,not_executed_or_not_allowed,True,
sdf_read,not_executed_or_not_allowed,True,
pdb_read,not_executed_or_not_allowed,True,
mmcif_read,not_executed_or_not_allowed,True,
gzip_open,not_executed_or_not_allowed,True,
rdkit_use,not_executed_or_not_allowed,True,
biopdb_use,not_executed_or_not_allowed,True,
gemmi_use,not_executed_or_not_allowed,True,
candidate_metadata_materialization,not_executed_or_not_allowed,True,
allowlist_materialization,not_executed_or_not_allowed,True,
torch_import,not_executed_or_not_allowed,True,
model_forward,not_executed_or_not_allowed,True,
training_claim,not_executed_or_not_allowed,True,
