field_name,field_group,data_type,required_for_minimal_record,source_stage,source_column,description,future_writer_rule,training_use_status
minimal_sample_record_id,identity_provenance,string,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,derived,Stable future minimal sample record identifier.,copy_or_derive_before_write_smoke,not_training_input_yet
confirmed_candidate_id,identity_provenance,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,confirmed_candidate_id,Confirmed candidate identifier.,copy_or_derive_before_write_smoke,not_training_input_yet
review_row_id,identity_provenance,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,review_row_id,Manual review row identifier.,copy_or_derive_before_write_smoke,not_training_input_yet
candidate_stub_id,identity_provenance,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,candidate_stub_id,Candidate stub identifier from merge smoke.,copy_or_derive_before_write_smoke,not_training_input_yet
sample_id,identity_provenance,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,sample_id,Pilot sample identifier.,copy_or_derive_before_write_smoke,not_training_input_yet
pdb_id,identity_provenance,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,pdb_id,PDB identifier.,copy_or_derive_before_write_smoke,not_training_input_yet
entry_id,identity_provenance,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,entry_id,mmCIF entry identifier copied from parser summary.,copy_or_derive_before_write_smoke,not_training_input_yet
structure_title,identity_provenance,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,structure_title,Structure title provenance.,copy_or_derive_before_write_smoke,not_training_input_yet
pair_sanity_stage,identity_provenance,string,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant,Coordinate pair sanity source stage.,copy_or_derive_before_write_smoke,not_training_input_yet
coordinate_source_stage,identity_provenance,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,altloc_aware_coordinates_source,Altloc-aware endpoint source stage.,copy_or_derive_before_write_smoke,not_training_input_yet
schema_contract_version,identity_provenance,string,True,real_covalent_confirmed_candidate_minimal_sample_record_design_gate_v0,constant,Schema contract version.,copy_or_derive_before_write_smoke,not_training_input_yet
manual_confirmed_covalent_bond,covalent_annotation,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,manual_confirmed_covalent_bond,Manual review covalent annotation field manual_confirmed_covalent_bond.,copy_manual_review_value,not_training_input_yet
manual_confirmed_ligand_comp_id,covalent_annotation,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,manual_confirmed_ligand_comp_id,Manual review covalent annotation field manual_confirmed_ligand_comp_id.,copy_manual_review_value,not_training_input_yet
manual_confirmed_residue_comp_id,covalent_annotation,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,manual_confirmed_residue_comp_id,Manual review covalent annotation field manual_confirmed_residue_comp_id.,copy_manual_review_value,not_training_input_yet
manual_confirmed_ligand_atom_id,covalent_annotation,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,manual_confirmed_ligand_atom_id,Manual review covalent annotation field manual_confirmed_ligand_atom_id.,copy_manual_review_value,not_training_input_yet
manual_confirmed_residue_atom_id,covalent_annotation,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,manual_confirmed_residue_atom_id,Manual review covalent annotation field manual_confirmed_residue_atom_id.,copy_manual_review_value,not_training_input_yet
manual_confirmed_warhead_type,covalent_annotation,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,manual_confirmed_warhead_type,Manual review covalent annotation field manual_confirmed_warhead_type.,copy_manual_review_value,not_training_input_yet
protein_endpoint_comp_id,endpoint_atom_identity,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,protein_endpoint_comp_id,Verified endpoint atom identity field protein_endpoint_comp_id.,copy_altloc_aware_pair_value,not_training_input_yet
protein_endpoint_atom_id,endpoint_atom_identity,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,protein_endpoint_atom_id,Verified endpoint atom identity field protein_endpoint_atom_id.,copy_altloc_aware_pair_value,not_training_input_yet
protein_selected_atom_site_id,endpoint_atom_identity,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,protein_selected_atom_site_id,Verified endpoint atom identity field protein_selected_atom_site_id.,copy_altloc_aware_pair_value,not_training_input_yet
protein_selected_label_alt_id,endpoint_atom_identity,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,protein_selected_label_alt_id,Verified endpoint atom identity field protein_selected_label_alt_id.,copy_altloc_aware_pair_value,not_training_input_yet
protein_selected_occupancy,endpoint_atom_identity,float_string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,protein_selected_occupancy,Verified endpoint atom identity field protein_selected_occupancy.,copy_altloc_aware_pair_value,not_training_input_yet
ligand_endpoint_comp_id,endpoint_atom_identity,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,ligand_endpoint_comp_id,Verified endpoint atom identity field ligand_endpoint_comp_id.,copy_altloc_aware_pair_value,not_training_input_yet
ligand_endpoint_atom_id,endpoint_atom_identity,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,ligand_endpoint_atom_id,Verified endpoint atom identity field ligand_endpoint_atom_id.,copy_altloc_aware_pair_value,not_training_input_yet
ligand_selected_atom_site_id,endpoint_atom_identity,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,ligand_selected_atom_site_id,Verified endpoint atom identity field ligand_selected_atom_site_id.,copy_altloc_aware_pair_value,not_training_input_yet
ligand_selected_label_alt_id,endpoint_atom_identity,string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,ligand_selected_label_alt_id,Verified endpoint atom identity field ligand_selected_label_alt_id.,copy_altloc_aware_pair_value,not_training_input_yet
ligand_selected_occupancy,endpoint_atom_identity,float_string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,ligand_selected_occupancy,Verified endpoint atom identity field ligand_selected_occupancy.,copy_altloc_aware_pair_value,not_training_input_yet
protein_Cartn_x,endpoint_coordinates,float_string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,protein_Cartn_x,Verified endpoint coordinate field protein_Cartn_x.,copy_without_recomputing_geometry,not_training_input_yet
protein_Cartn_y,endpoint_coordinates,float_string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,protein_Cartn_y,Verified endpoint coordinate field protein_Cartn_y.,copy_without_recomputing_geometry,not_training_input_yet
protein_Cartn_z,endpoint_coordinates,float_string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,protein_Cartn_z,Verified endpoint coordinate field protein_Cartn_z.,copy_without_recomputing_geometry,not_training_input_yet
ligand_Cartn_x,endpoint_coordinates,float_string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,ligand_Cartn_x,Verified endpoint coordinate field ligand_Cartn_x.,copy_without_recomputing_geometry,not_training_input_yet
ligand_Cartn_y,endpoint_coordinates,float_string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,ligand_Cartn_y,Verified endpoint coordinate field ligand_Cartn_y.,copy_without_recomputing_geometry,not_training_input_yet
ligand_Cartn_z,endpoint_coordinates,float_string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,ligand_Cartn_z,Verified endpoint coordinate field ligand_Cartn_z.,copy_without_recomputing_geometry,not_training_input_yet
computed_endpoint_distance_angstrom,distance_sanity,float_string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,computed_endpoint_distance_angstrom,Pair sanity distance field computed_endpoint_distance_angstrom.,copy_existing_sanity_result,not_training_input_yet
struct_conn_reported_distance_angstrom,distance_sanity,float_string,True,real_covalent_confirmed_candidate_coordinate_pair_sanity_gate_v1_altloc_aware,struct_conn_reported_distance_angstrom,Pair sanity distance field struct_conn_reported_distance_angstrom.,copy_existing_sanity_result,not_training_input_yet
