safety_item,expected_executed,observed_executed,safety_passed
exact18_source_verification,true,true,true
predecessor_exact6_handler_identity_reuse,true,true,true
successor_exact7_registry_construction,true,true,true
admit_007_adapter_implementation,true,true,true
candidate_projection,true,true,true
context_routing,true,true,true
missing_field_value_classification,true,true,true
formal_source_prevalidation,true,true,true
independent_oracle_equivalence,true,true,true
exact13_construction,true,true,true
blocked_passthrough,true,true,true
context_invalid_partial_canonical_projection,true,true,true
synthetic_runtime_truth,true,true,true
coverage_issue_update,true,true,true
predecessor_exact6_runtime_modification,false,false,true
standalone_source_modification,false,false,true
adapter_design_source_modification,false,false,true
enum_design_source_modification,false,false,true
admit_008_implementation,false,false,true
admit_008_registration,false,false,true
admit_008_to_015_registration,false,false,true
evaluate_all_rules,false,false,true
combined_candidate_verdict,false,false,true
cross_rule_aggregation,false,false,true
provider_mapping,false,false,true
real_candidate_evaluation,false,false,true
exact11_real_evaluation,false,false,true
raw_read,false,false,true
structure_parser,false,false,true
network,false,false,true
bulk_download,false,false,true
checkpoint,false,false,true
torch_numpy_rdkit,false,false,true
model_forward_loss_training,false,false,true
fine_tune,false,false,true
parameter_update,false,false,true
