case_id,case_group,admission_rule_id,behavior,expected_result_or_error,observed_result_or_error,expected_reason,observed_reason,formal_call_count,oracle_call_count,candidate_access_status,predecessor_handler_identity_status,case_passed
GLOBAL_NON_STR,global_dispatch,6,global_precedence,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,0,0,not_applicable,not_applicable,true
GLOBAL_STR_SUBCLASS,global_dispatch,ADMIT_007,global_precedence,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,0,0,not_applicable,not_applicable,true
GLOBAL_UNKNOWN,global_dispatch,ADMIT_999,global_precedence,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,0,0,not_applicable,not_applicable,true
GLOBAL_KNOWN_UNREGISTERED,global_dispatch,ADMIT_008,global_precedence,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,0,0,not_applicable,not_applicable,true
GLOBAL_PRECEDENCE,global_dispatch,ADMIT_999,global_precedence,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,0,0,not_applicable,not_applicable,true
PRED_IDENTITY_ADMIT_001,predecessor_identity_and_behavior,ADMIT_001,handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
PRED_IDENTITY_ADMIT_002,predecessor_identity_and_behavior,ADMIT_002,handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
PRED_IDENTITY_ADMIT_003,predecessor_identity_and_behavior,ADMIT_003,handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
PRED_IDENTITY_ADMIT_004,predecessor_identity_and_behavior,ADMIT_004,handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
PRED_IDENTITY_ADMIT_005,predecessor_identity_and_behavior,ADMIT_005,handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
PRED_IDENTITY_ADMIT_006,predecessor_identity_and_behavior,ADMIT_006,handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
PRED_BEHAVIOR_P4_A001_PASS,predecessor_identity_and_behavior,ADMIT_001,representative_parity,passed,passed,,,0,0,not_applicable,true,true
PRED_BEHAVIOR_P4_A002_PASS,predecessor_identity_and_behavior,ADMIT_002,representative_parity,passed,passed,,,0,0,not_applicable,true,true
PRED_BEHAVIOR_P4_A003_PASS,predecessor_identity_and_behavior,ADMIT_003,representative_parity,passed,passed,,,0,0,not_applicable,true,true
PRED_BEHAVIOR_P4_A004_PASS,predecessor_identity_and_behavior,ADMIT_004,representative_parity,passed,passed,,,0,0,not_applicable,true,true
PRED_BEHAVIOR_P5_A005_PASS,predecessor_identity_and_behavior,ADMIT_005,representative_parity,passed,passed,,,0,0,not_applicable,true,true
PRED_BEHAVIOR_P5_A005_REJECT,predecessor_identity_and_behavior,ADMIT_005,representative_parity,rejected,rejected,ADMIT_005_CYS_SG_SCOPE_REJECTED,ADMIT_005_CYS_SG_SCOPE_REJECTED,0,0,not_applicable,true,true
PRED_BEHAVIOR_P6_A006_EXPLICIT_PASS,predecessor_identity_and_behavior,ADMIT_006,representative_parity,passed,passed,,,0,0,not_applicable,true,true
PRED_BEHAVIOR_P6_A006_DISTANCE_BLOCKED,predecessor_identity_and_behavior,ADMIT_006,representative_parity,blocked,blocked,COVALENT_EVENT_EVIDENCE_NOT_EXPLICIT,COVALENT_EVENT_EVIDENCE_NOT_EXPLICIT,0,0,not_applicable,true,true
A007_CONTEXT_BATCH,context_routing,ADMIT_007,ordered_context_failure,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_007_BATCH_CONTEXT_MUST_BE_NONE,ADMIT_007_BATCH_CONTEXT_MUST_BE_NONE,0,0,not_accessed,not_applicable,true
A007_CONTEXT_EVALUATION,context_routing,ADMIT_007,ordered_context_failure,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_007_EVALUATION_CONTEXT_MAPPING_REQUIRED,ADMIT_007_EVALUATION_CONTEXT_MAPPING_REQUIRED,0,0,not_accessed,not_applicable,true
A007_CONTEXT_KEY,context_routing,ADMIT_007,ordered_context_failure,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_007_ALLOWED_COVALENT_EVIDENCE_CLASSES_REQUIRED,ADMIT_007_ALLOWED_COVALENT_EVIDENCE_CLASSES_REQUIRED,0,0,not_accessed,not_applicable,true
A007_CONTEXT_DOWNLOAD,context_routing,ADMIT_007,ordered_context_failure,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_007_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,ADMIT_007_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,0,0,not_accessed,not_applicable,true
A007_CONTEXT_STAGE,context_routing,ADMIT_007,ordered_context_failure,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_007_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,ADMIT_007_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,0,0,not_accessed,not_applicable,true
A007_CONTEXT_MULTI_PRECEDENCE,context_routing,ADMIT_007,ordered_context_failure,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_007_BATCH_CONTEXT_MUST_BE_NONE,ADMIT_007_BATCH_CONTEXT_MUST_BE_NONE,0,0,not_accessed,not_applicable,true
A007_CONTEXT_CANDIDATE_BOMB,context_routing,ADMIT_007,candidate_not_accessed,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,ADMIT_007_BATCH_CONTEXT_MUST_BE_NONE,ADMIT_007_BATCH_CONTEXT_MUST_BE_NONE,0,0,not_accessed,not_applicable,true
A007_CANDIDATE_NON_MAPPING,candidate_envelope,ADMIT_007,candidate_projection_and_missing,invalid,invalid,ADMIT_007_CANDIDATE_RECORD_MAPPING_INVALID,ADMIT_007_CANDIDATE_RECORD_MAPPING_INVALID,0,0,envelope_checked,not_applicable,true
A007_CANDIDATE_KEY_MISSING,candidate_envelope,ADMIT_007,candidate_projection_and_missing,invalid,invalid,covalent_event_evidence_missing,covalent_event_evidence_missing,0,0,value_read_once,not_applicable,true
A007_CANDIDATE_NONE,candidate_envelope,ADMIT_007,candidate_projection_and_missing,invalid,invalid,covalent_event_evidence_missing,covalent_event_evidence_missing,0,0,value_read_once,not_applicable,true
A007_CANDIDATE_EMPTY,candidate_envelope,ADMIT_007,candidate_projection_and_missing,invalid,invalid,covalent_event_evidence_missing,covalent_event_evidence_missing,0,0,value_read_once,not_applicable,true
A007_CANDIDATE_EMPTY_SUBCLASS,candidate_envelope,ADMIT_007,candidate_projection_and_missing,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,1,1,value_read_once,not_applicable,true
A007_CANDIDATE_WHITESPACE,candidate_envelope,ADMIT_007,candidate_projection_and_missing,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
A007_CANDIDATE_MALFORMED,candidate_envelope,ADMIT_007,candidate_projection_and_missing,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,1,1,value_read_once,not_applicable,true
A007_CANDIDATE_DISTANCE,candidate_envelope,ADMIT_007,candidate_projection_and_missing,blocked,blocked,DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE,DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE,1,1,value_read_once,not_applicable,true
A007_CANDIDATE_MAPPING_SUBCLASS,candidate_envelope,ADMIT_007,candidate_projection_and_missing,passed,passed,,,1,1,value_read_once,not_applicable,true
A007_CANDIDATE_EXTRA_FIELDS,candidate_envelope,ADMIT_007,candidate_projection_and_missing,passed,passed,,,1,1,value_read_once,not_applicable,true
A007_CANDIDATE_NO_MUTATION,candidate_envelope,ADMIT_007,candidate_projection_and_missing,passed,passed,,,1,1,value_read_once,not_applicable,true
A007_CANDIDATE_IDENTITY,candidate_envelope,ADMIT_007,candidate_projection_and_missing,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,1,1,value_read_once,not_applicable,true
A007_EXACT37_001_canonical_structure_bond,standalone_semantics,ADMIT_007,runtime_exact37_path,passed,passed,,,1,1,value_read_once,not_applicable,true
A007_EXACT37_002_canonical_curated_annotation,standalone_semantics,ADMIT_007,runtime_exact37_path,passed,passed,,,1,1,value_read_once,not_applicable,true
A007_EXACT37_003_canonical_distance_only,standalone_semantics,ADMIT_007,runtime_exact37_path,blocked,blocked,DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE,DISTANCE_ONLY_INFERENCE_NOT_ADMISSIBLE,1,1,value_read_once,not_applicable,true
A007_EXACT37_004_type_none,standalone_semantics,ADMIT_007,runtime_exact37_path,invalid,invalid,covalent_event_evidence_missing,covalent_event_evidence_missing,0,0,value_read_once,not_applicable,true
A007_EXACT37_005_type_int,standalone_semantics,ADMIT_007,runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,1,1,value_read_once,not_applicable,true
A007_EXACT37_006_type_bool,standalone_semantics,ADMIT_007,runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,1,1,value_read_once,not_applicable,true
A007_EXACT37_007_type_str_subclass,standalone_semantics,ADMIT_007,runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,1,1,value_read_once,not_applicable,true
A007_EXACT37_008_type_list,standalone_semantics,ADMIT_007,runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,1,1,value_read_once,not_applicable,true
A007_EXACT37_009_type_mapping,standalone_semantics,ADMIT_007,runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_TYPE_INVALID,1,1,value_read_once,not_applicable,true
A007_EXACT37_010_empty,standalone_semantics,ADMIT_007,runtime_exact37_path,invalid,invalid,covalent_event_evidence_missing,covalent_event_evidence_missing,0,0,value_read_once,not_applicable,true
A007_EXACT37_011_whitespace_only,standalone_semantics,ADMIT_007,runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
A007_EXACT37_012_leading_whitespace,standalone_semantics,ADMIT_007,runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
A007_EXACT37_013_trailing_whitespace,standalone_semantics,ADMIT_007,runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
A007_EXACT37_014_uppercase,standalone_semantics,ADMIT_007,runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
A007_EXACT37_015_hyphen,standalone_semantics,ADMIT_007,runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
A007_EXACT37_016_dot,standalone_semantics,ADMIT_007,runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
A007_EXACT37_017_slash,standalone_semantics,ADMIT_007,runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
A007_EXACT37_018_non_ascii,standalone_semantics,ADMIT_007,runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_NON_ASCII,COVALENT_EVENT_EVIDENCE_SOURCE_NON_ASCII,1,1,value_read_once,not_applicable,true
A007_EXACT37_019_over_length,standalone_semantics,ADMIT_007,runtime_exact37_path,invalid,invalid,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,COVALENT_EVENT_EVIDENCE_SOURCE_SYNTAX_INVALID,1,1,value_read_once,not_applicable,true
