ligand_bond_topology_row_id,review_row_id,pdb_id,expected_step8_sample_name,source_step13q_bond_topology_row_id,source_pre_reaction_sdf_path,source_pre_reaction_sdf_sha256,rdkit_bond_idx,begin_rdkit_atom_idx,end_rdkit_atom_idx,begin_atom_symbol,end_atom_symbol,bond_type,bond_order_numeric,is_aromatic,is_conjugated,is_in_ring,stereo,touches_covalent_ligand_endpoint,is_warhead_bond,is_linker_bond,is_scaffold_bond,topology_source_stage,topology_source_artifact,topology_smoke_status,training_use_status
LTOP_BOND_000001,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0000,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,0,0,1,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000002,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0001,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,1,0,20,C,N,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000003,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0002,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,2,0,25,C,N,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000004,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0003,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,3,1,16,C,C,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000005,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0004,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,4,1,21,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000006,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0005,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,5,2,3,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000007,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0006,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,6,2,7,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000008,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0007,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,7,2,25,C,N,SINGLE,1.0,False,False,False,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000009,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0008,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,8,3,4,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
LTOP_BOND_000010,HR_0002,6DI9,BTK_C481_6DI9_pre_reaction,HR_0002_BOND_0009,data/derived/covalent_small/ligands_pre_reaction/BTK_C481_6DI9_pre_reaction.sdf,004ec8e1ccb4552156762180137f092ae745179a2ae7b9ea06ff5632e62eb126,9,4,5,C,C,SINGLE,1.0,False,False,True,STEREONONE,False,False,False,True,step13q_readonly_exported_step8_topology_evidence,data/derived/covalent_small/real_covalent_confirmed_candidate_step8_readonly_topology_evidence_export_smoke_v0/step8_readonly_exported_ligand_bond_topology_table.csv,passed_current_cys_sg_golden_topology_smoke,not_training_input_yet
