row_type,status,policy_name,evidence,blocking_reasons,recommended_next_step,random_split_only_allowed,parent_group_random_split_defined,scaffold_holdout_split_defined,target_cluster_holdout_split_defined,protein_sequence_identity_soft_overlap_threshold,ligand_ecfp4_tanimoto_soft_overlap_threshold,primary_evaluation_split,train_ready_scope_v1,cys_only_convergence_risk_acknowledged,cys_only_convergence_risk_level,non_cys_mixing_allowed_in_v1_training,scaffold_diversity_report_required,warhead_diversity_report_required,optimizer_name,initial_lr_candidates,first_tiny_run_default_lr,scheduler_allowed_for_first_tiny_run,warmup_cosine_scheduler_allowed_after_split_eval_gate,reduce_on_plateau_allowed_after_stable_validation,lr_finder_allowed_now,lr_finder_allowed_after_leakage_aware_split_and_eval_gate,catastrophic_forgetting_lr_guard_required
step12k_precondition,passed,Step 12K single update smoke,"{""checkpoint_path"": ""checkpoints/crossdocked_fullatom_cond.ckpt"", ""input_source"": ""real_covalent_training_tensor_materialized_v0"", ""selected_artifact_is_real_covalent"": true, ""selected_artifact_is_synthetic_only"": false, ""selected_sample_index"": ""data/derived/covalent_small/training_tensor_materialized_v0/sample_index.csv"", ""step12b_mask_level_aware_validator_validated"": true, ""step12k_single_optimizer_step_smoke_validated"": true}",[],real_covalent_leakage_aware_split_design_gate,,,,,,,,,,,,,,,,,,,,,,
literature_leakage_policy,passed,PLANET/Tapping-inspired leakage policy,"{""hard_overlap_entities"": [""sample_id"", ""parent_complex_id"", ""pdb_id"", ""uniprot_id"", ""canonical_pre_reaction_smiles"", ""ligand_inchikey"", ""protein_reactive_residue_id"", ""covalent_bond_atom_pair"", ""mask_parent_id""], ""hard_overlap_policy_defined"": true, ""hard_overlap_zero_tolerance"": true, ""leakage_aware_training_design_defined"": true, ""leakage_metrics_required"": true, ""leakage_report_required"": true, ""ligand_ecfp4_tanimoto_soft_overlap_threshold"": 0.9, ""literature_leakage_policy_defined"": true, ""planet_v2_inspired_policy_used"": true, ""protein_sequence_identity_soft_overlap_threshold"": 0.9, ""random_split_only_allowed"": false, ""soft_overlap_block_policy"": ""block_or_report_depending_on_split_type"", ""soft_overlap_entities"": [""protein_sequence_cluster"", ""binding_site_cluster"", ""ligand_ecfp4_similarity"", ""bemis_murcko_scaffold"", ""warhead_type"", ""reaction_family"", ""reactive_residue_type""], ""soft_overlap_policy_defined"": true, ""soft_overlap_report_required"": true, ""soft_overlap_rule"": ""protein_sequence_identity_cluster_ge_0.90_and_ligand_ecfp4_tanimoto_gt_0.90"", ""tapping_black_box_inspired_policy_used"": true, ""train_valid_test_leakage_matrix_required"": true}",[],real_covalent_leakage_aware_split_design_gate,,,,,,,,,,,,,,,,,,,,,,
generation_specific_leakage_policy,passed,generation leakage policy,"{""generation_specific_leakage_policy_defined"": true, ""mask_level_balance_report_required"": true, ""mask_level_cross_split_stop_required"": true, ""mask_level_leakage_policy_defined"": true, ""mask_levels_grouped_by_parent_sample"": true, ""nlrp3_external_case_holdout_policy_required"": true, ""nlrp3_external_case_study_defined"": true, ""parent_complex_cross_split_stop_required"": true, ""parent_complex_group_split_required"": true, ""parent_group_random_split_defined"": true, ""same_covalent_bond_atom_pair_distribution_report_required"": true, ""same_ligand_cross_split_allowed"": false, ""same_parent_complex_cross_split_allowed"": false, ""same_pdb_cross_split_allowed_for_target_holdout"": false, ""same_reaction_family_distribution_report_required"": true, ""same_reactive_position_target_scaffold_high_risk_flag_required"": true, ""same_reconstruction_template_distribution_report_required"": true, ""same_scaffold_cross_split_allowed_for_scaffold_holdout"": false, ""same_target_cross_split_allowed_for_target_holdout"": false, ""same_uniprot_cross_split_allowed_for_target_holdout"": false, ""same_warhead_distribution_report_required"": true}",[],real_covalent_leakage_aware_split_design_gate,,,,,,,,,,,,,,,,,,,,,,
cys_first_diversity_policy,passed,Cys-first diversity controls,"{""cys_diversity_controls_required"": true, ""cys_first_training_strategy_recommended"": true, ""cys_only_allowed_for_v1"": true, ""cys_only_convergence_risk_acknowledged"": true, ""cys_only_convergence_risk_level"": ""moderate_to_high_without_diversity_controls"", ""linker_length_distribution_report_required"": true, ""non_cys_data_bulk_cleaning_policy"": ""identify_classify_defer_until_template_gate"", ""non_cys_in_v1_train_ready_stop_required"": true, ""non_cys_mixing_allowed_in_v1_training"": false, ""non_cys_reactive_residue_support_status"": ""schema_supported_but_template_audit_pending"", ""per_mask_level_loss_report_required"": true, ""per_mask_level_loss_required"": true, ""pocket_geometry_diversity_report_required"": true, ""reactive_atom_distance_distribution_report_required"": true, ""scaffold_collapse_monitor_required"": true, ""scaffold_diversity_report_required"": true, ""scaffold_holdout_split_defined"": true, ""target_cluster_holdout_split_defined"": true, ""target_family_diversity_report_required"": true, ""target_family_overrepresentation_monitor_required"": true, ""train_ready_scope_v1"": ""cys_with_known_reconstruction_template_only"", ""warhead_collapse_monitor_required"": true, ""warhead_diversity_report_required"": true, ""warhead_holdout_or_stratified_split_defined"": true}",[],real_covalent_leakage_aware_split_design_gate,,,,,,,,cys_with_known_reconstruction_template_only,True,moderate_to_high_without_diversity_controls,False,True,True,,,,,,,,,
split_strategy_design,passed,split strategy design,"{""engineering_smoke_split"": ""parent_group_random_split"", ""nlrp3_external_case_holdout_policy_required"": true, ""nlrp3_external_case_study_defined"": true, ""paper_claim_requires_leakage_aware_split"": true, ""paper_claim_split_requirement"": ""scaffold_or_target_cluster_holdout_required"", ""parent_group_random_split_defined"": true, ""primary_evaluation_split"": ""scaffold_holdout_and_target_cluster_holdout"", ""scaffold_holdout_split_defined"": true, ""split_manifest_required"": true, ""split_strategy_defined"": true, ""target_cluster_holdout_split_defined"": true, ""warhead_holdout_or_stratified_split_defined"": true}",[],real_covalent_leakage_aware_split_design_gate,False,True,True,True,0.9,0.9,scaffold_holdout_and_target_cluster_holdout,,,,,,,,,,,,,,,
optimizer_lr_scheduler_policy,passed,optimizer LR scheduler policy,"{""adamw_already_smoked_in_step12k"": true, ""aggressive_lr_values"": [5e-05, 0.0001], ""aggressive_lr_values_require_explicit_debug_gate"": true, ""amp_allowed_later"": true, ""catastrophic_forgetting_lr_guard_required"": true, ""cosine_decay_allowed_after_split_eval_gate"": true, ""first_tiny_run_checkpoint_save_allowed"": false, ""first_tiny_run_default_lr"": 1e-06, ""grad_clip_norm_candidates"": [1.0, 5.0, 10.0], ""gradient_clipping_required"": true, ""gradient_norm_threshold_required"": true, ""initial_lr_candidates"": [1e-06, 3e-06, 1e-05], ""lr_finder_allowed_after_leakage_aware_split_and_eval_gate"": true, ""lr_finder_allowed_now"": false, ""lr_finder_not_allowed_on_three_sample_smoke"": true, ""lr_finder_policy_defined"": true, ""mixed_precision_allowed_for_first_tiny_run"": false, ""optimizer_created"": false, ""optimizer_lr_scheduler_policy_defined"": true, ""optimizer_name"": ""AdamW"", ""optimizer_policy_defined"": true, ""optimizer_step_called"": false, ""pretrained_finetune_lr_upper_bound_recommended"": 1e-05, ""reduce_on_plateau_allowed_after_stable_validation"": true, ""scheduler_allowed_after_split_eval_gate"": true, ""scheduler_allowed_for_first_tiny_run"": false, ""scheduler_policy_defined"": true, ""warmup_cosine_scheduler_allowed_after_split_eval_gate"": true, ""warmup_cosine_scheduler_policy_defined"": true, ""warmup_fraction_candidates"": [0.03, 0.05, 0.1], ""weight_decay_candidates"": [0.0, 0.0001]}",[],real_covalent_leakage_aware_split_design_gate,,,,,,,,,,,,,,AdamW,"[1e-06, 3e-06, 1e-05]",1e-06,False,True,True,False,True,True
training_loop_policy,passed,training loop policy,"{""custom_loop_allowed_after_this_step"": false, ""formal_training_requires_checkpoint_save_policy"": true, ""formal_training_requires_cys_train_ready_inventory"": true, ""formal_training_requires_diversity_report"": true, ""formal_training_requires_eval_gate"": true, ""formal_training_requires_leakage_report"": true, ""formal_training_requires_split_gate"": true, ""max_steps_first_tiny_run"": 10, ""max_steps_smoke_run"": 50, ""multi_step_training_allowed_after_this_step"": false, ""trainer_fit_allowed_after_this_step"": false, ""trainer_fit_called"": false, ""training_loop_policy_defined"": true}",[],real_covalent_leakage_aware_split_design_gate,,,,,,,,,,,,,,,,,,,,,,
checkpoint_artifact_policy,passed,checkpoint artifact policy,"{""checkpoint_filename_required_fields"": [""step"", ""val_metric_if_available"", ""mask_policy""], ""checkpoint_output_root"": ""checkpoints/covapie_training_runs/<run_id>/"", ""checkpoint_path"": ""checkpoints/crossdocked_fullatom_cond.ckpt"", ""checkpoint_policy_defined"": true, ""checkpoint_run_id_required_fields"": [""date_time"", ""git_commit"", ""data_split_id"", ""config_hash""], ""checkpoint_save_allowed"": false, ""checkpoint_save_allowed_after_this_step"": false, ""checkpoint_save_before_permission_stop_required"": true, ""checkpoint_saved"": false, ""config_hash_required"": true, ""first_tiny_run_checkpoint_save_allowed"": false, ""first_tiny_run_default_lr"": 1e-06, ""forbidden_artifact_git_guard_required"": true, ""forbidden_artifact_stop_required"": true, ""forbidden_artifacts_created"": false, ""git_add_checkpoint_allowed"": false, ""metrics_csv_required"": true, ""run_manifest_required"": true, ""split_manifest_required"": true}",[],real_covalent_leakage_aware_split_design_gate,,,,,,,,,,,,,,,,,,,,,,
evaluation_policy,passed,evaluation policy,"{""chemical_validity_metrics_required"": true, ""covalent_geometry_metrics_required"": true, ""diversity_metrics_required"": true, ""evaluation_metric_groups"": [""loss"", ""chemical_validity"", ""covalent_geometry"", ""diversity"", ""leakage""], ""evaluation_metric_missing_blocks_formal_training"": true, ""evaluation_policy_defined"": true, ""external_case_overlap_report_required"": true, ""leakage_aware_training_design_defined"": true, ""leakage_metrics_required"": true, ""leakage_report_required"": true, ""per_mask_level_loss_report_required"": true, ""per_mask_level_loss_required"": true}",[],real_covalent_leakage_aware_split_design_gate,,,,,,,,,,,,,,,,,,,,,,
fail_fast_policy,passed,fail-fast policy,"{""checkpoint_save_before_permission_stop_required"": true, ""fail_fast_policy_defined"": true, ""forbidden_artifact_git_guard_required"": true, ""forbidden_artifact_stop_required"": true, ""forbidden_artifacts_created"": false, ""gradient_norm_threshold_required"": true, ""loss_explosion_threshold_required"": true, ""mask_level_balance_report_required"": true, ""mask_level_cross_split_stop_required"": true, ""mask_level_leakage_policy_defined"": true, ""mask_levels_grouped_by_parent_sample"": true, ""nan_gradient_stop_required"": true, ""nan_loss_stop_required"": true, ""non_cys_data_bulk_cleaning_policy"": ""identify_classify_defer_until_template_gate"", ""non_cys_in_v1_train_ready_stop_required"": true, ""non_cys_mixing_allowed_in_v1_training"": false, ""non_cys_reactive_residue_support_status"": ""schema_supported_but_template_audit_pending"", ""parent_complex_cross_split_stop_required"": true, ""parent_complex_group_split_required"": true, ""parent_group_random_split_defined"": true, ""protected_source_diff_stop_required"": true, ""synthetic_fallback_stop_required"": true, ""unknown_atom_after_filter_stop_required"": true, ""unknown_atom_policy_triggered_after_filter_required"": false, ""update_norm_threshold_required"": true}",[],real_covalent_leakage_aware_split_design_gate,,,,,,,,,,,,,,,,,,,,,,
